com.samsung.shealth.rewards,6261011,5
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
5001,,1001,,684ddc1e-72d9-9cd6-3488-113f40cc5b7a,2016-03-19 17:28:54.493,2016-03-19 17:28:54.493,,,5001,UTC-0400,3218,OBFuvbOf82,com.sec.android.app.shealth,sport.tracker.goal.achievement.distance,2016-03-19 17:28:51.050,80687aa7-25b6-4e7a-9ca3-f299d3588b97,0,
,2015-10-13 20:55:00.552,,,,2015-10-16 00:15:01.566,2015-10-13 20:55:00.700,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":100,""mValue2"":60}",TiXFQW5DKB,com.sec.android.app.shealth,goal.activity,2015-10-13 20:55:00.552,54376c64-1c66-40a6-853d-c549f8a0cadd,0,
,2016-04-21 18:38:41.467,,,,2016-04-22 23:22:35.471,2016-04-21 18:38:41.500,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":true,""mValue"":214,""mValue2"":60}",OBFuvbOf82,com.sec.android.app.shealth,goal.activity,2016-04-21 18:38:41.467,667a0b96-8d95-4787-b74d-5948c02424c4,0,
,2015-07-15 01:55:06.059,,,,2015-07-16 00:38:11.568,2015-07-15 01:55:06.313,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":true,""mValue"":93,""mValue2"":60}",ScgltublDV,com.sec.android.app.shealth,goal.activity,2015-07-15 01:55:06.059,7f7b5290-9d1c-4a3c-b055-9878929d1baa,0,
,2015-12-08 21:31:30.185,,,,2015-12-12 03:08:12.889,2015-12-08 21:31:30.215,,,goal_activity_reward_goal_achieved,UTC-0500,"{""mIsCompleted"":false,""mValue"":84,""mValue2"":60}",OBFuvbOf82,com.sec.android.app.shealth,goal.activity,2015-12-08 21:31:30.185,d063c163-5043-4e0e-9ddd-d9d896a39647,0,
,2016-05-16 21:54:32.695,,,,2016-05-18 22:23:01.026,2016-05-16 21:54:32.737,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":true,""mValue"":73,""mValue2"":60}",OBFuvbOf82,com.sec.android.app.shealth,goal.activity,2016-05-16 21:54:32.695,43319861-762a-49b8-a695-d41f42de0e62,0,
,2015-10-26 22:58:56.275,,,,2015-10-27 19:35:02.413,2015-10-26 22:58:56.303,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":63,""mValue2"":60}",TiXFQW5DKB,com.sec.android.app.shealth,goal.activity,2015-10-26 22:58:56.275,7f791e54-1328-4391-8b71-3b6e8d97fe40,0,
,2016-10-13 21:33:40.097,,,,2016-10-15 21:52:36.645,2016-10-13 21:33:40.187,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":true,""mValue"":81,""mValue2"":60}",Sg8DVB0xC3,com.sec.android.app.shealth,goal.activity,2016-10-13 21:33:40.097,456801f9-c326-474c-9b35-325b5ae54a93,0,
,2016-07-23 21:55:01.229,,,,2016-07-26 19:23:57.550,2016-07-23 21:55:01.310,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":true,""mValue"":63,""mValue2"":60}",OBFuvbOf82,com.sec.android.app.shealth,goal.activity,2016-07-23 21:55:01.229,76f66c22-9156-426d-a82d-2067938d9612,0,
,2015-06-16 19:55:03.956,,,,2015-06-17 20:24:34.191,2015-06-16 19:55:04.206,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":true,""mValue"":131,""mValue2"":60}",ScgltublDV,com.sec.android.app.shealth,goal.activity,2015-06-16 19:55:03.956,f9a1ad9b-e44c-4315-94dd-28f6d99118b6,0,
,2015-08-06 03:59:59.999,,,,2015-08-06 23:35:01.212,2015-08-06 04:02:46.854,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":true,""mValue"":61,""mValue2"":60}",ScgltublDV,com.sec.android.app.shealth,goal.activity,2015-08-06 03:59:59.999,b4711312-30a3-40c2-ab58-bf9be0b47eed,0,
,2016-03-23 19:28:55.247,,,,2016-03-26 00:32:29.026,2016-03-23 19:28:55.295,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":68,""mValue2"":60}",OBFuvbOf82,com.sec.android.app.shealth,goal.activity,2016-03-23 19:28:55.247,54b0fd89-b333-4bea-9143-ba6c64c8fc16,0,
5000,,1001,,d6f3691f-40a6-0e81-02d6-fa7915264b73,2016-05-21 20:06:38.966,2016-05-21 20:06:38.966,,,5000,UTC-0400,3600000,OBFuvbOf82,com.sec.android.app.shealth,sport.tracker.goal.achievement.duration,2016-05-21 20:06:34.657,654ab4b8-71f1-4d42-b173-793a582b6216,0,
,2015-06-19 03:59:59.999,,,,2015-06-19 18:35:03.246,2015-06-19 04:00:24.069,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":true,""mValue"":71,""mValue2"":60}",ScgltublDV,com.sec.android.app.shealth,goal.activity,2015-06-19 03:59:59.999,670c5f07-3f35-4d7b-a1a6-9ed78ad13f8a,0,
,2016-08-13 23:55:00.809,,,,2016-08-16 20:10:27.687,2016-08-13 23:55:00.889,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":true,""mValue"":99,""mValue2"":60}",OBFuvbOf82,com.sec.android.app.shealth,goal.activity,2016-08-13 23:55:00.809,9385f459-2d3f-4e4f-a315-41fea3626edd,0,
,2015-08-29 03:59:59.999,,,,2015-09-01 01:10:26.043,2015-08-29 04:00:15.890,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":true,""mValue"":75,""mValue2"":60}",TiXFQW5DKB,com.sec.android.app.shealth,goal.activity,2015-08-29 03:59:59.999,93ec6d74-40c6-4fba-aaaa-47bd22b35dc7,0,
,2016-09-07 22:31:46.562,,,,2016-09-10 00:09:59.742,2016-09-07 22:31:46.794,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":126,""mValue2"":60}",J9OOjwOhpg,com.sec.android.app.shealth,goal.activity,2016-09-07 22:31:46.562,6067d5a8-81d9-4f3d-98a1-8c6bb4f79bef,0,
5000,,1001,,1c649f65-97df-aa4d-5e41-a99a1a0dbd28,2016-10-13 21:35:48.300,2016-10-13 21:35:48.300,,,5000,UTC-0400,1800000,Sg8DVB0xC3,com.sec.android.app.shealth,sport.tracker.goal.achievement.duration,2016-10-13 21:35:43.897,0d858b8d-3b96-418a-b656-4ce6c82fae41,0,
,2015-06-15 23:11:27.983,,,,2015-06-16 19:55:04.158,2015-06-15 23:11:28.169,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":true,""mValue"":107,""mValue2"":60}",ScgltublDV,com.sec.android.app.shealth,goal.activity,2015-06-15 23:11:27.983,771a5528-2f4a-4d75-905a-ff20b1f391bc,0,
5001,,1002,,43923ee4-9620-33cc-0dff-7b04d93d29a8,2015-05-04 23:39:46.317,2015-05-04 23:39:46.317,,,5001,,2123,ScgltublDV,com.sec.android.app.shealth,sport.tracker.goal.achievement.distance,2015-05-01 21:38:59.240,d85e6cba-0ff5-4d84-b2a9-5cbee1aefdb1,0,
