com.samsung.shealth.tracker.pedometer_step_count,6261011,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
13429,4,0,23,2023-12-25 05:30:00.000,,,2023-12-25 05:30:38.593,2023-12-25 05:30:28.055,23,1.3061239,17.54,1.1800001,UTC-0500,qLIGTXAOb+,com.sec.android.app.shealth,2023-12-25 05:31:00.000,bf787455-01f0-465e-949a-68202a7130c7,
11163,4,0,18,2023-12-25 05:31:00.000,,,2023-12-25 05:31:54.546,2023-12-25 05:31:44.801,18,1.2047913,13.450001,0.99000007,UTC-0500,qLIGTXAOb+,com.sec.android.app.shealth,2023-12-25 05:32:00.000,6b72c3f1-1149-4a51-85c1-10a650608e6a,
4796,4,0,7,2023-12-25 05:32:00.000,,,2023-12-25 05:32:17.023,2023-12-25 05:32:16.300,7,1.107155,5.3100004,0.39000002,UTC-0500,qLIGTXAOb+,com.sec.android.app.shealth,2023-12-25 05:33:00.000,d9fa64ae-bc25-4ca9-9098-c5eef54a24f4,
5446,4,0,9,2023-12-25 05:34:00.000,,,2023-12-25 05:35:01.876,2023-12-25 05:35:01.876,9,1.2777778,6.96,0.48,UTC-0500,qLIGTXAOb+,com.sec.android.app.shealth,2023-12-25 05:35:00.000,69cf6339-7480-4ae8-9809-6f2d2f7a34f4,
7016,4,0,12,2023-12-25 15:30:00.000,,,2023-12-25 15:32:11.092,2023-12-25 15:32:11.092,12,1.3055556,9.16,0.63,UTC-0500,qLIGTXAOb+,com.sec.android.app.shealth,2023-12-25 15:31:00.000,e5ce4b1c-d700-4b68-b180-ead124b18518,
5657,4,0,9,2023-12-25 15:53:00.000,,,2023-12-25 16:01:57.518,2023-12-25 16:01:57.518,9,1.1666666,6.6,0.52,UTC-0500,qLIGTXAOb+,com.sec.android.app.shealth,2023-12-25 15:54:00.000,0befb1ec-0cd2-4e73-9e2f-79f64ad23eef,
5476,4,0,7,2023-12-25 15:54:00.000,,,2023-12-25 16:01:57.563,2023-12-25 16:01:57.563,7,0.9166667,5.02,0.4,UTC-0500,qLIGTXAOb+,com.sec.android.app.shealth,2023-12-25 15:55:00.000,d89e47bb-7bab-45bf-b436-96a4aea2cd8e,
16788,4,0,28,2023-12-25 16:28:00.000,,,2023-12-25 16:28:23.394,2023-12-25 16:28:09.214,28,1.2645825,21.230003,1.4499997,UTC-0500,qLIGTXAOb+,com.sec.android.app.shealth,2023-12-25 16:29:00.000,b7b64d01-2599-4590-9e1d-ab7415f66a60,
16238,4,0,29,2023-12-25 17:07:00.000,,,2023-12-25 17:07:54.023,2023-12-25 17:07:39.337,29,1.3782485,22.380005,1.4799997,UTC-0500,qLIGTXAOb+,com.sec.android.app.shealth,2023-12-25 17:08:00.000,93e049c3-da26-42dc-8ecf-c79d06de57e2,
18003,4,0,33,2023-12-25 17:08:00.000,,,2023-12-25 17:08:30.609,2023-12-25 17:08:05.046,33,1.4180225,25.53,1.7399999,UTC-0500,qLIGTXAOb+,com.sec.android.app.shealth,2023-12-25 17:09:00.000,1da42af8-9968-4ea2-af18-bd392aef7cf0,
