com.samsung.shealth.food_frequent,6242001,1
eveningsnack_count,update_time,create_time,morningsnack_count,dinner_count,breakfast_count,deviceuuid,pkg_name,afternoonsnack_count,datauuid,food_info_id,lunch_count
0.87,2016-11-04 16:33:07.913,2016-11-04 16:33:07.913,0.87,0.87,0.87,Q2GTsbBv8Q,com.sec.android.app.shealth,0.87,8e79a4ee-fa82-4eaf-b6c5-65ca2e275e8f,d335cfdb-96b4-416c-9077-1dd0630f3219,0.87,
0.95,2015-04-27 16:30:09.428,2015-04-27 16:30:09.428,0.95,0.95,0.95,ScgltublDV,com.sec.android.app.shealth,0.95,489af980-a94e-4a97-8ec3-b50d4e1b9f48,a84916cf-c784-4f2f-90b3-b34d44809733,0.95,
0.0,2023-02-17 01:22:43.312,2023-02-17 01:22:43.312,0.0,410.0,411.0,riNzA2w1UR,com.sec.android.app.shealth,0.0,ea7fb0e0-9ea2-465f-8cc9-17c255133041,meal_auto_filled,410.0,
0.71,2016-11-04 16:33:07.915,2016-11-04 16:33:07.915,0.71,0.71,0.71,Q2GTsbBv8Q,com.sec.android.app.shealth,0.71,77201d5a-4613-44ee-8cfe-9f4d5462c7d7,a90b7361-5ae2-45d6-80e7-a2d01ee7ef14,0.71,
0.99,2023-02-17 01:21:52.433,2023-02-17 01:21:52.433,0.99,0.99,0.99,riNzA2w1UR,com.sec.android.app.shealth,0.99,d16c89c1-ad16-4b5e-a99d-2b95a2813ad1,8905b2cd-b03a-48b9-90cb-4f6eac27ee1f,0.99,
0.91,2017-09-06 21:57:28.343,2017-09-06 21:57:28.343,0.91,0.91,0.91,EHdtKydEi4,com.sec.android.app.shealth,0.91,83898c2d-af62-4db4-ba8f-2f22b3e53c2a,0a28ea9c-b813-443e-9892-b485f93722bc,0.91,
0.63,2023-02-17 01:21:52.433,2023-02-17 01:21:52.433,0.63,0.63,0.63,riNzA2w1UR,com.sec.android.app.shealth,0.63,f954685c-1b9a-4814-9e0d-3f2b3861707a,c349d121-6098-462b-a523-6eb101b6e331,0.63,
0.75,2016-11-04 16:33:07.914,2016-11-04 16:33:07.914,0.75,0.75,0.75,Q2GTsbBv8Q,com.sec.android.app.shealth,0.75,dba4d926-3295-429a-96a5-1734497cf977,da29cd0c-3524-4609-8a9a-287b715d4fc6,0.75,
0.75,2020-10-16 23:26:05.950,2020-10-16 23:26:05.950,0.75,0.75,0.75,KwIsSebkfa,com.sec.android.app.shealth,0.75,4b4f1aeb-4b5f-42da-8697-69052ba45491,7033f320-9ee2-41dc-a1f5-0ed5650945c9,0.75,
0.63,2021-08-25 22:15:03.022,2021-08-25 22:15:03.022,0.63,0.63,0.63,yEjG51P5jF,com.sec.android.app.shealth,0.63,57acde1e-6911-4ccb-bfbd-d28dd1e39e8b,1e29eec0-1557-4684-83db-5d169ef4bfdd,0.63,
0.67,2019-08-21 16:20:11.381,2019-08-21 16:20:11.381,0.67,0.67,0.67,cfxbbbfj2r,com.sec.android.app.shealth,0.67,4b5bfe9a-0118-430d-9d5a-65bf2cb24d80,362a7571-a629-431a-b490-556513718d9e,0.67,
0.83,2021-08-25 22:15:03.020,2021-08-25 22:15:03.020,0.83,0.83,0.83,yEjG51P5jF,com.sec.android.app.shealth,0.83,052dce71-875c-48ce-9476-a1f1ec3d7556,9369c328-88aa-4f92-8081-76a603915cb8,0.83,
0.99,2015-04-27 16:30:09.428,2015-04-27 16:30:09.428,0.99,0.99,0.99,ScgltublDV,com.sec.android.app.shealth,0.99,e9f98a88-9a80-4aac-945f-3798c41cf860,4f12547f-ad91-4593-bdb3-a52d67b08946,0.99,
0.99,2021-08-25 22:15:03.020,2021-08-25 22:15:03.020,0.99,0.99,0.99,yEjG51P5jF,com.sec.android.app.shealth,0.99,104147fe-bd8e-4b2f-9e24-0b481a1952ba,d2baac40-d86d-4808-a126-61b777b70858,0.99,
0.87,2019-08-21 16:20:11.380,2019-08-21 16:20:11.380,0.87,0.87,0.87,cfxbbbfj2r,com.sec.android.app.shealth,0.87,f5836fda-ba21-4da8-8366-b05273b8def0,04111107-9daf-4d18-bea6-e731c4d5a76b,0.87,
0.95,2020-10-16 23:26:05.949,2020-10-16 23:26:05.949,0.95,0.95,0.95,KwIsSebkfa,com.sec.android.app.shealth,0.95,a8fa98ca-df29-4a4f-a3b5-091aa9a53ce1,ca7d893a-041e-486c-9e50-149b28bb4385,0.95,
0.63,2015-11-19 02:53:47.048,2015-11-19 02:53:47.048,0.63,0.63,0.63,OBFuvbOf82,com.sec.android.app.shealth,0.63,efd78b74-04f4-43e0-b062-8d291aa17173,6f5b0e73-932c-45ae-a20a-0c093df4fc52,0.63,
0.91,2019-08-21 16:20:11.379,2019-08-21 16:20:11.379,0.91,0.91,0.91,cfxbbbfj2r,com.sec.android.app.shealth,0.91,639df53b-974b-448f-823a-238f39394404,a407df37-326d-4773-a359-9cfa9c501de6,0.91,
0.75,2021-08-25 22:15:03.021,2021-08-25 22:15:03.021,0.75,0.75,0.75,yEjG51P5jF,com.sec.android.app.shealth,0.75,029de597-bef2-46f0-9fbf-4653cf8cef00,e153ef38-b889-4428-a06f-cd45549e3403,0.75,
0.71,2017-09-06 21:57:28.344,2017-09-06 21:57:28.344,0.71,0.71,0.71,EHdtKydEi4,com.sec.android.app.shealth,0.71,ce9d467d-3bc3-4177-8031-2553742b6d7b,6c2fec13-f34b-424b-86f5-6b300c968c36,0.71,
0.99,2015-11-19 02:53:47.046,2015-11-19 02:53:47.046,0.99,0.99,0.99,OBFuvbOf82,com.sec.android.app.shealth,0.99,0e34cb32-4015-40eb-9efc-e24eb24d4183,0538a9b0-6c64-4d46-8b16-5160f584d322,0.99,
0.83,2017-09-06 21:57:28.344,2017-09-06 21:57:28.344,0.83,0.83,0.83,EHdtKydEi4,com.sec.android.app.shealth,0.83,2cd32cbb-f361-442d-866b-e91efa00c2ac,c4efb5ac-ca87-411e-b872-158e14108b68,0.83,
0.95,2023-02-17 01:21:52.433,2023-02-17 01:21:52.433,0.95,0.95,0.95,riNzA2w1UR,com.sec.android.app.shealth,0.95,299f6a22-4fea-4da2-b180-e3a2e69b31f3,73b41d16-c102-47d1-b3f0-cfb6f420e0a2,0.95,
0.87,2015-11-19 02:53:47.047,2015-11-19 02:53:47.047,0.87,0.87,0.87,OBFuvbOf82,com.sec.android.app.shealth,0.87,4ebc83a2-9caf-46ab-947d-038a077c2a7a,51eb2e1a-8bd2-4a26-8293-f05f441b8ff7,0.87,
0.83,2020-10-16 23:26:05.949,2020-10-16 23:26:05.949,0.83,0.83,0.83,KwIsSebkfa,com.sec.android.app.shealth,0.83,bfd4fbee-559a-43ec-9d81-299c4cd38768,e6bbbdea-11bc-4262-859e-bc2e6611e027,0.83,
0.71,2015-11-19 02:53:47.047,2015-11-19 02:53:47.047,0.71,0.71,0.71,OBFuvbOf82,com.sec.android.app.shealth,0.71,0eaef748-4fd8-45cc-a3e9-3659545112d1,0bd841a0-af8d-4150-b554-c980c3b49e56,0.71,
0.83,2016-11-04 16:33:07.913,2016-11-04 16:33:07.913,0.83,0.83,0.83,Q2GTsbBv8Q,com.sec.android.app.shealth,0.83,46dcbef2-d10d-4017-bde4-915cfd1a130a,8f5e50fb-149f-4d92-a613-d903b791c55d,0.83,
