com.samsung.shealth.stand_day_summary,6261011,2
create_sh_ver,stand_time,modify_sh_ver,update_time,create_time,deviceuuid,pkg_name,datauuid,day_time
,0,,2019-10-01 04:00:04.667,2019-10-01 04:00:04.667,PEzvKidhug,com.sec.android.app.shealth,e042020d-d300-6dae-516b-70e6aba6cad6,1569888000000,
,0,,2020-10-19 04:00:02.691,2020-10-19 04:00:02.691,PEzvKidhug,com.sec.android.app.shealth,5dd9598f-9e07-5f3b-7eb8-9f2006f9c317,1603065600000,
,1048576,,2020-01-06 01:21:51.320,2020-01-05 05:10:39.336,PEzvKidhug,com.sec.android.app.shealth,a7675bef-f51d-49b6-ada6-511024117943,1578182400000,
,0,,2021-08-25 22:39:33.983,2021-08-25 22:39:33.982,C2yRtg360R,com.sec.android.app.shealth,cf2e6a84-4c25-d220-6fb3-19f20a0686a3,1629849600000,
,0,,2020-09-25 03:24:02.373,2020-09-25 03:24:02.373,F/obkIvIyh,com.sec.android.app.shealth,a8bf16cf-36a6-fd48-85ab-e3fe5086c589,1600905600000,
,0,,2021-08-07 04:00:05.603,2021-08-07 04:00:05.603,C2yRtg360R,com.sec.android.app.shealth,aadc0444-7975-146d-f821-1e7e04926418,1628294400000,
,196608,,2020-01-04 22:39:27.239,2020-01-04 05:00:07.673,PEzvKidhug,com.sec.android.app.shealth,a30cbf5d-be2e-8904-8f66-55effadf206e,1578096000000,
,8388608,,2019-08-31 03:06:43.300,2019-08-30 04:15:01.236,PEzvKidhug,com.sec.android.app.shealth,9d5bcbaf-d960-eab2-e419-f9d69ba46fd8,1567123200000,
,0,,2021-07-05 04:00:03.683,2021-07-05 04:00:03.682,C2yRtg360R,com.sec.android.app.shealth,bd3097e7-df4d-2272-31ef-4e2ff4287187,1625443200000,
,294912,,2021-07-11 22:43:59.280,2021-07-11 04:00:03.605,C2yRtg360R,com.sec.android.app.shealth,96db04c8-4fbf-444b-e6e6-fa27f5cdceb8,1625961600000,
,0,,2021-08-01 04:00:05.678,2021-08-01 04:00:05.678,C2yRtg360R,com.sec.android.app.shealth,4d99a438-c2c6-71b0-a5ec-2b3cff7dfec2,1627776000000,
,0,,2021-03-09 17:04:14.711,2021-03-09 05:00:03.421,PEzvKidhug,com.sec.android.app.shealth,c3085ce0-36ab-8692-351d-bda9cbc0f4a6,1615248000000,
,0,,2020-03-24 04:00:04.403,2020-03-24 04:00:04.403,PEzvKidhug,com.sec.android.app.shealth,d50255eb-17f5-1bd5-0c2e-b7c42544e56f,1585008000000,
,0,,2020-03-30 05:10:48.544,2020-03-30 05:10:48.543,PEzvKidhug,com.sec.android.app.shealth,472d908f-c479-1ec9-c43d-27eba1b1fbfb,1585526400000,
,0,,2021-02-01 05:00:04.451,2021-02-01 05:00:04.450,PEzvKidhug,com.sec.android.app.shealth,f3428b44-1291-9ba5-fbcd-a2a3a10ac138,1612137600000,
