com.samsung.shealth.exercise,6261011,14
live_data_internal,mission_value,race_target,subset_data,start_longitude,routine_datauuid,total_calorie,completion_status,pace_info_id,activity_type,pace_live_data,sensing_status,source_type,mission_type,tracking_status,program_id,title,reward_status,heart_rate_sample_count,start_latitude,mission_extra_value,program_schedule_id,heart_rate_deviceuuid,location_data_internal,custom_id,additional_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.additional,com.samsung.health.exercise.create_sh_ver,com.samsung.health.exercise.mean_caloricburn_rate,com.samsung.health.exercise.location_data,com.samsung.health.exercise.start_time,com.samsung.health.exercise.exercise_type,com.samsung.health.exercise.custom,com.samsung.health.exercise.max_altitude,com.samsung.health.exercise.incline_distance,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.count_type,com.samsung.health.exercise.mean_rpm,com.samsung.health.exercise.min_altitude,com.samsung.health.exercise.modify_sh_ver,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.update_time,com.samsung.health.exercise.create_time,com.samsung.health.exercise.max_power,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.count,com.samsung.health.exercise.distance,com.samsung.health.exercise.max_caloricburn_rate,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.decline_distance,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.time_offset,com.samsung.health.exercise.deviceuuid,com.samsung.health.exercise.max_rpm,com.samsung.health.exercise.comment,com.samsung.health.exercise.live_data,com.samsung.health.exercise.mean_power,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.pkg_name,com.samsung.health.exercise.altitude_gain,com.samsung.health.exercise.altitude_loss,com.samsung.health.exercise.exercise_custom_type,com.samsung.health.exercise.end_time,com.samsung.health.exercise.datauuid,com.samsung.health.exercise.sweat_loss
,2400000,,,,,,1,,,,,1,2,,,,1,2413,,0.0,,,,,,2421000,,,,3effda73-b20f-e76e-2bf1-4e1b67d3f020.com.samsung.health.exercise.location_data.json,2016-03-30 23:48:58.118,1001,,286.866,370.557,158.0,,,259.926,,203.0,2016-03-31 00:29:22.430,2016-03-31 00:29:19.398,,1.375,,73.0,,3183.769,,172.0,,477.087,,UTC-0400,ROm+XQMkto,,,3effda73-b20f-e76e-2bf1-4e1b67d3f020.com.samsung.health.exercise.live_data.json,,1.144,com.sec.android.app.shealth,,,,2016-03-31 00:29:19.356,3effda73-b20f-e76e-2bf1-4e1b67d3f020,,
,0,,,,,102.6,0,,,,,4,0,,,,0,0,,0.0,,,,,,1440284,,,,2958bdfa-924f-36ca-4051-2d60100cceda.com.samsung.health.exercise.location_data.json,2018-01-20 23:35:08.818,1001,,,,0.0,,,,,0.0,2018-01-21 00:00:10.282,2018-01-21 00:00:10.282,,1.3888888,0.0,0.0,,1587.9,,102.6,0.0,,,UTC-0500,PEzvKidhug,,,2958bdfa-924f-36ca-4051-2d60100cceda.com.samsung.health.exercise.live_data.json,,1.1274921,com.sec.android.app.shealth,,,,2018-01-20 23:59:09.102,2958bdfa-924f-36ca-4051-2d60100cceda,,
,0,,,,,,0,,,,,,0,,,,1,31,,,,,,,,1810000,,,,9364607d-7793-49bc-2d35-c2b4717be198.com.samsung.health.exercise.location_data.json,2015-06-15 22:06:00.388,1002,,275.462,,161.0,,,239.706,,183.0,2015-11-19 02:54:33.599,2015-06-15 23:11:26.209,,3.237,,139.0,,4159.22,,341.189,,,,UTC-0400,VkNqn5W6aG,,,9364607d-7793-49bc-2d35-c2b4717be198.com.samsung.health.exercise.live_data.json,,2.3,com.sec.android.app.shealth,,,,2015-06-15 22:36:10.388,9364607d-7793-49bc-2d35-c2b4717be198,,
,0,,,,,54.19,0,,,,,4,0,,,,0,0,,0.0,,,0ca6bea7-c493-bea5-1f2d-6849dd5a69fe.location_data_internal.json,,,772490,,,,0ca6bea7-c493-bea5-1f2d-6849dd5a69fe.com.samsung.health.exercise.location_data.json,2016-11-26 04:53:49.294,1001,,,,0.0,,,,,0.0,2016-11-26 05:07:43.184,2016-11-26 05:07:43.184,,1.5555556,0.0,0.0,,954.98,,54.19,0.0,,,UTC-0500,PEzvKidhug,,,0ca6bea7-c493-bea5-1f2d-6849dd5a69fe.com.samsung.health.exercise.live_data.json,,1.3157843,com.sec.android.app.shealth,,,,2016-11-26 05:06:41.784,0ca6bea7-c493-bea5-1f2d-6849dd5a69fe,,
,0,,,,,,0,,,,,4,0,,,,1,0,,0.0,,,,,,1867006,,,,d0e38afe-c05a-c6c7-49fc-ce74cdc332e8.com.samsung.health.exercise.location_data.json,2016-07-02 02:05:28.765,1001,,,0.0,0.0,,,,,0.0,2016-11-04 16:34:28.413,2016-07-02 02:36:36.947,,2.0428765,,0.0,,2198.96,,128.0,,0.0,,UTC-0400,ROm+XQMkto,,,d0e38afe-c05a-c6c7-49fc-ce74cdc332e8.com.samsung.health.exercise.live_data.json,,1.3971711,com.sec.android.app.shealth,,,,2016-07-02 02:36:35.771,d0e38afe-c05a-c6c7-49fc-ce74cdc332e8,,
,0,,,,,,0,,,,,1,0,,,,1,1636,,0.0,,,,,,1649000,,,,62e25b92-c53d-11ca-029b-1418a6b3db82.com.samsung.health.exercise.location_data.json,2016-07-01 01:21:59.848,1001,,301.851,58.137,141.0,,,258.298,,173.0,2016-07-01 01:49:31.647,2016-07-01 01:49:28.737,,1.212,,74.0,,1904.086,,99.0,,551.794,,UTC-0400,ROm+XQMkto,,,62e25b92-c53d-11ca-029b-1418a6b3db82.com.samsung.health.exercise.live_data.json,,0.836,com.sec.android.app.shealth,,,,2016-07-01 01:49:28.680,62e25b92-c53d-11ca-029b-1418a6b3db82,,
,,,,,,,,,,,,,,,,,1,34,,,,,,,,2102000,,,,ecddb84c-6707-124c-4dbd-e0d9247d64c0.com.samsung.health.exercise.location_data.json,2014-12-07 23:07:59.200,1002,,275.748,525.422,98.0,,,268.25,,161.0,2015-11-19 02:54:33.157,2014-12-08 01:42:05.274,,2.832,,5.0,,4372.44,,359.0,,553.904,,UTC-0400,VkNqn5W6aG,,,ecddb84c-6707-124c-4dbd-e0d9247d64c0.com.samsung.health.exercise.live_data.json,,2.083,com.sec.android.app.shealth,,,,2014-12-07 23:43:01.200,ecddb84c-6707-124c-4dbd-e0d9247d64c0,,
,,,,,,,,,,,,,,,,,1,,,,,,,,,4974293,,,,,2014-06-13 21:50:46.936,1002,,0.0,,135.0,,,0.0,,183.0,2015-05-04 23:39:40.277,2014-06-13 21:50:46.936,,2.912,,,,4.20675,,310.529,,,,UTC+0000,7FBCXSeqw+,,,,,0.845698,com.sec.android.app.shealth,,,,2014-06-13 23:13:41.229,9b8d7030-4699-a483-31dc-8f0f597c7429,,
,0,,,,,,0,,,,,1,0,,,,1,3155,,0.0,,,,,,3177000,,,,f5c5c82e-636e-4a1f-55f0-c134df5a647e.com.samsung.health.exercise.location_data.json,2016-06-29 00:42:09.550,1001,,293.995,589.184,137.0,,,249.41,,194.0,2016-06-29 01:35:09.237,2016-06-29 01:35:06.641,,2.5,,67.0,,3856.881,,211.0,,429.033,,UTC-0400,ROm+XQMkto,,,f5c5c82e-636e-4a1f-55f0-c134df5a647e.com.samsung.health.exercise.live_data.json,,1.087,com.sec.android.app.shealth,,,,2016-06-29 01:35:06.538,f5c5c82e-636e-4a1f-55f0-c134df5a647e,,
,0,,,,,105.31,0,,,,,4,0,,,,0,0,,0.0,,,a9f3f469-d740-f09f-d45f-25d1df96b44b.location_data_internal.json,,,1622315,,,,a9f3f469-d740-f09f-d45f-25d1df96b44b.com.samsung.health.exercise.location_data.json,2017-09-09 21:27:40.211,1001,,,,0.0,,,,,0.0,2017-09-09 21:55:42.175,2017-09-09 21:55:42.175,,1.3611112,0.0,0.0,,1607.1,,105.31,0.0,,,UTC-0400,PEzvKidhug,,,a9f3f469-d740-f09f-d45f-25d1df96b44b.com.samsung.health.exercise.live_data.json,,1.1100223,com.sec.android.app.shealth,,,,2017-09-09 21:54:42.526,a9f3f469-d740-f09f-d45f-25d1df96b44b,,
,0,,,,,,0,,,,,,0,,,,1,32,,,,,,,,1805000,,,,74cb237c-b02e-7010-3e3d-a05aa59c10b3.com.samsung.health.exercise.location_data.json,2015-07-15 23:20:45.482,1002,,262.04,,130.0,,,243.79,,169.0,2015-11-19 02:54:31.835,2015-07-16 00:37:53.536,,3.815,,55.0,,4562.22,,375.164,,,,UTC-0400,VkNqn5W6aG,,,74cb237c-b02e-7010-3e3d-a05aa59c10b3.com.samsung.health.exercise.live_data.json,,2.53,com.sec.android.app.shealth,,,,2015-07-15 23:50:50.482,74cb237c-b02e-7010-3e3d-a05aa59c10b3,,
d193a444-e60e-2fd9-fd8c-2d117d51d972.live_data_internal.json,3000000,,,,,291.46838,1,,,,,1,2,,,,1,1567,,0.0,,,d193a444-e60e-2fd9-fd8c-2d117d51d972.location_data_internal.json,,,3200019,,,,d193a444-e60e-2fd9-fd8c-2d117d51d972.com.samsung.health.exercise.location_data.json,2017-03-09 19:41:42.285,1001,,298.226,729.178,136.0,,,265.741,,162.0,2017-03-09 22:21:07.572,2017-03-09 20:35:09.191,,2.393,0.0,75.0,,4461.379,,291.316,0.0,753.539,,UTC-0500,PEzvKidhug,,,d193a444-e60e-2fd9-fd8c-2d117d51d972.com.samsung.health.exercise.live_data.json,,1.3941722,com.sec.android.app.shealth,,,,2017-03-09 20:35:09.048,d193a444-e60e-2fd9-fd8c-2d117d51d972,,
,0,,,,,120.655,0,,,,,4,0,,,,0,0,,0.0,,,,,,600000,,,,4eb7307a-a88f-47b7-89c3-664134c03fae.com.samsung.health.exercise.location_data.json,2018-07-01 15:48:33.271,11007,,,,0.0,,,,,0.0,2018-07-01 15:59:20.328,2018-07-01 15:59:20.328,,,0.0,0.0,,,,120.655,0.0,,,UTC-0400,PEzvKidhug,,,4eb7307a-a88f-47b7-89c3-664134c03fae.com.samsung.health.exercise.live_data.json,,,com.sec.android.app.shealth,,,,2018-07-01 15:58:33.271,4eb7307a-a88f-47b7-89c3-664134c03fae,,
,0,,,,,,0,,,,,,0,,,,1,19,,,,,,,,1096000,,,,,2015-08-11 23:49:25.240,1002,,0.0,,154.0,,,0.0,,175.0,2015-11-19 02:54:32.569,2015-08-12 00:36:50.831,,2.876,,98.0,,2951.94,,242.764,,,,UTC-0400,VkNqn5W6aG,,,1114ea16-5749-6c7d-9edf-fd4cb3846f97.com.samsung.health.exercise.live_data.json,,2.696,com.sec.android.app.shealth,,,,2015-08-12 00:07:41.240,1114ea16-5749-6c7d-9edf-fd4cb3846f97,,
