com.samsung.shealth.calories_burned.details,6261011,4
active_calories_goal,version,extra_data,exercise_calories,total_exercise_calories,com.samsung.shealth.calories_burned.create_sh_ver,com.samsung.shealth.calories_burned.tef_calorie,com.samsung.shealth.calories_burned.active_time,com.samsung.shealth.calories_burned.rest_calorie,com.samsung.shealth.calories_burned.modify_sh_ver,com.samsung.shealth.calories_burned.update_time,com.samsung.shealth.calories_burned.create_time,com.samsung.shealth.calories_burned.active_calorie,com.samsung.shealth.calories_burned.deviceuuid,com.samsung.shealth.calories_burned.pkg_name,com.samsung.shealth.calories_burned.datauuid,com.samsung.shealth.calories_burned.day_time
,,d45366ea-d404-4fdc-b2b6-2b9432f2de10.extra_data.json,,,,267.6,1789970,1876.52,,2018-03-08 00:30:19.792,2018-02-07 05:00:00.539,131.25,EHdtKydEi4,com.sec.android.app.shealth,d45366ea-d404-4fdc-b2b6-2b9432f2de10,1517961600000,
,,f9f3a347-9aab-49ea-8723-f0adee40e798.extra_data.json,,,,260.7,402201,1845.7753,,2018-11-05 19:28:15.078,2018-10-10 04:00:02.291,28.470001,Mz5pMh3q+T,com.sec.android.app.shealth,f9f3a347-9aab-49ea-8723-f0adee40e798,1539129600000,
,,82305bce-cb56-4bc1-91ed-9e12188690f3.extra_data.json,,,,260.7,2398412,1802.9304,,2018-07-06 23:33:04.054,2018-06-11 04:00:00.450,167.22998,9wVta8KBzt,com.sec.android.app.shealth,82305bce-cb56-4bc1-91ed-9e12188690f3,1528675200000,
,,d546c5cf-3c96-4252-8d94-d2e4cb4cb7d6.extra_data.json,,,,263.0,2572741,1799.1888,,2018-06-28 23:27:14.422,2018-06-01 04:00:01.501,176.5532,9wVta8KBzt,com.sec.android.app.shealth,d546c5cf-3c96-4252-8d94-d2e4cb4cb7d6,1527811200000,
,,f56a3d62-ed23-48f0-9d29-6a67b5e2c2a0.extra_data.json,,,,260.7,781662,1837.6309,,2018-08-29 19:20:47.722,2018-08-02 04:00:01.241,59.099995,Mz5pMh3q+T,com.sec.android.app.shealth,f56a3d62-ed23-48f0-9d29-6a67b5e2c2a0,1533168000000,
,,3b0d39ee-2e03-4d6e-b870-df5f5716ea1d.extra_data.json,,,,260.7,1699379,1817.934,,2018-10-06 00:09:35.650,2018-09-08 04:00:00.975,116.854515,Mz5pMh3q+T,com.sec.android.app.shealth,3b0d39ee-2e03-4d6e-b870-df5f5716ea1d,1536364800000,
,,3d5ca18b-da50-4cd1-9a3f-d1f90899c965.extra_data.json,,,,267.6,1626572,1880.1438,,2018-02-26 02:29:19.472,2018-01-28 05:00:00.994,124.189995,EHdtKydEi4,com.sec.android.app.shealth,3d5ca18b-da50-4cd1-9a3f-d1f90899c965,1517097600000,
,,8e09691a-9163-4b9c-a184-6e83bdea4209.extra_data.json,,,,263.0,2114803,1809.0177,,2018-07-06 23:33:03.993,2018-06-10 04:00:02.454,142.37553,9wVta8KBzt,com.sec.android.app.shealth,8e09691a-9163-4b9c-a184-6e83bdea4209,1528588800000,
,,eb3c039f-407a-48c5-b451-a88acc455254.extra_data.json,,,,260.7,4957283,1748.0094,,2018-07-16 00:21:38.875,2018-06-19 04:00:01.524,365.85074,9wVta8KBzt,com.sec.android.app.shealth,eb3c039f-407a-48c5-b451-a88acc455254,1529366400000,
,,9ee14c6c-e641-4bbc-9ca5-c9b7e7494c2b.extra_data.json,,,,260.7,5334280,1739.9178,,2018-05-01 03:33:25.976,2018-04-04 02:00:49.151,414.1564,9wVta8KBzt,com.sec.android.app.shealth,9ee14c6c-e641-4bbc-9ca5-c9b7e7494c2b,1522713600000,
,,aac4ca1a-1754-4094-8bcd-3f73c811d16f.extra_data.json,,,,260.7,1897293,1813.686,,2018-06-20 01:11:39.647,2018-05-23 04:41:17.412,131.90907,9wVta8KBzt,com.sec.android.app.shealth,aac4ca1a-1754-4094-8bcd-3f73c811d16f,1527033600000,
,,4de52a23-d729-47b6-911f-996de8b54413.extra_data.json,,,,0.0,2218079,1867.0259,,2018-01-19 00:02:16.120,2017-12-21 05:00:00.560,172.10004,EHdtKydEi4,com.sec.android.app.shealth,4de52a23-d729-47b6-911f-996de8b54413,1513814400000,
,,9976bf71-deee-46c1-9396-ff110b25da55.extra_data.json,,,,86.700005,716061,1833.4089,,2019-03-06 18:52:39.811,2019-02-27 05:00:00.533,53.479996,4V/TlqPcbG,com.sec.android.app.shealth,9976bf71-deee-46c1-9396-ff110b25da55,1551225600000,
,,5ed65b03-b384-4d7f-a6ac-69105bb65912.extra_data.json,,,,260.7,868434,1835.7686,,2018-10-17 00:02:35.957,2018-09-19 04:13:41.960,64.96,Mz5pMh3q+T,com.sec.android.app.shealth,5ed65b03-b384-4d7f-a6ac-69105bb65912,1537315200000,
,,56ff9c01-0d2c-46e2-95e1-44e605c23512.extra_data.json,,,,0.0,778892,1898.9447,,2018-01-19 19:02:01.834,2017-12-22 05:00:00.587,57.520008,EHdtKydEi4,com.sec.android.app.shealth,56ff9c01-0d2c-46e2-95e1-44e605c23512,1513900800000,
