com.samsung.shealth.exercise.weather,6261011,3
uv_index,sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,deviceuuid,exercise_id,pkg_name,wind_speed_unit,forecast_time,wind_speed,icon_info_id,datauuid
0.0,,2020-09-20 02:52:27.877,35.936234,,,Fair,,1,TWC,2020-09-20 03:07:40.295,2020-09-20 03:07:40.295,0,-83.95697,16.0,93,UTC-0400,PEzvKidhug,bdfe5df4-ef53-38f3-55e6-b3de061ee5b8,com.sec.android.app.shealth,,,,18,68281e57-bc13-b3a5-1432-7139fd215d69,
0.0,,2017-04-20 23:08:22.755,35.945457,,SW,Sunny,,1,AccuWeather,2017-04-20 23:48:32.373,2017-04-20 23:48:32.373,0,-83.95014,25.0,53,UTC+0000,PEzvKidhug,a90e8a4e-976e-f4a3-dc6e-11a906447dac,com.sec.android.app.shealth,km/h,,7.0,1,07e0182f-af30-220e-17ff-114bdeb559f8,
4.0,,2018-10-16 18:28:31.909,39.101562,,,Sunny,,1,TWC,2018-10-16 18:44:06.438,2018-10-16 18:44:06.438,0,-84.51167,13.0,49,UTC+0000,PEzvKidhug,98fa5110-ac89-1091-5adf-f042f04748ed,com.sec.android.app.shealth,,,,1,736e635a-5616-0cc0-f550-584fe385d524,
5.0,,2020-09-07 20:01:32.010,35.937664,,,Sunny,,1,TWC,2020-09-07 20:35:37.591,2020-09-07 20:35:37.591,0,-83.95765,29.0,44,UTC-0400,PEzvKidhug,3bedb870-6c71-48bd-af65-30b36bba1531,com.sec.android.app.shealth,,,,1,5845246e-8ad7-fbc5-9f7a-410f2f4f5430,
0.0,,2016-09-13 23:44:50.896,35.945328,,E,Mostly cloudy,,1,AccuWeather,2016-09-14 00:17:39.011,2016-09-14 00:17:39.011,0,-83.949684,31.7,37,UTC+0000,ROm+XQMkto,bc65e55b-70bf-450f-f8a7-2155768b7796,com.sec.android.app.shealth,km/h,,7.0,3,8c955aae-03ab-6d6e-5448-f475c35a7323,
1.0,,2016-07-06 22:02:58.815,35.955322,,SW,Partly sunny,,1,AccuWeather,2016-07-06 22:33:26.765,2016-07-06 22:33:26.765,0,-83.922134,32.2,55,UTC+0000,ROm+XQMkto,30d28c40-9dc9-cfff-8d04-776f97221b46,com.sec.android.app.shealth,km/h,,7.0,2,e82445ed-241c-7b59-9de6-250ccdf01fe2,
5.0,,2018-03-29 19:41:32.271,35.982147,,,Mostly Cloudy,,1,TWC,2018-03-29 20:12:09.380,2018-03-29 20:12:09.380,0,-83.88016,25.0,46,UTC+0000,PEzvKidhug,f354ea6c-bba5-ad93-6e43-fa367bcdacda,com.sec.android.app.shealth,,,,3,1d8d29b8-ab84-c664-952f-c3d5b633af5e,
2.0,,2021-06-04 22:42:44.310,35.971355,,,Fair,,1,TWC,2021-06-04 22:59:24.028,2021-06-04 22:59:22.399,0,-83.91969,27.166668,49,UTC-0400,C2yRtg360R,c4fce574-5eb5-d80e-3e71-98f339406a07,com.sec.android.app.shealth,,,,1,83ce64ef-3708-fd3c-4d3c-ac05a012eb48,
1.0,,2018-04-05 22:25:57.534,35.947693,,,Fair,,1,TWC,2018-04-05 22:56:07.559,2018-04-05 22:56:07.559,0,-83.95313,16.0,21,UTC+0000,PEzvKidhug,115f0fd3-067f-c8f0-e86b-5fffa17fb558,com.sec.android.app.shealth,,,,1,fdc14b6b-734e-0106-cca8-bf8e8ebc4676,
10.0,,2018-07-28 18:07:51.855,35.96275,,,Fair,,1,TWC,2018-07-28 18:19:07.264,2018-07-28 18:19:07.264,0,-83.92105,29.0,40,UTC+0000,PEzvKidhug,1675406c-b299-5013-dea4-e2faa65dcbae,com.sec.android.app.shealth,,,,1,7507c7f8-a39a-571f-5c05-60f8491763fe,
