com.samsung.health.food_info,6261011,6
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
0.0,242.0,8.0,,45.0,MyFitnessPal Breakfast,,100001-Sat Feb 24 00:00:00 EST 2018,0,1015.0,23.0,58.0,2018-02-26 23:03:33.233,2018-02-26 23:03:33.233,0.0,21.0,0.0,30.0,MyFitnessPal Breakfast,8.0,,52.0,700.0,,,EHdtKydEi4,,28.0,0.0,com.myfitnesspal.android,37.0,,4a0c946d-5e5a-429e-9671-d688385a0aca,,
170.0,17.0,20.0,,0.0,"30 kcal, Per 100g",,default-fatsecret-35984,152,2.0,0.6,0.23,2016-11-04 16:33:07.848,2016-11-04 16:33:07.848,0.056,0.93,0.076,2.0,Watermelon,9.42,,1.0,46.0,"cup, diced",,Q2GTsbBv8Q,g,0.024,,com.sec.android.app.shealth,11.48,3.347826,1b0fe480-a2e7-4f09-ab4c-64e219193c51,1,
450.0,27.0,25.0,,32.0,MyFitnessPal Snacks,,100005-Fri Feb 16 00:00:00 EST 2018,0,370.0,20.0,20.0,2018-02-18 18:55:08.108,2018-02-18 18:55:08.108,2.0,41.0,1.0,33.0,MyFitnessPal Snacks,13.0,,82.0,450.0,,,EHdtKydEi4,,13.0,0.0,com.myfitnesspal.android,37.0,,5172bedf-a534-4dd5-a077-1d42aaeaa6a1,,
95.0,0.0,1.0,,35.0,MyFitnessPal Snacks,,100005-Sun Apr 22 00:00:00 EDT 2018,0,170.0,1.0,16.0,2018-04-25 03:51:09.719,2018-04-25 03:51:09.719,0.0,4.0,0.0,3.0,MyFitnessPal Snacks,28.0,,11.0,480.0,,,9wVta8KBzt,,0.0,0.0,com.myfitnesspal.android,41.0,,6336c1eb-d64d-4469-9487-55ca951ffbc8,,
301.0,0.0,2.0,,68.0,"110 kcal, Per 100g",,default-fatsecret-4881229,118,77.0,0.0,1.46,2016-11-04 16:33:07.850,2016-11-04 16:33:07.850,0.354,27.25,0.33,5.0,Skinless Chicken Breast,0.0,,1.0,130.0,"breast, bone and skin removed",,Q2GTsbBv8Q,g,0.389,0.024,com.sec.android.app.shealth,0.0,0.9076923,8f5e50fb-149f-4d92-a613-d903b791c55d,1,
301.0,0.0,2.0,,68.0,"110 kcal, Per 100g",,default-fatsecret-4881229,118,77.0,0.0,1.46,2015-04-27 16:30:09.394,2015-04-27 16:30:09.394,0.354,27.25,0.33,4.0,Skinless Chicken Breast,0.0,,1.0,130.0,"breast, bone and skin removed",,ScgltublDV,g,0.389,0.024,com.sec.android.app.shealth,0.0,0.9076923,727970c8-607d-4cc4-9fb8-7bec4bc30515,1,
111.0,0.0,0.0,,0.0,"1 kcal, Per 100g",,default-fatsecret-7331,237,5.0,0.0,0.05,2016-11-04 16:33:07.850,2016-11-04 16:33:07.850,0.028,0.28,0.002,0.0,Coffee,0.0,,0.0,2.0,mug (8 fl oz),,Q2GTsbBv8Q,g,0.005,,com.sec.android.app.shealth,0.09,88.5,da29cd0c-3524-4609-8a9a-287b715d4fc6,1,
0.0,14.0,195.0,,15.0,MyFitnessPal Snacks,,100005-Thu Feb 08 00:00:00 EST 2018,0,1950.0,18.0,45.0,2018-02-10 20:40:48.981,2018-02-10 20:40:48.981,0.0,38.0,0.0,33.0,MyFitnessPal Snacks,8.0,,31.0,690.0,,,EHdtKydEi4,,13.0,0.0,com.myfitnesspal.android,41.0,,11bc04a3-829b-4ac6-81bc-7ec1bd153799,,
863.0,61.0,25.0,,82.0,MyFitnessPal Snacks,,100005-Mon Mar 19 00:00:00 EDT 2018,0,1235.0,42.0,44.0,2018-03-22 01:56:52.554,2018-03-22 01:56:52.554,10.0,91.0,3.5,39.0,MyFitnessPal Snacks,20.0,,166.0,950.0,,,EHdtKydEi4,,17.5,0.0,com.myfitnesspal.android,75.0,,c6b67dcc-821e-476c-b02a-85616166b115,,
50.0,34.0,0.0,,87.0,MyFitnessPal Breakfast,,100001-Mon Apr 02 00:00:00 EDT 2018,0,1660.0,12.0,32.0,2018-04-05 00:41:23.601,2018-04-05 00:41:23.601,0.0,39.0,0.0,2.0,MyFitnessPal Breakfast,8.0,,78.0,560.0,,,9wVta8KBzt,,20.0,0.0,com.myfitnesspal.android,31.0,,22a598a0-cb19-473d-b1bc-8b0783827578,,
393.0,12.0,0.0,,10.0,MyFitnessPal Lunch,,100002-Mon Apr 02 00:00:00 EDT 2018,0,715.0,25.0,54.5,2018-04-05 00:41:23.655,2018-04-05 00:41:23.655,12.0,20.0,4.0,64.0,MyFitnessPal Lunch,10.0,,75.0,470.0,,,9wVta8KBzt,,23.0,0.0,com.myfitnesspal.android,44.0,,3252b17b-67ec-4270-9c81-34be18054789,,
0.0,2.0,0.0,,12.0,MyFitnessPal Lunch,,100002-Sat Mar 17 00:00:00 EDT 2018,0,155.0,20.0,17.0,2018-03-20 01:33:55.169,2018-03-20 01:33:55.169,0.5,11.0,0.0,10.0,MyFitnessPal Lunch,12.0,,32.0,270.0,,,EHdtKydEi4,,13.0,0.0,com.myfitnesspal.android,37.0,,c5517de3-a866-4045-a39c-27e482a8e63b,,
180.0,2.0,0.0,,10.0,MyFitnessPal Snacks,,100005-Wed Mar 28 00:00:00 EDT 2018,0,135.0,8.0,18.0,2018-03-31 01:57:22.374,2018-03-31 01:57:22.374,0.0,13.0,0.0,10.0,MyFitnessPal Snacks,7.0,,28.0,260.0,,,EHdtKydEi4,,3.0,1.0,com.myfitnesspal.android,17.0,,91e9350d-548b-49f9-aba8-02995d4a0e55,,
340.0,25.0,25.0,,15.0,MyFitnessPal Dinner,,100003-Mon Mar 26 00:00:00 EDT 2018,0,245.0,1.0,3.0,2018-03-29 01:41:22.853,2018-03-29 01:41:22.853,0.0,30.5,0.0,25.0,MyFitnessPal Dinner,1.0,,50.0,256.0,,,EHdtKydEi4,,1.0,0.0,com.myfitnesspal.android,8.2,,56899bd2-0f48-4a11-b11c-bd6a0694e392,,
320.0,32.0,0.0,,40.0,MyFitnessPal Lunch,,100002-Thu Jan 18 00:00:00 EST 2018,0,500.0,12.0,6.0,2018-01-20 19:15:14.114,2018-01-20 19:15:14.114,0.0,24.0,0.0,0.0,MyFitnessPal Lunch,12.0,,60.0,240.0,,,EHdtKydEi4,,4.0,0.0,com.myfitnesspal.android,28.0,,7f1995df-dbb7-4c6f-99aa-adde776e8aa8,,
