com.samsung.health.device_profile,6261011,7
manufacturer,providing_step_goal,create_sh_ver,step_source_group,device_type,backsync_step_goal,capability,modify_sh_ver,device_group,update_time,create_time,name,model,connectivity_type,deviceuuid,pkg_name,fixed_name,datauuid
Samsung Electronics,1,,103,10053,1,d0e873ad-d04a-4d05-98cd-c090b68b99f9.capability.json,,360003,2022-11-21 17:25:33.902,2022-11-19 00:38:02.143,Galaxy Watch4 Classic,SM-R895U,,S6s5XqaxNg,com.sec.android.app.shealth,Lucent S22,d0e873ad-d04a-4d05-98cd-c090b68b99f9,
Samsung Electronics,1,,105,10056,1,c6c83be1-5370-473b-898d-1217e30cb6ab.capability.json,,360003,2023-02-03 20:31:10.460,2022-11-18 22:45:41.680,Galaxy Watch5 Pro,SM-R925U,,3ix97HX6It,com.sec.android.app.shealth,Lucent S22,c6c83be1-5370-473b-898d-1217e30cb6ab,
Samsung,,,,10032,,,,360003,2018-03-14 16:00:20.694,2015-11-19 00:28:51.862,Gear S2,,,CkrmNUcN1f,com.sec.android.app.shealth,,e495a613-767e-4519-e86e-1547a1b0b874,
Samsung,,,,10026,,,,360001,2018-03-14 16:00:20.694,2014-10-16 00:28:45.658,SM-N910T,SM-N910T,4,vRxUfHOnOy,com.sec.android.app.shealth,,bd1c547c-73a7-3b24-25af-55d5316be6a1,
Samsung Electronics,1,,24,10050,1,f5655d8e-0ecf-306d-459e-10c320b77fa8.capability.json,,360003,2021-09-28 17:26:43.994,2021-03-16 21:42:51.606,Galaxy Watch3,,,C2yRtg360R,com.sec.android.app.shealth,Galaxy Z Fold2,f5655d8e-0ecf-306d-459e-10c320b77fa8,
Samsung Electronics,0,,-1,10042,,35b6a832-bb77-3625-d211-f6237cae5a2f.capability.json,,360003,2019-08-16 21:47:32.134,2017-11-22 16:21:54.271,Gear IconX (2018),,,xtc8tD78vS,com.sec.android.app.shealth,Lucent Phone,35b6a832-bb77-3625-d211-f6237cae5a2f,
Samsung,,,,,,,,360001,2018-04-02 07:49:44.906,2018-04-02 07:49:44.906,My Device,SM-N950U,,9wVta8KBzt,com.sec.android.app.shealth,Lucent Phone,4c184a86-d86c-53d9-e0eb-88f01948e794,
Samsung,,,,,,,,360001,2022-08-31 00:11:21.319,2022-08-24 00:45:10.640,My Device,SM-F936U1,,YuzViL/pfO,com.sec.android.app.shealth,Lucent Z Fold4,ab51a0c8-7cdf-aaee-f52d-2ed81ddd4c28,
Samsung Electronics,1,,103,10053,1,71b6a59f-aaec-4cbd-9f51-7fe37d5278ed.capability.json,,360003,2022-06-05 18:05:48.382,2022-06-04 22:03:02.032,Galaxy Watch4 Classic,SM-R895U,,bXNQ1YYjmk,com.sec.android.app.shealth,,71b6a59f-aaec-4cbd-9f51-7fe37d5278ed,
Samsung Electronics,,,,,,,,360003,2023-01-08 05:54:12.225,2023-01-08 05:54:12.225,Strava,www.strava.com,,aBN+rDufzO,com.sec.android.app.shealth,Lucent S22,22426df8-16c6-1508-ed8a-2f43749c2181,
