com.samsung.shealth.best_records,6242001,2
source_id,device_type,update_time,create_time,source_pkg_name,date,type,value,is_shown,extra_type,deviceuuid,pkg_name,controller_id,datauuid
,-1,2023-08-04 13:27:35.235,2023-08-04 13:27:35.235,,1492300800000,6,26.0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,0d183d1a-b074-4db6-a9b0-32dc2de634bc,
f36567ed-2343-7a2e-5d7e-d1c921a9203a,-1,2023-06-20 14:24:02.439,2016-07-30 19:58:54.404,,1469890529178,4,20.261,,-1,OBFuvbOf82,com.sec.android.app.shealth,tracker.sport_walking,b0d7b97a-d2ca-4c87-b855-28e54ef40289,
c59f032e-3bea-f5b8-09b5-02f16190b482,-1,2023-06-20 14:24:02.434,2020-06-13 07:29:30.081,,1495366676392,2,761.495,,-1,cfxbbbfj2r,com.sec.android.app.shealth,tracker.sport_cycling,da84d47e-c7d1-4c21-ad00-f220751028a8,
142f55c5-a747-8a0d-7a87-ba2e1cf99aa5,-1,2023-06-20 14:24:02.404,2016-06-08 17:58:02.764,,1461757806355,3,24875.375,,11007,OBFuvbOf82,com.sec.android.app.shealth,tracker.sport_others,aa795574-dae0-4597-ada6-9c02ed8b0453,
,-100003,2023-08-04 05:18:37.080,2023-08-04 05:18:37.080,,1400544000000,0,18900.0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,aa4eb72b-74e5-474f-9e11-226c89034605,
,-1,2023-08-04 13:27:35.175,2023-08-04 13:27:35.175,,1480377600000,6,12.0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,f504cfec-8eb9-4d20-b31f-c0e3e09376ad,
,-1,2023-08-04 13:27:35.254,2023-08-04 13:27:35.254,,1498003200000,6,34.0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,8f75e9f7-7347-48e8-9609-ac5839e2393f,
f9c6dbdb-6d74-48d9-a1b2-b0063e1a7ebb,-1,2023-06-20 14:24:02.442,2020-04-16 20:04:45.015,,1587051375992,5,108.30482,,-1,cfxbbbfj2r,com.sec.android.app.shealth,tracker.sport_walking,277a8143-fcb9-4b92-8e22-604eec450da8,
f09eb540-8a26-4f13-bafc-dd8ce50dad68,-1,2023-06-20 14:24:02.436,2020-04-05 20:51:52.554,,1586103377720,5,79.02284,,-1,cfxbbbfj2r,com.sec.android.app.shealth,tracker.sport_walking,f08204a0-46e7-44c2-9764-5df1d0a2c1c1,
a40f92c4-63d1-f36c-4efd-c86f22a29706,-1,2023-06-20 14:24:02.431,2017-04-26 00:03:00.894,,1489494444916,1,2.73305E7,,1001,lR4XsWsS9x,com.sec.android.app.shealth,tracker.sport_others,c365fca6-864b-409f-b1ee-438f8815df26,
,-100003,2023-08-04 05:18:37.082,2023-08-04 05:18:37.082,,1415577600000,0,20218.0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,bcfb82f5-7499-4a7d-99bb-a1cb4e933a37,
,-1,2023-08-04 13:27:35.187,2023-08-04 13:27:35.187,,1482364800000,6,13.0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,291f5a82-821b-4377-9136-67715ccace5a,
,-1,2023-08-04 13:27:35.268,2023-08-04 13:27:35.268,,1506124800000,6,95.0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,cc5bf75e-7810-43ab-9d13-8ce9e7a8bce4,
