com.samsung.shealth.activity.day_summary,6261011,6
movement_type,create_sh_ver,energy_type,exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,modify_sh_ver,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
,,,,9550,,5844416,,0,,2016-04-13 17:35:07.938,,2016-04-12 04:02:17.040,,,,60,540000,160,,,,7744.9995,,443.64987,e0aeade9-4054-4d80-a4c6-5b97d4cbba79.extra_data.json,OBFuvbOf82,219019,com.sec.android.app.shealth,5625397,43800000,e0aeade9-4054-4d80-a4c6-5b97d4cbba79,1460419200000,
,,,,4578,,2938221,,0,,2015-11-20 17:50:26.655,,2015-11-19 05:18:52.022,,,,60,180000,80,,,,3514.9097,,204.08994,cb131d7f-a33a-49d4-96f3-e185b8938db3.extra_data.json,OBFuvbOf82,28400,com.sec.android.app.shealth,2909821,37680000,cb131d7f-a33a-49d4-96f3-e185b8938db3,1447891200000,
null
,,,,6962,,4395700,,0,,2016-02-20 08:26:47.022,,2016-02-19 05:00:02.615,,,,60,794075,120,,,,5302.2534,,291.04926,9f89199a-a5f6-4321-989c-c92f04ab581d.extra_data.json,OBFuvbOf82,47891,com.sec.android.app.shealth,4347809,41040000,9f89199a-a5f6-4321-989c-c92f04ab581d,1455840000000,
,,,,6753,,4134768,,0,,2016-08-18 03:35:01.354,,2016-08-17 04:00:13.239,,,,60,240000,113,,,,5472.648,,303.11996,493386d2-3268-4855-8463-65eeaa8bc15c.extra_data.json,OBFuvbOf82,83299,com.sec.android.app.shealth,4051469,23520000,493386d2-3268-4855-8463-65eeaa8bc15c,1471392000000,
,,,,7276,,4614379,,0,,2015-12-18 06:07:10.728,,2015-12-17 05:00:04.359,,,,60,420000,125,,,,5730.5913,,327.43005,9270b9c7-9980-444e-a1af-efec8c513b9d.extra_data.json,OBFuvbOf82,57120,com.sec.android.app.shealth,4557259,39780000,9270b9c7-9980-444e-a1af-efec8c513b9d,1450310400000,
,,,,4564,,2573169,,0,,2016-04-19 21:44:39.797,,2016-04-18 04:00:16.637,,,,60,2223000,70,,,,3405.9128,,186.17128,ce07869b-9087-4e7f-b5e6-aa44a5f00040.extra_data.json,OBFuvbOf82,43372,com.sec.android.app.shealth,2529797,35820000,ce07869b-9087-4e7f-b5e6-aa44a5f00040,1460937600000,
,,,,5494,,3447991,,0,,2016-05-10 07:48:19.499,,2016-05-09 04:00:00.948,,,,60,300000,95,,,,4301.68,,236.88002,35e51749-08f6-4b71-973b-73352aa3da22.extra_data.json,OBFuvbOf82,20968,com.sec.android.app.shealth,3427023,47400000,35e51749-08f6-4b71-973b-73352aa3da22,1462752000000,
null
,,,,6582,,3866817,,0,,2015-10-22 00:35:02.550,,2015-10-21 04:00:00.842,,,,60,600000,105,,,,5255.0493,,295.75,7ca056b0-565a-496e-8b08-a2f835cf98ea.extra_data.json,TiXFQW5DKB,89736,com.sec.android.app.shealth,3777081,38340000,7ca056b0-565a-496e-8b08-a2f835cf98ea,1445385600000,
null
,,,,782,,521327,,0,,2015-11-03 01:34:24.178,,2015-11-02 05:00:04.358,,,,60,32683,13,,,,593.4401,,35.64,1c783930-f08a-46ba-a32c-14cb8a12d631.extra_data.json,TiXFQW5DKB,400,com.sec.android.app.shealth,520927,30540000,1c783930-f08a-46ba-a32c-14cb8a12d631,1446422400000,
