com.samsung.shealth.tracker.pedometer_step_count,6242001,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
7951,4,0,13,2023-07-01 18:56:00.000,,,2023-07-01 19:11:27.408,2023-07-01 18:56:00.185,13,1.2110761,9.629999,0.41,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 18:57:00.000,0b8771ba-41d7-40c6-93e3-182cb22214b2,
6975,4,0,10,2023-07-01 18:19:00.000,,,2023-07-01 18:19:27.844,2023-07-01 18:19:25.386,10,1.0235871,7.14,0.32999998,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 18:20:00.000,5cf3a0fe-22cd-4175-a7fe-eaf94b9015d0,
6809,4,0,13,2023-07-01 23:04:00.000,,,2023-07-01 23:04:59.953,2023-07-01 23:04:54.365,13,1.5168936,10.33,0.41,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 23:05:00.000,a62f73b1-2519-46c6-bd13-22eb56f2e7d4,
5588,4,0,10,2023-07-01 19:11:00.000,,,2023-07-01 19:11:31.951,2023-07-01 19:11:29.419,10,1.3795577,7.71,0.31,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 19:12:00.000,546dadba-09b7-4e7a-9c47-364a16edf536,
10265,4,0,14,2023-07-01 23:16:00.000,,,2023-07-01 23:29:09.391,2023-07-01 23:29:09.391,14,0.9722222,9.98,0.45,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 23:17:00.000,52388edb-1829-4b95-82ca-fc761405eb5e,
5299,4,0,8,2023-07-01 23:05:00.000,,,2023-07-01 23:05:07.052,2023-07-01 23:05:00.699,8,1.1000948,5.83,0.24,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 23:06:00.000,811133e1-7711-4543-8bfd-85e0db211442,
60000,4,0,89,2023-07-01 23:33:00.000,,,2023-07-01 23:35:01.874,2023-07-01 23:35:01.874,89,1.0768334,64.61,2.69,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 23:34:00.000,951134d6-7340-4a43-941e-465d0a6c80e5,
12360,4,0,17,2023-07-01 23:17:00.000,,,2023-07-01 23:29:09.472,2023-07-01 23:29:09.472,17,1.0,12.36,0.56,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 23:18:00.000,54acdcd6-3c43-43e8-b328-acd43e7e658a,
4478,4,0,7,2023-06-30 14:10:00.000,,,2023-06-30 14:13:04.274,2023-06-30 14:13:04.274,7,1.1388888,5.1,0.23,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-06-30 14:11:00.000,72e07363-0ef1-4dd8-a41b-4f4e069f223e,
38813,4,0,61,2023-07-01 23:29:00.000,,,2023-07-01 23:35:00.513,2023-07-01 23:35:00.513,61,1.0555555,40.97,3.09,UTC-0400,ry+ZjrbuWN,com.sec.android.app.shealth,2023-07-01 23:30:00.000,9a59b2d2-6cb8-4d6b-9f26-c566f5d4ecb7,
60000,4,0,95,2023-07-01 23:34:00.000,,,2023-07-01 23:35:01.892,2023-07-01 23:35:01.892,95,1.1501667,69.01,2.85,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 23:35:00.000,c8ba8cb4-6134-4f46-811a-50217071583e,
18406,4,0,27,2023-06-30 14:56:00.000,,,2023-06-30 14:57:31.152,2023-06-30 14:56:22.653,27,1.0615882,19.539999,0.8699998,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-06-30 14:57:00.000,4f5e64fb-e7f8-403d-8e3d-4f564ef2ff8c,
60000,4,0,93,2023-07-01 23:35:00.000,,,2023-07-01 23:36:55.951,2023-07-01 23:36:55.951,93,1.0296667,61.78,4.65,UTC-0400,ry+ZjrbuWN,com.sec.android.app.shealth,2023-07-01 23:36:00.000,3e200f1a-4127-434c-ae07-9e7c11357b99,
60000,4,0,95,2023-07-01 23:36:00.000,,,2023-07-01 23:47:56.833,2023-07-01 23:47:56.833,95,1.1556666,69.34,2.85,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 23:37:00.000,bb8cf244-c458-4b0d-aa20-f078d331c7b3,
24736,4,0,40,2023-06-30 21:51:00.000,,,2023-06-30 21:55:01.811,2023-06-30 21:51:43.658,40,1.1994572,29.669994,1.2499994,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-06-30 21:52:00.000,1d0c8efb-8121-4291-b291-2774124bde50,
60000,4,0,95,2023-07-01 23:42:00.000,,,2023-07-01 23:47:57.089,2023-07-01 23:47:57.089,95,1.1504999,69.03,2.85,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 23:43:00.000,7e56e172-58a4-4bfc-b2c2-d84448a86c43,
15889,4,0,23,2023-07-01 00:06:00.000,,,2023-07-01 00:10:37.468,2023-07-01 00:06:22.912,23,1.0573063,16.8,0.77,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 00:07:00.000,10fd60b6-96a1-475d-84b0-a1534fc75e70,
53396,4,0,84,2023-07-01 23:40:00.000,,,2023-07-01 23:44:34.872,2023-07-01 23:40:11.122,84,1.0455666,55.830063,4.2600093,UTC-0400,ry+ZjrbuWN,com.sec.android.app.shealth,2023-07-01 23:41:00.000,e4537e9c-3955-4afa-808c-2287d260923b,
59896,4,0,92,2023-07-01 23:46:00.000,,,2023-07-01 23:47:45.957,2023-07-01 23:47:45.957,92,1.0277778,61.56,4.6,UTC-0400,ry+ZjrbuWN,com.sec.android.app.shealth,2023-07-01 23:47:00.000,c6ccad64-91ad-4b8d-a8bb-9a780d477b3f,
13145,4,0,18,2023-07-01 00:33:00.000,,,2023-07-01 00:35:00.253,2023-07-01 00:35:00.253,18,0.9722222,12.78,0.57,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 00:34:00.000,1fb4bac2-09d5-492b-9659-0f75305ad8aa,
60000,4,0,95,2023-07-01 23:53:00.000,,,2023-07-01 23:55:01.998,2023-07-01 23:55:01.998,95,1.1528332,69.17,2.85,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 23:54:00.000,7e0ba718-c9fb-4bed-97a1-e0b87b4f4c9e,
18227,4,0,29,2023-07-01 00:32:00.000,,,2023-07-01 00:34:59.465,2023-07-01 00:34:59.465,29,1.0555555,19.24,1.43,UTC-0400,ry+ZjrbuWN,com.sec.android.app.shealth,2023-07-01 00:33:00.000,959e20b5-8a20-43be-81e2-94de780ad2c2,
23686,4,0,35,2023-06-30 14:50:00.000,,,2023-06-30 14:50:57.139,2023-06-30 14:50:35.904,35,1.0681034,25.299994,1.1399996,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-06-30 14:51:00.000,7879036c-7b69-40e5-ad19-1079c42327f5,
9673,4,0,13,2023-07-01 02:14:00.000,,,2023-07-01 02:14:59.540,2023-07-01 02:14:59.540,13,0.8611111,8.33,0.72,UTC-0400,ry+ZjrbuWN,com.sec.android.app.shealth,2023-07-01 02:15:00.000,1408fa09-c0aa-4a0a-bd43-6e645c0b787a,
10971,4,0,15,2023-06-30 21:47:00.000,,,2023-06-30 21:47:13.305,2023-06-30 21:47:00.207,15,0.9971745,10.940001,0.49,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-06-30 21:48:00.000,48a38cba-612d-4555-b756-12e5d874fb6b,
5427,4,0,8,2023-07-01 17:52:00.000,,,2023-07-01 17:52:51.562,2023-07-01 17:52:50.305,8,1.0519705,5.71,0.26,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 17:53:00.000,16ab22c7-2d2e-44e0-8cc2-0c3e611ed946,
15495,4,0,25,2023-06-30 23:22:00.000,,,2023-06-30 23:22:24.882,2023-06-30 23:22:13.204,25,1.1925669,18.479996,0.7799998,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-06-30 23:23:00.000,ce397202-9cea-4ae1-a9f6-6a8768b011b7,
22604,4,0,33,2023-07-01 00:32:00.000,,,2023-07-01 00:35:00.223,2023-07-01 00:35:00.223,33,1.0555556,23.86,1.04,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 00:33:00.000,7cc90de3-22d3-4694-b0cf-1e0617f2b72a,
4736,4,0,6,2023-07-01 18:06:00.000,,,2023-07-01 18:06:29.464,2023-07-01 18:06:29.464,6,0.8888889,4.21,0.21,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 18:07:00.000,292687c3-5c21-4a29-aade-85df6c178753,
