com.samsung.shealth.report,6242001,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
America/New_York,1563076800000,2019-07-27 17:51:13.761,2019-07-21 05:24:59.387,0,0,2,4V/TlqPcbG,X,com.sec.android.app.shealth,cf821630-3ec5-4e9f-9ee1-30d3a1dc772d,cf821630-3ec5-4e9f-9ee1-30d3a1dc772d.compressed_content.json,
America/New_York,1518930000000,2018-02-26 18:26:33.022,2018-02-25 18:26:28.731,0,0,1,EHdtKydEi4,X,com.sec.android.app.shealth,ebc15875-8179-447f-9e55-06ff93eab5dc,ebc15875-8179-447f-9e55-06ff93eab5dc.compressed_content.json,
America/New_York,1478404800000,2017-08-24 22:48:41.461,2017-04-19 17:25:55.072,0,0,1,lR4XsWsS9x,X,com.sec.android.app.shealth,cac6af43-9c9d-420b-be0e-e1f0a44cacaf,cac6af43-9c9d-420b-be0e-e1f0a44cacaf.compressed_content.json,
America/New_York,1552194000000,2019-03-23 17:50:52.092,2019-03-17 17:51:00.534,0,0,2,4V/TlqPcbG,X,com.sec.android.app.shealth,95ab7456-5477-4682-86f0-391381a45de7,95ab7456-5477-4682-86f0-391381a45de7.compressed_content.json,
America/New_York,1473566400000,2016-09-18 19:58:44.613,2016-09-18 19:57:12.715,0,,1,J9OOjwOhpg,X,com.sec.android.app.shealth,2e1ea67e-ac4c-4b93-88bf-55826c366c24,2e1ea67e-ac4c-4b93-88bf-55826c366c24.compressed_content.json,
America/New_York,1616904000000,2021-04-04 17:32:38.123,2021-04-04 17:32:37.396,0,0,2,KwIsSebkfa,X,com.sec.android.app.shealth,06bb0634-23b1-454b-b7de-67827f902264,06bb0634-23b1-454b-b7de-67827f902264.compressed_content.json,
America/New_York,1555819200000,2019-05-04 17:50:57.429,2019-04-28 17:50:52.743,0,0,2,4V/TlqPcbG,X,com.sec.android.app.shealth,58a27383-a9e5-4982-bf5e-ea1741edfc91,58a27383-a9e5-4982-bf5e-ea1741edfc91.compressed_content.json,
America/New_York,1557028800000,2019-05-19 00:51:57.569,2019-05-12 17:52:39.888,0,0,2,4V/TlqPcbG,X,com.sec.android.app.shealth,bc167fd6-41c2-48b9-87a6-4309b5cae582,bc167fd6-41c2-48b9-87a6-4309b5cae582.compressed_content.json,
America/New_York,1472961600000,2016-09-11 19:58:14.219,2016-09-11 19:57:05.355,0,,1,J9OOjwOhpg,X,com.sec.android.app.shealth,839660b9-8eee-439c-a32d-679ebf3c9cb9,839660b9-8eee-439c-a32d-679ebf3c9cb9.compressed_content.json,
America/New_York,1558238400000,2019-06-01 17:51:16.832,2019-05-26 17:51:01.146,0,0,2,4V/TlqPcbG,X,com.sec.android.app.shealth,22df2b28-139c-485b-8079-7db08a90f407,22df2b28-139c-485b-8079-7db08a90f407.compressed_content.json,
America/New_York,1457240400000,2017-08-24 22:48:43.944,2017-04-19 17:25:55.841,0,0,1,lR4XsWsS9x,X,com.sec.android.app.shealth,93474950-a738-4c8d-be18-02e9c2ea69a6,93474950-a738-4c8d-be18-02e9c2ea69a6.compressed_content.json,
America/New_York,1624161600000,2021-06-27 17:57:31.230,2021-06-27 17:57:30.556,0,0,2,KwIsSebkfa,X,com.sec.android.app.shealth,6b1c2353-eef6-4bac-98f7-688c6444df5f,6b1c2353-eef6-4bac-98f7-688c6444df5f.compressed_content.json,
America/New_York,1615698000000,2021-03-24 22:57:47.573,2021-03-24 22:57:46.977,0,0,2,KwIsSebkfa,X,com.sec.android.app.shealth,e2e3016c-a041-4ead-9f05-c72a554ade7a,e2e3016c-a041-4ead-9f05-c72a554ade7a.compressed_content.json,
America/New_York,1502596800000,2017-08-21 19:51:01.560,2017-08-20 19:52:11.780,0,0,1,lR4XsWsS9x,X,com.sec.android.app.shealth,5eff08b6-3aa7-424a-bd80-c8a2984e8b86,5eff08b6-3aa7-424a-bd80-c8a2984e8b86.compressed_content.json,
America/New_York,1498968000000,2017-07-09 19:51:06.196,2017-07-09 19:51:05.175,0,0,1,lR4XsWsS9x,X,com.sec.android.app.shealth,c16799f7-6998-46e4-b312-03dbc046a438,c16799f7-6998-46e4-b312-03dbc046a438.compressed_content.json,
America/New_York,1457240400000,2017-04-11 04:07:23.375,2016-11-18 16:06:53.305,0,0,1,Q2GTsbBv8Q,X,com.sec.android.app.shealth,79823f82-369b-48b1-9119-77eb92cf1636,79823f82-369b-48b1-9119-77eb92cf1636.compressed_content.json,
America/New_York,1471150800000,2020-10-14 04:42:26.016,2019-08-27 05:18:57.739,0,0,1,cfxbbbfj2r,X,com.sec.android.app.shealth,0bc89bf1-d223-4cf2-a7db-0b0e32da986d,0bc89bf1-d223-4cf2-a7db-0b0e32da986d.compressed_content.json,
America/New_York,1485061200000,2017-01-31 19:44:02.635,2017-01-29 19:45:13.051,0,0,1,Q2GTsbBv8Q,X,com.sec.android.app.shealth,3deb1a4f-236c-4093-853a-b8b27af65bc7,3deb1a4f-236c-4093-853a-b8b27af65bc7.compressed_content.json,
America/New_York,1489896000000,2017-03-26 18:44:02.157,2017-03-26 18:44:01.190,0,0,1,Q2GTsbBv8Q,X,com.sec.android.app.shealth,2abdd52d-f7db-4c1a-a42d-c8edb4402f09,2abdd52d-f7db-4c1a-a42d-c8edb4402f09.compressed_content.json,
America/Chicago,1483855200000,2017-01-15 20:45:29.138,2017-01-15 20:45:27.657,0,0,1,Q2GTsbBv8Q,X,com.sec.android.app.shealth,d08a2e63-e254-4566-ab93-3e693d1dbc74,d08a2e63-e254-4566-ab93-3e693d1dbc74.compressed_content.json,
America/Denver,1523772000000,2018-04-22 19:28:27.012,2018-04-22 19:27:20.951,0,0,1,9wVta8KBzt,X,com.sec.android.app.shealth,244585cc-b7da-4eb8-9e44-346b1015a994,244585cc-b7da-4eb8-9e44-346b1015a994.compressed_content.json,
America/New_York,1468123200000,2018-07-27 16:01:32.789,2018-04-17 13:24:02.389,0,0,1,9wVta8KBzt,X,com.sec.android.app.shealth,b53d50ec-50f0-456d-8608-ea5287149e6c,b53d50ec-50f0-456d-8608-ea5287149e6c.compressed_content.json,
America/New_York,1578200400000,2020-01-12 18:29:10.241,2020-01-12 18:29:00.773,0,0,2,cfxbbbfj2r,X,com.sec.android.app.shealth,1c19f1e2-3dab-4ca3-b084-68f996c58972,1c19f1e2-3dab-4ca3-b084-68f996c58972.compressed_content.json,
America/New_York,1527393600000,2018-06-03 17:28:21.992,2018-06-03 17:27:03.013,0,0,1,9wVta8KBzt,X,com.sec.android.app.shealth,475a77c2-ff49-4863-bce4-fae6afd4fbca,475a77c2-ff49-4863-bce4-fae6afd4fbca.compressed_content.json,
America/New_York,1626580800000,2021-07-25 17:32:52.827,2021-07-25 17:32:51.996,0,0,2,KwIsSebkfa,X,com.sec.android.app.shealth,39b2cf65-5b4c-4357-8a0a-7db06a2dde55,39b2cf65-5b4c-4357-8a0a-7db06a2dde55.compressed_content.json,
America/New_York,1463889600000,2020-10-14 04:42:26.470,2019-08-27 05:18:58.017,0,0,1,cfxbbbfj2r,X,com.sec.android.app.shealth,7a06e014-eb7c-490d-9123-b3bd8c435f52,7a06e014-eb7c-490d-9123-b3bd8c435f52.compressed_content.json,
America/New_York,1629000000000,2021-08-22 17:33:06.038,2021-08-22 17:33:04.474,0,0,2,KwIsSebkfa,X,com.sec.android.app.shealth,c3b16223-2c9c-4826-ae31-f31f3a277977,c3b16223-2c9c-4826-ae31-f31f3a277977.compressed_content.json,
America/New_York,1459051200000,2017-08-24 22:48:43.701,2017-04-19 17:25:55.794,0,0,1,lR4XsWsS9x,X,com.sec.android.app.shealth,1015dcd4-9b2d-41db-b79a-05d73debd4bc,1015dcd4-9b2d-41db-b79a-05d73debd4bc.compressed_content.json,
America/New_York,1477800000000,2020-10-14 04:42:25.632,2019-08-27 05:18:57.560,0,0,1,cfxbbbfj2r,X,com.sec.android.app.shealth,94886dd1-bf72-4619-b312-018640b2c8f2,94886dd1-bf72-4619-b312-018640b2c8f2.compressed_content.json,
America/New_York,1466913600000,2018-07-27 16:01:33.048,2018-04-17 13:24:03.002,0,0,1,9wVta8KBzt,X,com.sec.android.app.shealth,4b890dc5-4e2e-4fed-ad67-f2efe9151999,4b890dc5-4e2e-4fed-ad67-f2efe9151999.compressed_content.json,
America/New_York,1469937600000,2017-04-11 04:07:20.854,2016-11-18 16:06:52.328,0,0,1,Q2GTsbBv8Q,X,com.sec.android.app.shealth,5e090640-b404-452c-ae5c-9385dea48915,5e090640-b404-452c-ae5c-9385dea48915.compressed_content.json,
America/Chicago,1476594000000,2016-10-23 20:45:12.103,2016-10-23 20:43:21.808,0,,1,Sg8DVB0xC3,X,com.sec.android.app.shealth,f0920eed-b8a2-4f61-a80c-de952e395979,f0920eed-b8a2-4f61-a80c-de952e395979.compressed_content.json,
America/New_York,1618113600000,2021-04-20 15:46:59.973,2021-04-20 15:46:59.300,0,0,2,KwIsSebkfa,X,com.sec.android.app.shealth,fca621a1-9a3a-4319-9157-160e27389e03,fca621a1-9a3a-4319-9157-160e27389e03.compressed_content.json,
America/New_York,1474171200000,2016-09-25 19:44:02.263,2016-09-25 19:42:54.732,0,,1,Sg8DVB0xC3,X,com.sec.android.app.shealth,db921310-daa3-470f-93d5-954b5f24272c,db921310-daa3-470f-93d5-954b5f24272c.compressed_content.json,
America/New_York,1477195200000,2017-04-11 04:07:18.049,2016-11-04 18:44:38.658,0,0,1,Q2GTsbBv8Q,X,com.sec.android.app.shealth,94a6ecb5-205d-457a-9954-f1456a57565a,94a6ecb5-205d-457a-9954-f1456a57565a.compressed_content.json,
America/New_York,1469332800000,2018-03-14 16:00:38.805,2017-09-06 22:02:34.513,0,0,1,EHdtKydEi4,X,com.sec.android.app.shealth,acfd7105-4263-4f81-bd25-e77b4ed607ad,acfd7105-4263-4f81-bd25-e77b4ed607ad.compressed_content.json,
America/New_York,1617508800000,2021-04-11 17:38:36.129,2021-04-11 17:38:32.625,0,0,2,KwIsSebkfa,X,com.sec.android.app.shealth,8a9d967f-ad53-4d34-ad58-75e2133ede55,8a9d967f-ad53-4d34-ad58-75e2133ede55.compressed_content.json,
America/New_York,1466308800000,2019-07-22 16:18:12.950,2019-03-06 18:49:20.352,0,0,1,4V/TlqPcbG,X,com.sec.android.app.shealth,66c22c78-ab12-42ae-9116-6f3598b4467a,66c22c78-ab12-42ae-9116-6f3598b4467a.compressed_content.json,
America/New_York,1477800000000,2019-07-22 16:18:11.784,2019-03-06 18:49:18.555,0,0,1,4V/TlqPcbG,X,com.sec.android.app.shealth,7ba0f203-3223-4549-8430-3123411ad937,7ba0f203-3223-4549-8430-3123411ad937.compressed_content.json,
America/New_York,1547960400000,2019-02-02 18:14:24.649,2019-01-27 18:15:16.547,0,0,2,Mz5pMh3q+T,X,com.sec.android.app.shealth,cfc47e0f-ef08-4bf7-aa4f-90ebcd5bb4d4,cfc47e0f-ef08-4bf7-aa4f-90ebcd5bb4d4.compressed_content.json,
