date,calories,carbs_g,fat_g,protein_g,chol_mg,sodium_mg,sugar_g,fiber_g
2011-08-23,2033,268,83,47,18,5893,93,10
2011-08-24,1622,232,57,53,43,2386,67,11
2011-08-25,1587,234,60,40,20,2249,56,11
2011-08-26,1723,246,52,67,15,2229,74,15
2011-08-27,2665,246,88,97,50,4727,169,35
2011-08-28,1488,244,29,31,13,2691,66,14
2011-08-29,1679,301,38,46,10,3495,77,16
2011-08-30,1828,273,66,44,11,4982,60,16
2011-08-31,1787,238,61,75,75,3161,50,11
2011-09-01,2350,342,86,79,129,2369,134,32
2011-09-02,2090,305,50,48,15,1868,92,19
2011-09-03,1607,241,51,40,15,2893,88,14
2011-09-04,1628,294,34,48,10,2963,154,19
2011-09-05,1724,318,40,40,41,1777,103,24
2011-09-06,1893,264,66,39,15,2758,65,14
2011-09-07,1556,270,41,46,15,2958,127,13
2011-09-08,1581,277,39,35,14,3017,65,23
2011-09-09,1753,241,43,52,26,1873,33,15
2011-09-10,1549,241,48,44,30,2917,74,13
2011-09-11,1822,263,68,51,40,5665,85,14
2011-09-12,1612,222,67,47,60,2764,40,12
2011-09-13,1576,215,46,21,25,1288,67,9
2011-09-14,1599,245,54,45,40,2066,74,8
2011-09-15,1670,309,33,35,40,2484,60,10
2011-09-16,1616,215,57,48,40,1996,22,10
2011-09-17,2047,272,52,63,81,3458,24,15
2011-09-18,1714,193,74,72,202,1935,64,19
2011-09-19,1565,236,46,62,80,3845,88,15
2011-09-20,2284,266,94,39,66,3025,95,15
2011-09-21,1884,263,73,68,90,4818,103,15
2011-09-22,1899,252,62,84,0,2854,68,17
2011-09-23,2008,262,72,81,45,2527,60,17
2011-09-24,2262,328,45,45,45,3839,154,22
2011-09-25,2206,345,58,47,70,1568,133,11
2011-09-26,1623,242,53,56,100,3830,108,14
2011-09-27,1830,254,81,51,54,2666,108,10
2011-09-28,1791,192,84,45,40,1830,63,11
2011-09-29,1889,233,82,47,10,2876,50,14
2011-09-30,2631,283,79,84,189,2889,106,29
2011-10-01,1377,201,40,61,60,3169,62,9
2011-10-02,1566,195,48,100,50,3104,90,12
2011-10-03,1949,263,84,50,55,4213,110,13
2011-10-04,1792,253,67,40,10,4552,48,13
2011-10-05,1714,280,41,61,105,2088,173,12
2011-10-06,1791,190,55,104,50,3277,60,13
2011-10-07,1688,259,56,51,50,3712,114,9
2011-10-08,1999,317,65,51,25,3089,97,21
2011-10-09,1675,278,53,31,77,2325,86,21
2011-10-10,2070,270,70,78,169,5148,78,11
2011-10-11,1831,258,78,42,7,1941,27,15
2011-10-12,1755,199,71,84,56,5098,20,15
2011-10-13,1777,250,74,43,18,4113,94,12
2011-10-14,1735,247,49,46,146,2427,132,16
2011-10-15,1695,238,66,50,36,5845,89,8
2011-10-16,1691,208,55,100,53,3200,70,14
2011-10-17,3009,351,160,76,10,4304,160,12
2011-10-18,2662,319,131,81,115,5592,80,23
2011-10-19,2887,304,171,82,10,2277,122,15
2011-10-20,2344,347,74,58,75,2975,128,19
2011-10-21,3607,429,183,63,205,2931,97,13
2011-10-22,2410,242,73,46,120,1629,229,6
2011-10-23,2425,277,107,90,146,5218,128,18
2011-10-24,1507,239,55,25,70,2742,136,11
2011-10-25,1876,185,99,91,25,3490,50,12
2011-10-26,1745,269,77,58,66,2656,78,20
2011-10-27,1629,253,55,49,10,3432,88,14
2011-10-28,1897,245,85,52,28,2734,93,18
2011-10-29,2001,300,69,41,10,2730,186,13
2011-10-30,2056,321,68,48,55,1996,127,10
2011-10-31,2027,219,94,100,53,2770,130,11
2011-11-01,2283,291,112,42,50,2176,174,14
2011-11-02,2053,259,87,72,34,5297,130,18
2011-11-03,2551,283,112,68,68,2410,110,11
2011-11-04,1796,254,58,73,21,3015,57,16
2011-11-05,1870,254,67,53,43,3393,141,14
2011-11-06,1768,260,46,45,21,2945,148,17
2011-11-07,1741,197,66,103,43,3008,74,13
2011-11-08,2585,199,70,58,97,2548,69,9
2011-11-09,1932,271,73,61,110,2946,98,12
2011-11-10,2384,262,89,136,194,3948,84,32
2011-11-11,1846,268,68,47,160,2002,151,6
2011-11-12,1806,281,65,38,23,1640,204,12
2011-11-13,2509,262,121,95,109,6262,104,9
2011-11-14,3454,331,195,81,239,3738,46,15
2011-11-15,2338,301,110,56,168,2848,140,14
2011-11-16,2323,234,70,45,50,1592,124,11
2011-11-17,1605,211,49,37,15,1296,77,6
2011-11-18,1473,198,64,43,20,2454,54,11
2011-11-19,1493,167,50,99,50,3220,66,9
2011-11-20,1506,206,52,53,115,2940,85,15
2011-11-21,1653,187,68,75,59,4303,64,17
2011-11-22,2507,296,106,54,93,3169,76,13
2011-11-23,2177,341,65,31,10,2688,82,6
2011-11-24,2269,269,75,70,182,2658,117,10
2011-11-25,2624,277,133,107,245,4500,101,38
2011-11-26,1667,185,74,83,65,2390,59,11
2011-11-27,1907,263,82,34,90,2383,109,14
2011-11-28,2024,187,80,51,55,1992,75,7
2011-11-29,1957,241,89,68,107,3388,73,11
2011-11-30,1642,189,57,104,50,3155,78,11
2011-12-01,1607,209,41,67,105,2962,60,11
2011-12-02,2002,287,72,48,55,4742,78,13
2011-12-03,1955,256,79,56,69,3490,44,9
2011-12-04,1515,247,41,43,53,3603,41,9
2011-12-05,1406,173,55,56,80,2527,47,8
2011-12-06,1807,241,79,51,76,2457,130,10
2011-12-07,1684,245,50,45,40,2169,58,7
2011-12-08,1821,228,73,68,30,3652,17,17
2011-12-09,2326,329,93,57,83,4942,116,22
2011-12-10,1424,209,45,55,55,3936,68,13
2011-12-11,1774,221,56,58,80,5017,64,16
2011-12-12,1544,191,46,100,50,3216,89,9
2011-12-13,1938,234,94,61,49,2851,95,13
2011-12-14,1769,281,58,38,85,2226,151,15
2011-12-15,1669,259,50,57,72,4129,124,12
2011-12-16,1505,170,65,64,50,3970,68,19
2011-12-17,1880,305,52,49,45,2632,86,11
2011-12-18,1726,243,61,59,91,2479,83,12
2011-12-19,1806,279,57,52,25,4098,97,12
2011-12-20,2368,313,113,62,148,3389,91,13
2011-12-21,2088,297,76,80,144,4249,127,34
2011-12-22,1725,204,64,25,26,1969,80,4
2011-12-23,2258,331,89,45,60,2398,115,10
2011-12-24,3777,456,156,64,100,2591,195,20
2011-12-25,3084,392,147,62,135,4240,168,34
2011-12-26,1989,254,93,37,98,2198,122,14
2011-12-27,1524,292,57,51,43,2578,75,14
2011-12-28,1104,201,36,79,40,1261,62,7
