Date,Calories
2023-06-17,1872
2023-06-18,2190
2023-06-19,2176
2023-06-20,2309
2023-06-21,2235
2023-06-22,2900
2023-06-23,2367
2023-06-24,3803
2023-06-25,2452
2023-06-26,1978
2023-06-27,2121
2023-06-28,2221
2023-06-29,2327
2023-06-30,2481
2023-07-01,2997
2023-07-02,2205
2023-07-03,2113
2023-07-04,2316
2023-07-05,2134
2023-07-06,2770
2023-07-07,2058
2023-07-08,4113
2023-07-09,2178
2023-07-10,1928
2023-07-11,1891
2023-07-12,1880
2023-07-13,2267
2023-07-14,1850
2023-07-15,1838
2023-07-16,2392
2023-07-17,2462
2023-07-18,2679
2023-07-19,2523
2023-07-20,2416
2023-07-21,2455
2023-07-22,1978
2023-07-23,2009
2023-07-24,2190
2023-07-25,1968
2023-07-26,1973
2023-07-27,2050
2023-07-28,2095
2023-07-29,2036
2023-07-30,2280
2023-07-31,2154
