Date,Calories
2019-01-04,2314
2019-01-05,2294
2019-01-06,1195
2019-01-07,2022
2019-01-08,1171
2019-01-09,2260
2019-01-10,1115
2019-01-11,2320
2019-01-12,1300
2019-01-13,3001
2019-01-14,2415
2019-01-15,2072
2019-01-16,2884
2019-01-17,1613
2019-01-18,1652
2019-01-19,2018
2019-01-20,2246
2019-01-21,2070
2019-01-22,1623
2019-01-23,1770
2019-01-24,2314
2019-01-25,1780
2019-01-26,1925
2019-01-27,2473
2019-01-28,1712
2019-01-29,2221
2019-01-30,1670
2019-01-31,1559
2019-02-01,1702
2019-02-02,2413
2019-02-03,2276
2019-02-04,1896
2019-02-05,1985
2019-02-06,1780
2019-02-07,2120
2019-02-08,1874
2019-02-09,2387
2019-02-10,4261
2019-02-11,2449
2019-02-12,2100
2019-02-13,1970
2019-02-14,1870
2019-02-15,1975
2019-02-16,1766
2019-02-17,2553
2019-02-18,1619
2019-02-19,1769
2019-02-20,1988
2019-02-21,1726
2019-02-22,2082
2019-02-23,2005
2019-02-24,2467
2019-02-25,2004
2019-02-26,2081
2019-02-27,1492
2019-02-28,1930
2019-03-01,1713
2019-03-02,2225
2019-03-03,1613
2019-03-04,1978
2019-03-05,1780
2019-03-06,1889
2019-03-07,1770
2019-03-08,2817
2019-03-09,2510
2019-03-10,2304
2019-03-11,1853
2019-03-12,1845
2019-03-13,1933
2019-03-14,1655
2019-03-15,1806
2019-03-16,1795
2019-03-17,1760
2019-03-18,2052
2019-03-19,1830
2019-03-20,1795
2019-03-21,1870
2019-03-22,2446
2019-03-23,1898
2019-03-24,1625
2019-03-25,1544
2019-03-26,1635
2019-03-27,2440
2019-03-28,2100
2019-03-29,2302
2019-03-30,2170
2019-03-31,1722
2019-04-01,2173
2019-04-02,1865
2019-04-03,1957
2019-04-04,2061
2019-04-05,2625
2019-04-06,2030
2019-04-07,2091
2019-04-08,2214
2019-04-09,2140
2019-04-10,2552
2019-04-11,2144
2019-04-12,2056
2019-04-13,2045
2019-04-14,3193
2019-04-15,2008
2019-04-16,1773
2019-04-17,1918
2019-04-18,1851
2019-04-19,2166
2019-04-20,2471
2019-04-21,2177
2019-04-22,1595
2019-04-23,1735
2019-04-24,2298
2019-04-25,1867
2019-04-26,2185
2019-04-27,3469
2019-04-28,2393
2019-04-29,1201
2019-04-30,1255
2019-05-01,1377
2019-05-02,1316
2019-05-03,1422
2019-05-04,1340
2019-05-05,1280
2019-05-06,1451
2019-05-07,1589
2019-05-08,1578
2019-05-09,1462
2019-05-10,1592
2019-05-11,1586
2019-05-12,1408
2019-05-13,1579
2019-05-14,2072
2019-05-15,3093
2019-05-16,1926
2019-05-17,2260
2019-05-18,3212
2019-05-19,1759
2019-05-20,1608
2019-05-21,2317
2019-05-22,2241
2019-05-23,1610
2019-05-24,2022
2019-05-25,1743
2019-05-26,2027
2019-05-27,2024
2019-05-28,1971
2019-05-29,2144
2019-05-30,2129
2019-05-31,2367
2019-06-01,2830
2019-06-02,2057
2019-06-03,2156
2019-06-04,2684
2019-06-05,1843
2019-06-06,2933
2019-06-07,2201
2019-06-08,1987
2019-06-09,2331
2019-06-10,3576
2019-06-11,1868
2019-06-12,2675
2019-06-13,2623
2019-06-14,2600
2019-06-15,3470
2019-06-16,2606
2019-06-17,2201
2019-06-18,2695
2019-06-19,2886
2019-06-20,1627
2019-06-21,2700
2019-06-22,2997
2019-06-23,2214
2019-06-24,1964
2019-06-25,2458
2019-06-26,2908
2019-06-27,3360
2019-06-28,2929
2019-06-29,3342
2019-06-30,1430
2019-07-01,1166
2019-07-02,1230
2019-07-03,1217
2019-07-04,1198
2019-07-05,1312
2019-07-06,1328
2019-07-07,1352
2019-07-08,1468
2019-07-09,1328
2019-07-10,1542
2019-07-11,1375
2019-07-12,1940
2019-07-13,1778
2019-07-14,1552
2019-07-15,2032
2019-07-16,1544
2019-07-17,1936
2019-07-18,2004
2019-07-19,1477
2019-07-20,1882
2019-07-21,1686
2019-07-22,1569
2019-07-23,1598
2019-07-24,1553
2019-07-25,1789
2019-07-26,1714
2019-07-27,2160
2019-07-28,1505
2019-07-29,1678
2019-07-30,2481
2019-07-31,1390
2019-08-01,1567
2019-08-02,2545
2019-08-03,2330
2019-08-04,3180
2019-08-05,2085
2019-08-06,2135
2019-08-07,1551
2019-08-08,2496
2019-08-09,3265
2019-08-10,2625
2019-08-11,2825
2019-08-12,1608
2019-08-13,2199
2019-08-14,1760
2019-08-15,1854
2019-08-16,2161
2019-08-17,1743
2019-08-18,1267
2019-08-19,1479
2019-08-20,2148
2019-08-21,2296
2019-08-22,2742
2019-08-23,1573
