date,calories,carbs_g,fat_g,protein_g,chol_mg,sodium_mg,sugar_g,fiber_g,lbs,fat_pct,calories_42d_avg,carbs_g_42d_avg,fat_g_42d_avg,protein_g_42d_avg,chol_mg_42d_avg,sodium_mg_42d_avg,sugar_g_42d_avg,fiber_g_42d_avg,lbs_interp,fat_pct_interp
2011-06-27,1890.0,187.0,96.0,50.0,40.0,1794.0,23.0,13.0,,,1744.0238095238096,219.45238095238096,71.5,53.45238095238095,64.26190476190476,3419.7619047619046,74.71428571428571,13.642857142857142,244.98461538461538,0.3496923076923077
2011-06-28,1931.0,268.0,59.0,50.0,120.0,2617.0,90.0,14.0,,,1723.1190476190477,217.52380952380952,69.80952380952381,52.714285714285715,57.73809523809524,3385.690476190476,74.85714285714286,13.404761904761905,244.75384615384615,0.34907692307692306
2011-06-29,1457.0,132.0,67.0,29.0,41.0,648.0,46.0,6.0,,,1701.1666666666667,212.52380952380952,69.26190476190476,51.857142857142854,57.88095238095238,3334.190476190476,74.5952380952381,13.357142857142858,244.52307692307693,0.34846153846153843
2011-06-30,2279.0,288.0,81.0,53.0,15.0,3120.0,58.0,20.0,,,1714.1190476190477,213.5,69.5,52.333333333333336,56.26190476190476,3310.785714285714,73.0,13.547619047619047,244.29230769230767,0.3478461538461538
2011-07-01,1839.0,181.0,68.0,83.0,153.0,3079.0,62.0,15.0,,,1713.2619047619048,210.0952380952381,70.0952380952381,53.30952380952381,58.976190476190474,3336.3571428571427,72.21428571428571,13.785714285714286,244.06153846153845,0.34723076923076923
2011-07-02,1553.0,172.0,61.0,76.0,129.0,3228.0,57.0,14.0,,,1705.5714285714287,209.35714285714286,70.19047619047619,53.69047619047619,59.857142857142854,3351.3571428571427,71.38095238095238,13.571428571428571,243.83076923076922,0.3466153846153846
2011-07-03,1705.0,204.0,63.0,61.0,151.0,2989.0,95.0,8.0,243.6,0.346,1697.2857142857142,209.42857142857142,69.16666666666667,53.30952380952381,59.76190476190476,3308.690476190476,72.5952380952381,13.214285714285714,243.6,0.346
2011-07-04,2024.0,209.0,113.0,41.0,86.0,2047.0,101.0,9.0,,,1706.2857142857142,209.14285714285714,70.69047619047619,53.23809523809524,60.73809523809524,3274.1666666666665,72.64285714285714,13.119047619047619,243.1,0.3455
2011-07-05,1406.0,187.0,55.0,48.0,54.0,4952.0,32.0,6.0,242.6,0.345,1698.1190476190477,209.83333333333334,69.42857142857143,53.19047619047619,59.714285714285715,3276.714285714286,72.73809523809524,13.023809523809524,242.6,0.345
2011-07-06,1801.0,326.0,38.0,38.0,10.0,2144.0,102.0,16.0,241.8,0.342,1698.452380952381,211.42857142857142,68.83333333333333,52.80952380952381,58.523809523809526,3235.3809523809523,71.97619047619048,13.071428571428571,241.8,0.342
2011-07-07,1701.0,294.0,45.0,47.0,5.0,4284.0,86.0,21.0,,,1702.5,212.95238095238096,68.47619047619048,52.976190476190474,58.04761904761905,3254.5238095238096,73.47619047619048,13.380952380952381,241.53333333333333,0.3413333333333334
2011-07-08,1618.0,239.0,64.0,44.0,15.0,2282.0,88.0,8.0,,,1698.6904761904761,214.35714285714286,68.38095238095238,53.23809523809524,57.357142857142854,3223.5476190476193,73.80952380952381,13.357142857142858,241.26666666666668,0.3406666666666667
