date,year,first_start,first_end,second_start,second_end,first_duration_min,second_duration_min,break_min,pair_duration_min,pair_distance_m,pair_steps,source_types
2021-03-28,2021,2021-03-28 15:00:59,2021-03-28 15:41:16,2021-03-28 15:57:34,2021-03-28 16:19:34,40.29,22.0,16.3,62.29,4326.06,5958.0,4.0
2021-04-15,2021,2021-04-15 13:38:37,2021-04-15 14:16:01,2021-04-15 14:46:45,2021-04-15 15:23:13,37.4,36.48,30.73,73.88,5369.7,7194.0,4.0
2021-05-09,2021,2021-05-09 14:48:15,2021-05-09 15:25:02,2021-05-09 15:48:08,2021-05-09 16:24:53,36.78,36.72,23.1,73.5,5503.06,7268.0,"4.0,7.0"
2021-05-22,2021,2021-05-22 15:18:38,2021-05-22 15:59:02,2021-05-22 16:20:01,2021-05-22 16:56:54,40.4,36.88,20.98,77.28,5458.47,7317.0,4.0
2021-05-25,2021,2021-05-25 14:29:08,2021-05-25 15:03:04,2021-05-25 15:21:19,2021-05-25 15:56:22,33.93,35.04,18.25,68.97,5070.16,6793.0,4.0
2021-06-17,2021,2021-06-17 14:11:43,2021-06-17 14:47:07,2021-06-17 14:59:08,2021-06-17 15:23:02,35.39,23.91,12.02,59.3,4379.38,5880.0,4.0
2021-06-24,2021,2021-06-24 14:11:38,2021-06-24 14:48:15,2021-06-24 15:23:44,2021-06-24 16:01:17,36.61,37.56,35.48,74.17,5509.49,7371.0,4.0
2021-06-27,2021,2021-06-27 15:12:50,2021-06-27 15:48:11,2021-06-27 16:23:23,2021-06-27 16:59:31,35.35,36.12,35.2,71.47,5332.1,7127.0,4.0
2021-07-01,2021,2021-07-01 13:29:38,2021-07-01 14:04:42,2021-07-01 14:24:24,2021-07-01 15:01:51,35.07,37.45,19.7,72.52,5332.92,7166.0,4.0
2021-07-16,2021,2021-07-16 15:13:31,2021-07-16 15:50:36,2021-07-16 16:11:34,2021-07-16 16:48:21,37.07,36.78,20.97,73.85,5337.8,7183.0,4.0
2021-07-22,2021,2021-07-22 15:41:26,2021-07-22 16:18:39,2021-07-22 16:41:39,2021-07-22 17:04:06,37.21,22.45,23.0,59.66,4290.6,5771.0,4.0
2021-07-27,2021,2021-07-27 15:15:32,2021-07-27 15:52:41,2021-07-27 16:11:09,2021-07-27 16:32:46,37.15,21.62,18.47,58.77,4298.36,5747.0,4.0
2021-08-12,2021,2021-08-12 15:03:19,2021-08-12 15:39:17,2021-08-12 15:53:39,2021-08-12 16:19:59,35.98,26.32,14.37,62.3,4445.92,5970.0,4.0
2022-03-22,2022,2022-03-22 14:15:43,2022-03-22 14:51:50,2022-03-22 15:21:04,2022-03-22 15:57:05,36.12,35.84,29.23,71.96,5343.09,7040.0,"4.0,7.0"
2022-03-24,2022,2022-03-24 15:32:33,2022-03-24 16:09:36,2022-03-24 16:23:33,2022-03-24 16:53:26,37.04,29.88,13.95,66.92,4644.53,6443.0,4.0
2022-03-30,2022,2022-03-30 14:20:30,2022-03-30 15:00:00,2022-03-30 15:16:10,2022-03-30 16:22:10,39.33,39.05,16.17,78.38,5636.52,6941.0,7.0
2022-05-12,2022,2022-05-12 14:53:20,2022-05-12 15:16:12,2022-05-12 15:38:15,2022-05-12 15:59:16,22.86,21.02,22.05,43.88,3094.65,4037.0,4.0
2022-05-18,2022,2022-05-18 14:59:11,2022-05-18 15:33:45,2022-05-18 15:41:11,2022-05-18 16:06:49,34.57,25.63,7.43,60.2,4505.78,5934.0,4.0
2022-06-14,2022,2022-06-14 14:26:46,2022-06-14 15:02:52,2022-06-14 15:17:27,2022-06-14 15:53:39,35.45,35.95,14.58,71.4,5389.86,6936.0,7.0
2022-06-22,2022,2022-06-22 15:14:16,2022-06-22 15:52:44,2022-06-22 16:13:35,2022-06-22 17:07:57,38.46,43.01,20.85,81.47,4740.29,6783.0,"4.0,7.0"
2022-07-15,2022,2022-07-15 14:47:42,2022-07-15 15:19:40,2022-07-15 15:32:25,2022-07-15 16:12:03,31.97,39.63,12.75,71.6,4979.24,6703.0,4.0
2022-08-26,2022,2022-08-26 15:55:02,2022-08-26 16:30:11,2022-08-26 16:38:11,2022-08-26 17:09:31,34.98,31.1,8.0,66.08,5615.92,6595.0,7.0
2022-08-27,2022,2022-08-27 15:44:09,2022-08-27 16:05:41,2022-08-27 16:45:13,2022-08-27 17:17:43,21.54,31.85,39.53,53.39,4037.03,5080.0,"4.0,7.0"
2023-03-05,2023,2023-03-05 15:27:55,2023-03-05 16:01:30,2023-03-05 16:25:59,2023-03-05 16:56:04,33.58,30.1,24.48,63.68,4788.45,6344.0,4.0
2023-03-24,2023,2023-03-24 14:22:01,2023-03-24 14:55:18,2023-03-24 15:24:57,2023-03-24 15:55:11,33.1,30.23,29.65,63.33,5478.8,6478.0,"4.0,7.0"
2023-03-26,2023,2023-03-26 13:49:25,2023-03-26 14:24:00,2023-03-26 14:36:50,2023-03-26 15:11:16,34.59,34.44,12.83,69.03,5886.59,6994.0,4.0
2023-03-29,2023,2023-03-29 14:42:22,2023-03-29 15:16:57,2023-03-29 15:33:32,2023-03-29 15:55:13,34.58,21.68,16.58,56.26,4513.44,5514.0,4.0
2023-04-04,2023,2023-04-04 15:40:39,2023-04-04 16:16:36,2023-04-04 16:45:55,2023-04-04 17:16:37,35.94,30.69,29.32,66.63,5294.75,6403.0,4.0
2023-04-13,2023,2023-04-13 15:51:03,2023-04-13 16:28:05,2023-04-13 16:41:50,2023-04-13 17:06:03,37.03,24.22,13.75,61.25,4905.91,5768.0,4.0
2023-04-15,2023,2023-04-15 15:27:30,2023-04-15 16:05:33,2023-04-15 16:41:46,2023-04-15 17:03:55,38.06,22.15,36.22,60.21,4930.42,5816.0,4.0
2023-04-21,2023,2023-04-21 15:16:38,2023-04-21 15:50:20,2023-04-21 16:12:20,2023-04-21 16:43:47,33.7,31.45,22.0,65.15,5322.92,6485.0,4.0
2023-05-05,2023,2023-05-05 15:00:55,2023-05-05 15:31:21,2023-05-05 15:54:14,2023-05-05 16:27:19,30.44,32.92,22.88,63.36,5437.72,6624.0,"4.0,7.0"
2023-05-06,2023,2023-05-06 15:57:25,2023-05-06 16:31:20,2023-05-06 16:49:53,2023-05-06 17:10:38,33.91,20.75,18.55,54.66,4584.62,5410.0,4.0
2023-05-09,2023,2023-05-09 15:01:55,2023-05-09 15:36:19,2023-05-09 15:56:48,2023-05-09 16:31:53,34.4,35.1,20.48,69.5,4680.74,6839.0,4.0
2023-05-11,2023,2023-05-11 15:27:01,2023-05-11 16:02:09,2023-05-11 16:19:23,2023-05-11 16:59:54,35.13,40.51,17.23,75.64,6092.13,7271.0,4.0
2023-05-17,2023,2023-05-17 15:06:43,2023-05-17 15:42:13,2023-05-17 16:17:21,2023-05-17 16:53:31,35.49,36.16,35.13,71.65,6034.95,7149.0,4.0
2023-05-21,2023,2023-05-21 13:55:13,2023-05-21 14:31:53,2023-05-21 14:50:21,2023-05-21 15:27:13,36.67,36.88,18.47,73.55,6033.96,7196.0,4.0
2023-05-23,2023,2023-05-23 16:04:11,2023-05-23 16:37:38,2023-05-23 16:52:37,2023-05-23 17:31:06,33.45,38.47,14.98,71.92,5928.45,6949.0,4.0
2023-07-28,2023,2023-07-28 14:24:32,2023-07-28 14:57:51,2023-07-28 15:29:19,2023-07-28 16:05:16,33.31,35.96,31.47,69.27,4719.01,6789.0,4.0
2024-03-05,2024,2024-03-05 13:10:14,2024-03-05 13:42:01,2024-03-05 13:58:03,2024-03-05 14:42:14,31.78,44.17,16.03,75.95,5905.96,7460.0,8.0
2024-03-13,2024,2024-03-13 15:30:32,2024-03-13 16:01:38,2024-03-13 16:18:11,2024-03-13 16:49:44,31.1,31.03,16.55,62.13,4518.5,6031.0,4.0
2024-03-22,2024,2024-03-22 15:03:01,2024-03-22 15:33:31,2024-03-22 15:57:13,2024-03-22 16:33:00,30.5,35.79,23.7,66.29,5040.66,6497.0,"4.0,8.0"
2024-03-27,2024,2024-03-27 15:20:13,2024-03-27 15:56:20,2024-03-27 16:27:42,2024-03-27 16:59:26,36.12,31.74,31.37,67.86,4871.42,6480.0,4.0
2024-04-18,2024,2024-04-18 15:14:22,2024-04-18 15:50:35,2024-04-18 16:05:10,2024-04-18 16:39:15,36.22,34.09,14.58,70.31,5060.94,6783.0,4.0
2024-05-01,2024,2024-05-01 14:20:08,2024-05-01 14:55:14,2024-05-01 15:24:47,2024-05-01 15:59:10,35.1,34.39,29.55,69.49,5198.28,6693.0,"4.0,8.0"
2024-05-07,2024,2024-05-07 15:32:07,2024-05-07 16:07:19,2024-05-07 16:20:20,2024-05-07 16:54:43,35.2,34.38,13.02,69.58,5233.6,6722.0,"4.0,8.0"
2024-05-10,2024,2024-05-10 16:04:36,2024-05-10 16:38:35,2024-05-10 16:47:34,2024-05-10 17:21:41,32.13,33.54,8.98,65.67,4743.53,6233.0,4.0
2024-05-19,2024,2024-05-19 15:37:21,2024-05-19 16:14:20,2024-05-19 16:31:20,2024-05-19 17:06:38,36.98,35.28,17.0,72.26,5201.98,6887.0,4.0
2024-05-21,2024,2024-05-21 13:40:12,2024-05-21 14:21:56,2024-05-21 14:35:11,2024-05-21 15:02:38,40.79,27.4,13.25,68.19,5043.84,6424.0,"4.0,8.0"
2024-05-25,2024,2024-05-25 15:16:59,2024-05-25 15:53:02,2024-05-25 16:07:03,2024-05-25 16:40:59,36.05,33.76,14.02,69.81,5324.52,6768.0,"4.0,8.0"
2024-05-28,2024,2024-05-28 13:32:29,2024-05-28 14:08:45,2024-05-28 14:37:04,2024-05-28 15:16:01,36.27,38.52,28.32,74.79,6198.39,7352.0,8.0
2024-05-30,2024,2024-05-30 15:13:42,2024-05-30 15:52:07,2024-05-30 16:10:19,2024-05-30 16:43:29,38.42,33.12,18.2,71.54,5334.7,6748.0,"4.0,8.0"
2024-06-07,2024,2024-06-07 15:54:59,2024-06-07 16:24:02,2024-06-07 16:55:53,2024-06-07 17:29:03,29.07,33.15,31.85,62.22,4892.5,6150.0,8.0
2024-06-08,2024,2024-06-08 15:08:38,2024-06-08 15:47:11,2024-06-08 16:05:45,2024-06-08 16:28:18,38.55,22.55,18.57,61.1,4595.17,5948.0,"4.0,8.0"
2024-06-11,2024,2024-06-11 14:49:17,2024-06-11 15:27:46,2024-06-11 15:38:03,2024-06-11 16:00:12,38.48,22.14,10.28,60.62,4675.52,5921.0,"4.0,8.0"
2024-06-13,2024,2024-06-13 15:02:43,2024-06-13 15:41:43,2024-06-13 16:15:59,2024-06-13 16:49:28,39.01,33.37,34.27,72.38,5578.26,6860.0,4.0
2024-06-14,2024,2024-06-14 15:43:10,2024-06-14 16:17:44,2024-06-14 16:43:16,2024-06-14 17:25:22,34.57,40.9,25.53,75.47,6042.0,7024.0,"4.0,8.0"
2024-06-15,2024,2024-06-15 14:24:59,2024-06-15 14:49:40,2024-06-15 15:12:23,2024-06-15 15:48:50,24.7,36.18,22.72,60.88,4953.79,6016.0,8.0
2024-06-25,2024,2024-06-25 14:28:04,2024-06-25 15:04:41,2024-06-25 15:14:10,2024-06-25 15:36:52,36.62,22.7,9.48,59.32,4701.15,5854.0,8.0
2024-06-28,2024,2024-06-28 14:03:59,2024-06-28 14:40:32,2024-06-28 14:59:29,2024-06-28 15:30:48,36.56,31.19,18.95,67.75,5473.3,6564.0,8.0
2024-07-11,2024,2024-07-11 14:43:38,2024-07-11 15:23:30,2024-07-11 15:44:19,2024-07-11 16:16:20,39.88,32.02,20.82,71.9,5632.69,6917.0,8.0
2024-07-17,2024,2024-07-17 14:51:15,2024-07-17 15:29:29,2024-07-17 15:42:19,2024-07-17 16:15:18,37.71,32.95,12.83,70.66,5452.69,6774.0,"4.0,8.0"
2024-08-27,2024,2024-08-27 15:36:33,2024-08-27 16:16:26,2024-08-27 16:37:50,2024-08-27 17:01:20,39.83,23.15,21.4,62.98,4747.46,5965.0,8.0
2025-05-17,2025,2025-05-17 15:30:05,2025-05-17 16:08:30,2025-05-17 16:23:22,2025-05-17 17:07:24,38.4,42.07,14.87,80.47,6206.02,7286.0,"4.0,8.0"
2025-06-08,2025,2025-06-08 13:20:34,2025-06-08 14:01:35,2025-06-08 14:13:44,2025-06-08 14:40:29,40.33,26.48,12.15,66.81,5028.27,6097.0,"4.0,8.0"
2025-06-10,2025,2025-06-10 15:18:14,2025-06-10 15:57:21,2025-06-10 16:18:18,2025-06-10 16:54:42,39.1,35.22,20.95,74.32,5828.45,7067.0,8.0
2025-06-14,2025,2025-06-14 14:38:03,2025-06-14 15:16:40,2025-06-14 15:30:03,2025-06-14 16:08:15,38.62,37.17,13.38,75.79,5778.05,7139.0,8.0
2025-06-17,2025,2025-06-17 14:03:00,2025-06-17 14:35:54,2025-06-17 14:54:28,2025-06-17 15:27:19,32.9,32.57,18.57,65.47,5279.49,6400.0,8.0
2025-06-26,2025,2025-06-26 15:08:44,2025-06-26 15:45:36,2025-06-26 15:59:16,2025-06-26 16:33:33,36.57,34.14,13.67,70.71,5635.59,6738.0,"4.0,8.0"
2025-07-08,2025,2025-07-08 14:31:31,2025-07-08 15:09:50,2025-07-08 15:21:16,2025-07-08 15:45:30,38.32,24.18,11.43,62.5,4718.59,5978.0,8.0
