sp_params,baseline,m0,a,b,c,rmse,corr,mean_m,frac_high,frac_low,score,trial_mean_abs_err,SURMOUNT-4_mid,STEP-1 extension_mid,STEP-4_mid
"tol=3.0,hold=7,rate=0.001",-400,0.0,0.0005,0.005,200,1781.8080229492693,-0.16138244807752092,0.6972575697818217,0.6503362151777138,0.2526416906820365,-2.5857254519266624,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=3.0,hold=7,rate=0.001",-400,0.1,0.0005,0.005,200,1781.8079078473145,-0.16138374485832072,0.69740562692421,0.6503362151777138,0.2526416906820365,-2.5857987170055012,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=3.0,hold=7,rate=0.001",-400,0.2,0.0005,0.005,200,1781.807795863681,-0.1613850409547844,0.6975536840665982,0.6503362151777138,0.2521613832853026,-2.5858719855448298,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=3.0,hold=7,rate=0.001",-400,0.3,0.0005,0.005,200,1781.8076869983693,-0.161386336366883,0.6977017412089864,0.6503362151777138,0.2521613832853026,-2.5859452575446626,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=2.5,hold=7,rate=0.001",-400,0.0,0.0005,0.005,200,1784.0342145158154,-0.16142441338242167,0.6977712090744262,0.6512968299711815,0.2526416906820365,-2.58818748048706,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=2.5,hold=7,rate=0.001",-400,0.1,0.0005,0.005,200,1784.0340995574893,-0.16142570942343704,0.6979192662168145,0.6512968299711815,0.2526416906820365,-2.58826074607942,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=2.5,hold=7,rate=0.001",-400,0.2,0.0005,0.005,200,1784.0339877135937,-0.16142700478123442,0.6980673233592027,0.6512968299711815,0.2521613832853026,-2.5883340151278196,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=2.5,hold=7,rate=0.001",-400,0.3,0.0005,0.005,200,1784.0338789841285,-0.16142829945578502,0.6982153805015909,0.6512968299711815,0.2521613832853026,-2.5884072876322737,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=3.0,hold=7,rate=0.001",-400,0.0,0.0005,0.002,200,1781.2321640132627,-0.1594968699619002,0.7130100485190157,0.6589817483189241,0.2281460134486071,-2.5939686214170625,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=3.0,hold=7,rate=0.001",-400,0.1,0.0005,0.002,200,1781.2320488740963,-0.15949817989923054,0.7131581056614039,0.6589817483189241,0.2281460134486071,-2.5940418798804252,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=3.0,hold=7,rate=0.001",-400,0.2,0.0005,0.002,200,1781.2319368542592,-0.1594994891489912,0.7133061628037922,0.6589817483189241,0.2276657060518732,-2.5941151418069017,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
