date,fm,surplus,sp,pressure,m_expr,pred_surplus,overload,recovery
2011-04-21,101.56,-1093.0,101.56,0.0,0.0,-400.0,493.0,0.0
2011-04-22,101.25,-588.0,101.56,17.050000000000125,0.2465,-395.797175,493.0,0.0
2011-04-23,101.08,-1037.0,101.56,26.40000000000022,0.24840258750000005,-393.44217168999995,5.050000000000125,0.0
2011-04-24,100.79,418.0,101.56,42.34999999999978,0.42254770797625013,-382.1051045672059,463.4000000000002,0.0
2011-04-25,100.91,-1313.0,101.56,35.75000000000031,0.0,-400.0,0.0,975.6500000000002
2011-04-26,100.54,-857.0,101.56,56.09999999999978,0.3743750000000002,-378.9975625000001,748.7500000000003,0.0
2011-04-27,100.29,-1196.0,101.56,69.84999999999978,0.4723165937500001,-367.0086859265626,313.0999999999998,0.0
2011-04-28,99.95,-1069.0,101.55839,88.46145,0.6479955917757813,-342.6773703579063,665.8499999999998,0.0
2011-04-29,99.65,-1223.0,101.55648161,104.85648855000001,0.7461100356833137,-321.7655215863325,557.46145,0.0
2011-04-30,99.3,-620.0,101.55422512839,123.98238206145024,0.8385077646361278,-296.039809963391,727.85648855,0.0
2011-05-01,99.12,-447.0,101.5517909032616,133.748499679388,0.8501337830021871,-286.2958819966951,143.98238206145027,0.0
2011-05-02,98.99,-1304.0,101.54922911235835,140.75760117970935,0.7683020290220388,-291.8556494133544,0.0,19.251500320611967
2011-05-03,98.62,-1355.0,101.546299883246,160.94649357852938,0.866166340102813,-260.5935647047043,844.7576011797094,0.0
2011-05-04,98.23,-1058.0,101.54298358336274,182.21409708495054,0.927458575855618,-231.00397301677447,915.9464935785295,0.0
2011-05-05,97.93,-447.0,101.53937059977937,198.51538298786522,0.9506795970355439,-211.2754756957396,640.2140970849505,0.0
2011-05-06,97.8,-451.0,101.5356312291796,205.45971760487816,0.9518020155505654,-204.44302666922698,45.51538298786522,0.0
2011-05-07,97.67,-466.0,101.53176559795043,212.3971078872733,0.9531626378461351,-197.55101237527643,56.459717604878165,0.0
2011-05-08,97.54,-858.0,101.52777383235248,219.32756077938606,0.954998594713101,-190.54248767383407,78.39710788727331,0.0
2011-05-09,97.29,928.0,101.52353605852012,232.84448321860637,0.965738800221721,-175.13304813821645,477.3275607793861,0.0
2011-05-10,97.56,-200.0,101.5195725224616,217.77648873538794,0.0,-400.0,0.0,1295.1555167813935
2011-05-11,97.5,-778.0,101.51555294993913,220.8554122466524,0.0,-400.0,0.0,182.22351126461206
2011-05-12,97.28,438.0,101.5113173969892,232.72245683440588,0.1994277061233262,-353.5886942701296,398.85541224665235,0.0
2011-05-13,97.4,373.0,101.50720607959221,225.89633437757115,0.0,-400.0,0.0,805.2775431655941
2011-05-14,97.51,760.0,101.50320887351262,219.62648804319377,0.0,-400.0,0.0,747.1036656224288
2011-05-15,97.73,-379.0,101.49943566463911,207.31896155515074,0.0,-400.0,0.0,1140.3735119568062
2011-05-16,97.62,391.0,101.49555622897446,213.15559259359532,0.0,-400.0,0.0,13.681038444849264
2011-05-17,97.73,78.0,101.4917906727455,206.898487001002,0.0,-400.0,0.0,777.8444074064047
2011-05-18,97.75,-351.0,101.48804888207275,205.59268851400105,0.0,-400.0,0.0,471.10151299899803
2011-05-19,97.65,-995.0,101.48421083319067,210.8815958254867,0.0,-400.0,0.0,43.407311485998946
2011-05-20,97.37,-855.0,101.48009662235748,226.0553142296611,0.30294079791274336,-331.5186227348505,605.8815958254867,0.0
2011-05-21,97.13,-853.0,101.47574652573512,239.01605891543176,0.4706028146611244,-287.51836992518867,481.0553142296611,0.0
2011-05-22,96.89,-678.0,101.47116077920938,251.96384285651612,0.6008387730268024,-248.61035381097278,492.0160589154318,0.0
2011-05-23,96.7,-1085.0,101.46638961843017,262.15142901365925,0.6666931592125016,-225.22543559881166,329.96384285651607,0.0
2011-05-24,96.4,-982.0,101.46132322881174,278.3727775846452,0.7912085004097055,-179.74909209236841,747.1514290136593,0.0
2011-05-25,96.12,-946.0,101.45598190558293,293.47900480706096,0.8601486116699585,-147.56444146092545,660.3727775846452,0.0
2011-05-26,95.86,-1202.0,101.45038592367735,307.471225802254,0.9048646249850488,-121.78016457075012,639.479004807061,0.0
2011-05-27,95.52,-957.0,101.44445553775367,325.845054576452,0.9481260680510513,-91.05780961054836,909.4712258022541,0.0
2011-05-28,95.25,-1431.0,101.43826108221592,340.3543595218754,0.9658369969974387,-71.27316748440523,682.845054576452,0.0
2011-05-29,94.85,-1516.0,101.4316728211337,361.99200516235396,0.9858454882481432,-43.13181492879477,1171.3543595218753,0.0
2011-05-30,94.42,-1341.0,101.42466114831257,385.25636315719106,0.994890164676068,-16.71223341603917,1277.992005162354,0.0
2011-05-31,94.04,-1050.0,101.41727648716426,405.7502067940339,0.9977676569501999,4.844433139942282,1126.2563631571911,0.0
2011-06-01,93.74,-1086.0,101.4095992106771,421.8279565872408,0.9987228209634507,21.289206764057155,855.7502067940338,0.0
2011-06-02,93.43,-398.0,101.40161961146643,438.4390786306533,0.999302550380924,38.13328946227426,907.8279565872408,0.0
2011-06-03,93.31,-917.0,101.39352799185497,444.59403955202305,0.9993850025535868,44.32061535300801,236.43907863065328,0.0
2011-06-04,93.04,-998.0,101.38517446386311,458.98459551247066,0.9996191917483508,58.80981039111964,761.5940395520231,0.0
2011-06-05,92.75,-973.0,101.37653928939925,474.45966091695857,0.9997823651511045,74.35640196034791,856.9845955124706,0.0
2011-06-06,92.47,-1060.0,101.36763275010985,489.36980125604174,0.9998745835287288,89.30842622242153,847.4596609169585,0.0
2011-06-07,92.15,-1097.0,101.35841511735974,506.46283145478543,0.9999341168339313,106.42946407995305,949.3698012560417,0.0
2011-06-08,91.83,-1349.0,101.34888670224238,523.5387686233311,0.9999671724881155,123.52158214818212,1003.4628314547854,0.0
2011-06-09,91.44,-1461.0,101.33897781554013,544.4437798547075,0.9999880596288907,144.43727899392786,1272.5387686233312,0.0
2011-06-10,91.02,-1441.0,101.32865883772459,566.9762360748526,0.9999964503890431,166.97422352979277,1405.4437798547074,0.0
2011-06-11,90.61,-1026.0,101.31794017888687,588.9367098387779,0.9999989492729804,188.9360910270641,1407.9762360748527,0.0
2011-06-12,90.32,-1345.0,101.30694223870799,604.2818231289398,0.9999994824836925,204.281510403242,1014.9367098387779,0.0
2011-06-13,89.93,-1374.0,101.29556529646928,625.1060913058099,0.999999831621366,225.10598605130008,1349.2818231289398,0.0
2011-06-14,89.54,-1189.0,101.28380973117281,645.9095352145041,0.9999999494111522,245.90950253868493,1399.10609130581,0.0
2011-06-15,89.19,-1296.0,101.27171592144164,664.4943756792903,0.9999999806474774,264.4943628196479,1234.909535214504,0.0
2011-06-16,88.82,-1179.0,101.2592642055202,684.1595313036112,0.9999999938119765,284.1595270700159,1360.4943756792904,0.0
2011-06-17,88.48,-1242.0,101.24648494131468,702.1566717723069,0.9999999977202069,302.156670171535,1263.1595313036112,0.0
2011-06-18,88.13,-923.0,101.23336845637336,720.6852651005348,0.9999999992524065,320.68526456175516,1344.156671772307,0.0
2011-06-19,87.86,-1308.0,101.21999508791698,734.7997298354342,0.9999999996425326,334.7997295727672,1043.6852651005347,0.0
2011-06-20,87.48,-977.0,101.20625509282907,754.9440301055985,0.9999999999004096,354.9440300304133,1442.7997298354342,0.0
2011-06-21,87.2,-75.0,101.19224883773624,769.5736860754932,0.9999999999567749,369.57368604222836,1131.9440301055984,0.0
2011-06-22,87.18,-1591.0,101.17823658889851,769.9030123894179,0.9999999999620608,369.9030123602083,244.57368607549324,0.0
2011-06-23,86.72,-900.0,101.16377835230962,794.4078093770291,0.9999999999954644,394.40780937342606,1760.9030123894179,0.0
2011-06-24,86.46,-1028.0,101.14907457395731,807.8991015676522,0.9999999999979463,407.8991015659931,1094.407809377029,0.0
2011-06-25,86.16,-294.0,101.13408549938335,823.5747024660842,0.9999999999992154,423.574702465438,1235.8991015676522,0.0
2011-06-26,86.08,-740.0,101.11903141388396,827.1467277636178,0.9999999999994185,427.1467277631368,517.5747024660842,0.0
2011-06-27,85.86,-864.0,101.10377238247007,838.4074810358538,0.9999999999996997,438.407481035602,967.146727763618,0.0
2011-06-28,85.61,-822.0,101.0882786100876,851.305323554818,0.9999999999998652,451.30532355470325,1102.4074810358538,0.0
2011-06-29,85.38,-1294.0,101.07257033147751,863.0913682312631,0.9999999999999375,463.0913682312091,1073.305323554818,0.0
2011-06-30,85.0,-470.0,101.05649776114603,883.1073768630318,0.9999999999999861,483.10737686301957,1557.091368231263,0.0
2011-07-01,84.87,-907.0,101.0403112633849,889.3671194861689,0.9999999999999913,489.3671194861612,753.1073768630318,0.0
2011-07-02,84.61,-1191.0,101.0238809521215,902.7634523666826,0.9999999999999966,502.76345236667953,1196.367119486169,0.0
2011-07-03,84.26,-1036.0,101.00711707116938,921.0914389143154,0.9999999999999991,521.0914389143146,1493.7634523666825,0.0
2011-07-04,83.96,-715.0,100.9900699540982,936.6538474754016,0.9999999999999997,536.6538474754012,1357.0914389143154,0.0
2011-07-05,83.75,-1329.0,100.9728298841441,947.2556436279258,0.9999999999999999,547.2556436279257,1051.6538474754016,0.0
2011-07-06,83.36,-931.0,100.95521705425996,967.7369379842979,1.0,567.7369379842979,1676.2556436279258,0.0
2011-07-07,83.09,-1028.0,100.9373518372057,981.6043510463131,1.0,581.6043510463131,1298.736937984298,0.0
2011-07-08,82.79,-1105.0,100.9192044853685,997.1062466952669,1.0,597.1062466952669,1409.6043510463132,0.0
2011-07-09,82.46,-1118.0,100.90074528088313,1014.2409904485725,1.0,614.2409904485725,1502.106246695267,0.0
2011-07-10,82.14,-944.0,100.88198453560224,1030.8091494581233,1.0,630.8091494581233,1532.2409904485726,0.0
2011-07-11,81.86,-1066.0,100.86296255106664,1045.1629403086654,1.0,645.1629403086654,1374.8091494581233,0.0
2011-07-12,81.55,-1079.0,100.84364958851558,1061.1507273683567,1.0,661.1507273683567,1511.1629403086654,0.0
2011-07-13,81.24,-1073.0,100.82404593892706,1077.1225266409883,1.0,677.1225266409883,1540.1507273683567,0.0
2011-07-14,80.93,-1111.0,100.80415189298813,1093.078354114347,1.0,693.0783541143469,1550.1225266409883,0.0
2011-07-15,80.61,-1102.0,100.78395774109514,1109.5676757602325,1.0,709.5676757602325,1604.078354114347,0.0
2011-07-16,80.3,-1110.0,100.76347378335404,1125.4910580844726,1.0,725.4910580844726,1611.5676757602325,0.0
2011-07-17,79.98,-1104.0,100.74269030957069,1141.9479670263877,1.0,741.9479670263877,1635.4910580844726,0.0
2011-07-18,79.66,-992.0,100.72160761926112,1158.388419059362,1.0,758.3884190593619,1645.9479670263877,0.0
2011-07-19,79.38,-545.0,100.70026601164186,1172.6146306403025,1.0,772.6146306403025,1550.388419059362,0.0
2011-07-20,79.22,-1055.0,100.67878574563022,1180.2332160096623,1.0,780.2332160096623,1117.6146306403025,0.0
2011-07-21,78.92,-964.0,100.65702695988459,1195.5364827936523,1.0,795.5364827936523,1635.2332160096623,0.0
2011-07-22,78.65,-259.0,100.6350199329247,1209.1760963108586,1.0,809.1760963108586,1559.5364827936523,0.0
2011-07-23,78.57,-1142.0,100.61295491299178,1212.3625202145483,1.0,812.3625202145483,868.1760963108586,0.0
2011-07-24,78.25,-1137.0,100.59059195807879,1228.7325576943335,1.0,828.7325576943335,1754.3625202145483,0.0
2011-07-25,77.93,-1151.0,100.56793136612072,1245.086225136639,1.0,845.0862251366391,1765.7325576943335,0.0
2011-07-26,77.61,-1058.0,100.5449734347546,1261.4235389115029,1.0,861.4235389115029,1796.086225136639,0.0
2011-07-27,77.31,-530.0,100.52173846131984,1276.6456153725912,1.0,876.6456153725912,1719.4235389115029,0.0
2011-07-28,77.17,-12.0,100.49838672285853,1283.061269757219,1.0,883.061269757219,1206.6456153725912,0.0
2011-07-29,77.17,-571.0,100.47505833613567,1281.778208487462,1.0,881.778208487462,695.061269757219,0.0
2011-07-30,77.02,-673.0,100.45160327779953,1288.7381802789746,1.0,888.7381802789746,1252.778208487462,0.0
2011-07-31,76.83,-1127.0,100.42798167452173,1297.8889920986953,1.0,897.8889920986953,1361.7381802789746,0.0
2011-08-01,76.52,-982.0,100.4040736928472,1313.6240531065964,1.0,913.6240531065964,1824.8889920986953,0.0
2011-08-02,76.25,-925.0,100.37991961915436,1327.14557905349,1.0,927.1455790534901,1695.6240531065964,0.0
2011-08-03,75.99,-1025.0,100.35552969953521,1340.1041334744368,1.0,940.1041334744368,1652.14557905349,0.0
2011-08-04,75.71,-1048.0,100.33088416983567,1354.148629340962,1.0,954.1486293409621,1765.1041334744368,0.0
2011-08-05,75.42,-669.0,100.30597328566583,1368.7285307116206,1.0,968.7285307116206,1802.148629340962,0.0
2011-08-06,75.24,-977.0,100.28090731238017,1377.2499021809094,1.0,977.2499021809094,1437.7285307116206,0.0
2011-08-07,74.97,-531.0,100.25559640506779,1390.7078022787286,1.0,990.7078022787286,1754.2499021809094,0.0
2011-08-08,74.83,-948.0,100.23017080866272,1397.0093944764496,1.0,997.0093944764496,1321.7078022787286,0.0
2011-08-09,74.57,-798.0,100.20451063785406,1409.8980850819735,1.0,1009.8980850819735,1745.0093944764496,0.0
2011-08-10,74.35,-1177.0,100.1786561272162,1420.5760869968913,1.0,1020.5760869968913,1607.8980850819735,0.0
2011-08-11,74.03,-1009.0,100.15250747108898,1436.7379109098938,1.0,1036.7379109098938,1997.5760869968913,0.0
2011-08-12,73.75,338.0,100.12610496361789,1450.685772998984,1.0,1050.685772998984,1845.7379109098938,0.0
2011-08-13,73.84,-1023.0,100.09981885865427,1444.2900372259849,1.0,1044.2900372259849,512.685772998984,0.0
2011-08-14,73.55,-1117.0,100.07326903979562,1458.7797971887592,1.0,1058.7797971887592,1867.2900372259846,0.0
2011-08-15,73.23,-1002.0,100.04642577075582,1474.9034173915697,1.0,1074.9034173915697,1975.7797971887594,0.0
2011-08-16,72.95,-57.0,100.01932934498507,1488.8131139741786,1.0,1088.8131139741786,1876.9034173915697,0.0
2011-08-17,72.93,-1245.0,99.99224001564008,1488.423200860204,1.0,1088.423200860204,945.8131139741786,0.0
2011-08-18,72.58,-725.0,99.96482777562444,1506.1655276593444,1.0,1106.1655276593444,2133.423200860204,0.0
2011-08-19,72.37,-1243.0,99.93723294784881,1516.1978121316845,1.0,1116.1978121316845,1631.1655276593444,0.0
2011-08-20,72.01,-832.0,99.90930571490097,1534.4618143195528,1.0,1134.4618143195528,2159.1978121316843,0.0
2011-08-21,71.77,-1039.0,99.88116640918606,1546.1141525052337,1.0,1146.1141525052337,1766.4618143195528,0.0
2011-08-22,71.47,-1054.0,99.85275524277688,1561.0515383527284,1.0,1161.0515383527284,1985.1141525052335,0.0
2011-08-23,71.16,-597.0,99.8240624875341,1576.523436814376,1.0,1176.523436814376,2015.0515383527281,0.0
2011-08-24,70.99,-1011.0,99.79522842504657,1584.2875633775618,1.0,1184.2875633775618,1573.523436814376,0.0
2011-08-25,70.69,-1048.0,99.76612319662152,1599.1867758141839,1.0,1199.1867758141839,1995.287563377562,0.0
2011-08-26,70.39,-913.0,99.7367470734249,1614.071089038369,1.0,1214.071089038369,2047.1867758141839,0.0
2011-08-27,70.12,28.0,99.70713032635147,1627.2921679493309,1.0,1227.2921679493309,1927.0710890383689,0.0
2011-08-28,70.12,-1150.0,99.67754319602513,1625.6648757813816,1.0,1225.6648757813816,999.2921679493309,0.0
