date,fm,surplus,sp,pressure,suppression,expression_day
2011-04-21,101.56,-1093.0,101.56,0.0,1093.0,0
2011-04-22,101.25,-588.0,101.56,17.050000000000125,605.0500000000002,0
2011-04-23,101.08,-1037.0,101.56,26.40000000000022,1063.4000000000003,0
2011-04-24,100.79,418.0,101.56,42.34999999999978,0.0,0
2011-04-25,100.91,-1313.0,101.56,35.75000000000031,1348.7500000000002,0
2011-04-26,100.54,-857.0,101.56,56.09999999999978,913.0999999999998,0
2011-04-27,100.29,-1196.0,101.56,69.84999999999978,1265.8499999999997,0
2011-04-28,99.95,-1069.0,101.55839,88.46145,1157.46145,0
2011-04-29,99.65,-1223.0,101.55648161,104.85648855000001,1327.85648855,0
2011-04-30,99.3,-620.0,101.55422512839,123.98238206145024,743.9823820614503,0
2011-05-01,99.12,-447.0,101.5517909032616,133.748499679388,580.748499679388,0
2011-05-02,98.99,-1304.0,101.54922911235835,140.75760117970935,1444.7576011797094,0
2011-05-03,98.62,-1355.0,101.546299883246,160.94649357852938,1515.9464935785295,0
2011-05-04,98.23,-1058.0,101.54298358336274,182.21409708495054,1240.2140970849505,0
2011-05-05,97.93,-447.0,101.53937059977937,198.51538298786522,645.5153829878652,0
2011-05-06,97.8,-451.0,101.5356312291796,205.45971760487816,656.4597176048782,0
2011-05-07,97.67,-466.0,101.53176559795043,212.3971078872733,678.3971078872733,0
2011-05-08,97.54,-858.0,101.52777383235248,219.32756077938606,1077.327560779386,0
2011-05-09,97.29,928.0,101.52353605852012,232.84448321860637,0.0,0
2011-05-10,97.56,-200.0,101.5195725224616,217.77648873538794,417.77648873538794,0
2011-05-11,97.5,-778.0,101.51555294993913,220.8554122466524,998.8554122466523,0
2011-05-12,97.28,438.0,101.5113173969892,232.72245683440588,0.0,0
2011-05-13,97.4,373.0,101.50720607959221,225.89633437757115,0.0,0
2011-05-14,97.51,760.0,101.50320887351262,219.62648804319377,0.0,1
2011-05-15,97.73,-379.0,101.49943566463911,207.31896155515074,586.3189615551507,0
2011-05-16,97.62,391.0,101.49555622897446,213.15559259359532,0.0,0
2011-05-17,97.73,78.0,101.4917906727455,206.898487001002,128.898487001002,0
2011-05-18,97.75,-351.0,101.48804888207275,205.59268851400105,556.5926885140011,0
2011-05-19,97.65,-995.0,101.48421083319067,210.8815958254867,1205.8815958254868,0
2011-05-20,97.37,-855.0,101.48009662235748,226.0553142296611,1081.055314229661,0
2011-05-21,97.13,-853.0,101.47574652573512,239.01605891543176,1092.0160589154318,0
2011-05-22,96.89,-678.0,101.47116077920938,251.96384285651612,929.9638428565161,0
2011-05-23,96.7,-1085.0,101.46638961843017,262.15142901365925,1347.1514290136593,0
2011-05-24,96.4,-982.0,101.46132322881174,278.3727775846452,1260.372777584645,0
2011-05-25,96.12,-946.0,101.45598190558293,293.47900480706096,1239.4790048070608,0
2011-05-26,95.86,-1202.0,101.45038592367735,307.471225802254,1509.4712258022541,0
2011-05-27,95.52,-957.0,101.44445553775367,325.845054576452,1282.845054576452,0
2011-05-28,95.25,-1431.0,101.43826108221592,340.3543595218754,1771.3543595218753,0
2011-05-29,94.85,-1516.0,101.4316728211337,361.99200516235396,1877.992005162354,0
2011-05-30,94.42,-1341.0,101.42466114831257,385.25636315719106,1726.2563631571911,0
2011-05-31,94.04,-1050.0,101.41727648716426,405.7502067940339,1455.7502067940338,0
2011-06-01,93.74,-1086.0,101.4095992106771,421.8279565872408,1507.8279565872408,0
2011-06-02,93.43,-398.0,101.40161961146643,438.4390786306533,836.4390786306533,0
2011-06-03,93.31,-917.0,101.39352799185497,444.59403955202305,1361.594039552023,0
2011-06-04,93.04,-998.0,101.38517446386311,458.98459551247066,1456.9845955124706,0
2011-06-05,92.75,-973.0,101.37653928939925,474.45966091695857,1447.4596609169585,0
2011-06-06,92.47,-1060.0,101.36763275010985,489.36980125604174,1549.3698012560417,0
2011-06-07,92.15,-1097.0,101.35841511735974,506.46283145478543,1603.4628314547854,0
2011-06-08,91.83,-1349.0,101.34888670224238,523.5387686233311,1872.5387686233312,0
2011-06-09,91.44,-1461.0,101.33897781554013,544.4437798547075,2005.4437798547074,0
2011-06-10,91.02,-1441.0,101.32865883772459,566.9762360748526,2007.9762360748527,0
2011-06-11,90.61,-1026.0,101.31794017888687,588.9367098387779,1614.936709838778,0
2011-06-12,90.32,-1345.0,101.30694223870799,604.2818231289398,1949.2818231289398,0
2011-06-13,89.93,-1374.0,101.30694223870799,625.731823128939,1999.7318231289391,0
2011-06-14,89.54,-1189.0,101.30694223870799,647.1818231289391,1836.181823128939,0
2011-06-15,89.19,-1296.0,101.30694223870799,666.4318231289395,1962.4318231289394,0
2011-06-16,88.82,-1179.0,101.30694223870799,686.7818231289398,1865.7818231289398,0
2011-06-17,88.48,-1242.0,101.30694223870799,705.4818231289393,1947.4818231289391,0
2011-06-18,88.13,-923.0,101.29376529646929,724.0070913058112,1647.0070913058112,0
2011-06-19,87.86,-1308.0,101.28033153117282,738.1182342145052,2046.1182342145053,0
2011-06-20,87.48,-977.0,101.26653119964165,758.2592159802904,1735.2592159802903,0
2011-06-21,87.2,-75.0,101.252464668442,772.88555676431,847.88555676431,0
2011-06-22,87.18,-1591.0,101.23839220377356,773.2115712075453,2364.211571207545,0
2011-06-23,86.72,-900.0,101.22387381156979,797.7130596363385,1697.7130596363386,0
2011-06-24,86.46,-1028.0,101.20910993775821,811.2010465767021,1839.201046576702,0
2011-06-25,86.16,-294.0,101.19406082782045,826.873345530125,1120.8733455301249,0
2011-06-26,86.08,-740.0,101.17894676699262,830.4420721845944,1570.4420721845945,0
2011-06-27,85.86,-864.0,101.16362782022563,841.6995301124095,1705.6995301124095,0
2011-06-28,85.61,-822.0,101.1480741924054,854.5940805822972,1676.5940805822972,0
2011-06-29,85.38,-1294.0,101.132306118213,866.3768365017149,2160.376836501715,0
2011-06-30,85.0,-470.0,101.11617381209479,886.3895596652133,1356.3895596652133,0
2011-07-01,84.87,-907.0,101.0999276382827,892.6460201055479,1799.646020105548,0
2011-07-02,84.61,-1191.0,101.0834377106444,906.0390740854423,2097.0390740854423,0
2011-07-03,84.26,-1036.0,101.06661427293376,924.3637850113566,1960.3637850113566,0
2011-07-04,83.96,-715.0,101.04950765866083,939.9229212263459,1654.9229212263458,0
