date,fat_mass_lbs_filtered,fat_mass_std_filtered,tdee_filtered,tdee_std_filtered,fat_mass_lbs,fat_mass_std,tdee,tdee_std,innovation
2011-06-15,89.35,0.35,2724.0,95.0,89.19,0.23,2764.0,59.0,-0.997
2011-06-16,88.95,0.35,2729.0,95.0,88.82,0.23,2764.0,59.0,-0.299
2011-06-17,88.59,0.35,2733.0,94.0,88.48,0.24,2764.0,58.0,-0.275
2011-06-18,88.27,0.34,2728.0,94.0,88.13,0.24,2764.0,58.0,0.195
2011-06-19,88.01,0.36,2727.0,96.0,87.86,0.24,2763.0,58.0,
2011-06-20,87.66,0.36,2725.0,95.0,87.48,0.25,2763.0,58.0,0.069
2011-06-21,87.39,0.38,2724.0,97.0,87.2,0.25,2762.0,58.0,
2011-06-22,87.38,0.4,2723.0,98.0,87.18,0.25,2761.0,57.0,
2011-06-23,86.94,0.42,2722.0,100.0,86.72,0.26,2760.0,57.0,
2011-06-24,86.69,0.44,2721.0,101.0,86.46,0.26,2759.0,57.0,
2011-06-25,86.41,0.46,2720.0,103.0,86.16,0.26,2757.0,57.0,
2011-06-26,86.34,0.49,2719.0,104.0,86.08,0.27,2756.0,57.0,
2011-06-27,86.14,0.51,2718.0,106.0,85.86,0.27,2754.0,57.0,
2011-06-28,85.9,0.53,2717.0,107.0,85.61,0.27,2753.0,57.0,
2011-06-29,85.67,0.56,2716.0,108.0,85.38,0.27,2751.0,57.0,
2011-06-30,85.31,0.58,2715.0,109.0,85.0,0.27,2749.0,57.0,
2011-07-01,85.19,0.61,2714.0,111.0,84.87,0.27,2746.0,57.0,
2011-07-02,84.94,0.63,2713.0,112.0,84.61,0.27,2744.0,57.0,
2011-07-03,84.85,0.55,2681.0,103.0,84.26,0.27,2741.0,58.0,0.771
2011-07-04,84.57,0.57,2681.0,104.0,83.96,0.27,2739.0,58.0,
2011-07-05,84.44,0.51,2673.0,99.0,83.75,0.27,2735.0,58.0,0.23
2011-07-06,83.88,0.47,2697.0,95.0,83.36,0.27,2732.0,58.0,-0.909
2011-07-07,83.62,0.49,2696.0,97.0,83.09,0.27,2728.0,58.0,
2011-07-08,83.34,0.5,2695.0,99.0,82.79,0.27,2723.0,58.0,
2011-07-09,82.83,0.46,2718.0,95.0,82.46,0.27,2718.0,58.0,-0.878
2011-07-10,82.34,0.43,2738.0,94.0,82.14,0.27,2713.0,58.0,-0.894
2011-07-11,82.06,0.45,2737.0,95.0,81.86,0.27,2708.0,58.0,
2011-07-12,81.75,0.47,2736.0,97.0,81.55,0.27,2702.0,59.0,
2011-07-13,81.25,0.44,2758.0,95.0,81.24,0.27,2696.0,59.0,-0.922
2011-07-14,80.78,0.42,2774.0,93.0,80.93,0.28,2689.0,59.0,-0.805
2011-07-15,80.44,0.43,2773.0,95.0,80.61,0.28,2683.0,59.0,
2011-07-16,80.1,0.45,2771.0,97.0,80.3,0.28,2677.0,59.0,
2011-07-17,79.76,0.47,2769.0,98.0,79.98,0.28,2670.0,59.0,
