trip,during_minus_pre_tdee,during_minus_pre_ratio,weight_delta_during,fat_delta_during,post_minus_during_ratio
Jordan 2015,-35.1,-0.0151,,10.27,-0.0056
Jordan 2019,-20.9,-0.0075,,4.39,-0.0119
