target,term,coef
run_minus_pre_ratio,intercept,-0.001459
run_minus_pre_ratio,long_run,0.006744
run_minus_pre_ratio,deep_run,0.001058
run_minus_pre_ratio,low_carb,0.001971
run_minus_pre_ratio,low_protein,-0.000111
run_minus_pre_ratio,high_steps,-0.005242
post_minus_run_ratio,intercept,-0.001073
post_minus_run_ratio,long_run,0.001519
post_minus_run_ratio,deep_run,-0.00315
post_minus_run_ratio,low_carb,0.000287
post_minus_run_ratio,low_protein,-0.002273
post_minus_run_ratio,high_steps,-0.004966
