hour_bin,offset_f,mean_temp_f
-1,-0.21560860595340614,97.44615384615386
0,-0.24645632965828668,97.41530612244898
1,-0.12439981474462058,97.53736263736265
2,0.06112911415779365,97.72289156626506
3,0.016904214559389175,97.67866666666666
4,-0.0303338806786968,97.63142857142857
5,-0.1353735632183799,97.52638888888889
6,-0.06758769482568994,97.59417475728158
7,-0.05991060025542083,97.60185185185185
8,0.10890421455938792,97.77066666666666
9,0.09067657228298742,97.75243902439026
10,0.07909776294648907,97.74086021505376
11,0.32410711311014495,97.98586956521741
12,0.16900677866198066,97.83076923076925
13,-0.08042911877393522,97.58133333333333
14,0.04865421455940577,97.71041666666667
15,-0.0682140650104941,97.59354838709677
16,-0.3081910235358407,97.35357142857143
17,-0.2395402298850371,97.42222222222223
18,-0.5784291187739399,97.08333333333333
