date,fm,surplus,sp,pressure,suppression,load,score,future_event
2011-04-21,101.56,-1093.0,101.56,0.0,1093.0,0.0,-1.2327730076330305,1.0
2011-04-22,101.25,-588.0,101.56,17.050000000000125,605.0500000000002,79.14569273698334,-1.2327462633756525,1.0
2011-04-23,101.08,-1037.0,101.56,26.40000000000022,1063.4000000000003,293.9218780504773,-1.2326736879848754,1.0
2011-04-24,100.79,418.0,101.56,42.34999999999978,0.0,291.6668936075775,-1.2326744499705533,0.0
2011-04-25,100.91,-1313.0,101.56,35.75000000000031,1348.7500000000002,659.358858109817,-1.2325502025454005,1.0
2011-04-26,100.54,-857.0,101.56,56.09999999999978,913.0999999999998,1047.3004837142746,-1.2324191125223805,1.0
2011-04-27,100.29,-1196.0,101.56,69.84999999999978,1265.8499999999997,1717.6256333546198,-1.2321926017962876,1.0
2011-04-28,99.95,-1069.0,101.55839,88.46145,1157.46145,2489.9950092949625,-1.2319316091298929,1.0
2011-04-29,99.65,-1223.0,101.55648161,104.85648855000001,1327.85648855,3539.105192395713,-1.2315771025006055,1.0
2011-04-30,99.3,-620.0,101.55422512839,123.98238206145024,743.9823820614503,4219.628655236303,-1.2313471456449305,1.0
2011-05-01,99.12,-447.0,101.5517909032616,133.748499679388,580.748499679388,4783.176384721745,-1.231156716260829,1.0
2011-05-02,98.99,-1304.0,101.54922911235835,140.75760117970935,1444.7576011797094,6306.673158823959,-1.2306419088413445,1.0
2011-05-03,98.62,-1355.0,101.546299883246,160.94649357852938,1515.9464935785295,8130.163817893694,-1.2300257299713873,1.0
2011-05-04,98.23,-1058.0,101.54298358336274,182.21409708495054,1240.2140970849505,9801.553929731343,-1.2294609476593708,1.0
2011-05-05,97.93,-447.0,101.53937059977937,198.51538298786522,645.5153829878652,10709.48916264281,-1.2291541457007058,1.0
2011-05-06,97.8,-451.0,101.5356312291796,205.45971760487816,656.4597176048782,11662.101522466977,-1.2288322468171198,1.0
2011-05-07,97.67,-466.0,101.53176559795043,212.3971078872733,678.3971078872733,12678.092282106174,-1.2284889316292698,1.0
2011-05-08,97.54,-858.0,101.52777383235248,219.32756077938606,1077.327560779386,14393.636641415495,-1.2279092290794251,1.0
2011-05-09,97.29,928.0,101.52353605852012,232.84448321860637,0.0,14283.20788763089,-1.2279465442498534,1.0
2011-05-10,97.56,-200.0,101.5195725224616,217.77648873538794,417.77648873538794,14871.644350474598,-1.2277477046709866,1.0
2011-05-11,97.5,-778.0,101.51555294993913,220.8554122466524,998.8554122466523,16450.023480545635,-1.2272143518600502,1.0
2011-05-12,97.28,438.0,101.5113173969892,232.72245683440588,0.0,16323.818016427047,-1.2272569981658463,1.0
2011-05-13,97.4,373.0,101.50720607959221,225.89633437757115,0.0,16198.580807411088,-1.2272993172868927,1.0
2011-05-14,97.51,760.0,101.50320887351262,219.62648804319377,0.0,16074.304424992579,-1.2273413117333682,1.0
2011-05-15,97.73,-379.0,101.49943566463911,207.31896155515074,586.3189615551507,16883.55828311995,-1.2270678553680563,1.0
2011-05-16,97.62,391.0,101.49555622897446,213.15559259359532,0.0,16754.02671669913,-1.2271116256028112,0.0
2011-05-17,97.73,78.0,101.4917906727455,206.898487001002,128.898487001002,16830.09417218722,-1.2270859215178849,0.0
2011-05-18,97.75,-351.0,101.48804888207275,205.59268851400105,556.5926885140011,17578.896537400695,-1.226832892420684,0.0
2011-05-19,97.65,-995.0,101.48421083319067,210.8815958254867,1205.8815958254868,19395.02002502054,-1.2262192030043229,0.0
