date,fm,surplus,sp,pressure,required_control,control_stock,control_exerted,control_shortfall,surplus_pred_no_control,surplus_pred_with_control
2011-04-21,101.56,-1093.0,101.56,0.0,693.0,1200.0,693.0,0.0,-400.0,-1093.0
2011-04-22,101.25,-588.0,101.55467438554903,16.757091205196915,204.7570912051969,922.8,204.7570912051969,0.0,-383.2429087948031,-588.0
2011-04-23,101.08,-1037.0,101.5465197637194,25.658587004567224,662.6585870045672,846.4411635179212,662.6585870045672,0.0,-374.3414129954328,-1037.0
2011-04-24,100.79,418.0,101.53352320699001,40.89377638445029,0.0,588.4489054457358,0.0,0.0,-359.1062236155497,-359.1062236155497
2011-04-25,100.91,-1313.0,101.52281145150077,33.704629832542636,946.7046298325427,620.6799273368212,620.6799273368212,326.0247024957215,-366.29537016745735,-986.9752975042785
2011-04-26,100.54,-857.0,101.50592733902111,53.12600364616088,510.1260036461609,383.9943578553562,383.9943578553562,126.13164579080467,-346.8739963538391,-730.8683542091953
2011-04-27,100.29,-1196.0,101.48503843512427,65.72711393183432,861.7271139318343,246.71672755610658,246.71672755610658,615.0103863757278,-334.2728860681657,-580.9896136242722
2011-04-28,99.95,-1069.0,101.4586673935988,82.97670664793394,751.976706647934,167.0957019825418,167.0957019825418,584.8810046653921,-317.02329335206605,-484.11899533460786
2011-04-29,99.65,-1223.0,101.42759557034606,97.76775636903281,920.7677563690328,120.91550714987424,120.91550714987424,799.8522492191586,-302.2322436309672,-423.1477507808415
2011-04-30,99.3,-620.0,101.39104475190973,115.0074613550354,335.0074613550354,94.13099414692707,94.13099414692707,240.87646720810832,-284.9925386449646,-379.12353279189165
2011-05-01,99.12,-447.0,101.35202956239497,122.76162593172337,169.76162593172336,78.59597660521769,78.59597660521769,91.16564932650567,-277.23837406827664,-355.8343506734943
2011-05-02,98.99,-1304.0,101.31145130829461,127.6798219562037,1031.6798219562038,69.58566643102627,69.58566643102627,962.0941555251775,-272.3201780437963,-341.9058444748226
2011-05-03,98.62,-1355.0,101.26521378577351,145.48675821754287,1100.486758217543,64.35968652999523,64.35968652999523,1036.1270716875476,-254.51324178245713,-318.87292831245236
2011-05-04,98.23,-1058.0,101.21307062964672,164.06888463056953,822.0688846305695,61.328618187397225,61.328618187397225,760.7402664431723,-235.93111536943047,-297.2597335568277
2011-05-05,97.93,-447.0,101.15666944129572,177.46681927126417,224.46681927126417,59.570598548690384,59.570598548690384,164.8962207225738,-222.53318072873583,-282.1037792774262
2011-05-06,97.8,-451.0,101.09900386941281,181.4452128177048,232.4452128177048,58.550947158240426,58.550947158240426,173.89426565946437,-218.5547871822952,-277.1057343405356
2011-05-07,97.67,-466.0,101.04009563535028,185.3552599442655,251.3552599442655,57.95954935177945,57.95954935177945,193.39571059248604,-214.6447400557345,-272.60428940751393
2011-05-08,97.54,-858.0,100.97996608730058,189.19813480153167,647.1981348015316,57.616538624032074,57.616538624032074,589.5815961774996,-210.80186519846833,-268.4184038225004
2011-05-09,97.29,928.0,100.91657467853244,199.46160731928393,0.0,57.417592401938606,0.0,0.0,-200.53839268071607,-200.53839268071607
