family,sp_params,baseline,suppress_thresh,require_positive_pressure,min_run,n_expr,expr_frac,slope,intercept,corr,rmse_expr,score,trial_mean_abs_err,SURMOUNT-4_mid,STEP-1 extension_mid,STEP-4_mid
Lookback,"tol=2.5,hold=7,rate=0.001",0,50,False,3,95,0.04562920268972142,0.987878245063988,766.1429913448055,0.3386787474551053,604.9215623761145,-1.0413613297862305,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
Lookback,"tol=3,hold=7,rate=0.001",0,50,False,3,95,0.04562920268972142,0.9869973847359721,768.1187243651891,0.3384244752753012,604.9803807257787,-1.0420209640297937,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
Lookback,"tol=2.5,hold=7,rate=0.001",0,0,False,3,86,0.04130643611911623,0.9517247899330656,803.605796043456,0.3353307373308759,608.6988363873677,-1.0671457972342235,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
Lookback,"tol=3,hold=7,rate=0.001",0,0,False,3,86,0.04130643611911623,0.9508062056031956,805.5245968953667,0.33503723515641376,608.7663013909965,-1.0678480812037447,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
Lookback,"tol=2.5,hold=7,rate=0.001",-300,50,True,1,282,0.13544668587896252,0.7839618595560048,386.3848039865105,0.4794595097957728,575.8758155935793,-1.0749124861256376,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
Lookback,"tol=3,hold=7,rate=0.001",-300,50,True,1,282,0.13544668587896252,0.7843144833183415,385.4615005529878,0.4777338674986567,577.1479655715926,-1.0760272437760887,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
Lookback,"tol=3,hold=7,rate=0.001",-400,100,True,1,358,0.17195004803073968,0.7892319209591612,233.66143161635262,0.45615617261620817,588.8874318868789,-1.080276919871864,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
Lookback,"tol=3,hold=7,rate=0.001",-300,200,True,1,358,0.17195004803073968,0.7892319209591612,233.66143161635262,0.45615617261620817,588.8874318868789,-1.080276919871864,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
Lookback,"tol=2.5,hold=7,rate=0.001",-400,100,True,1,357,0.17146974063400577,0.7850918961853496,238.25424719275986,0.45618630493504486,587.6996026144127,-1.08225102865173,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
Lookback,"tol=2.5,hold=7,rate=0.001",-300,200,True,1,357,0.17146974063400577,0.7850918961853496,238.25424719275986,0.45618630493504486,587.6996026144127,-1.08225102865173,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
Lookback,"tol=2.5,hold=7,rate=0.001",-100,0,False,3,96,0.04610951008645533,0.9315003315969281,763.9505094028435,0.32190724744817184,607.4698775913266,-1.0830747739974993,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
Lookback,"tol=2.5,hold=7,rate=0.001",0,100,False,3,96,0.04610951008645533,0.9315003315969281,763.9505094028435,0.32190724744817184,607.4698775913266,-1.0830747739974993,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
Lookback,"tol=2.5,hold=7,rate=0.001",-300,50,False,1,352,0.1690682036503362,0.7719515178297911,392.4611488263013,0.4796423574560572,591.6809042497908,-1.083223792871083,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
Lookback,"tol=3,hold=7,rate=0.001",-100,0,False,3,96,0.04610951008645533,0.9306247208475437,765.8201061397157,0.3216518050686372,607.525578991179,-1.08373016809887,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
Lookback,"tol=3,hold=7,rate=0.001",0,100,False,3,96,0.04610951008645533,0.9306247208475437,765.8201061397157,0.3216518050686372,607.525578991179,-1.08373016809887,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
Lookback,"tol=2.5,hold=7,rate=0.001",0,0,False,1,215,0.10326609029779059,0.7529700868353348,715.8450210348176,0.4854571629143633,548.2574856124156,-1.0837354426362558,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
Lookback,"tol=3,hold=7,rate=0.001",0,0,False,1,215,0.10326609029779059,0.7529445081032288,717.2617527467751,0.4853662728143937,548.2891314944109,-1.083802968856505,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
Lookback,"tol=3,hold=7,rate=0.001",-300,50,False,1,353,0.16954851104707014,0.7711882267104054,392.3984360780593,0.47860828054987176,591.8238089941925,-1.0840707891980428,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
Lookback,"tol=2.5,hold=7,rate=0.001",-300,0,True,1,263,0.12632084534101826,0.7623523634958798,441.4808553855551,0.4805335589620686,570.7271148138115,-1.0866993818128994,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
Lookback,"tol=2.5,hold=7,rate=0.001",-200,100,True,1,263,0.12632084534101826,0.7623523634958798,441.4808553855551,0.4805335589620686,570.7271148138115,-1.0866993818128994,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
Lookback,"tol=2.5,hold=7,rate=0.001",-100,200,True,1,263,0.12632084534101826,0.7623523634958798,441.4808553855551,0.4805335589620686,570.7271148138115,-1.0866993818128994,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
Lookback,"tol=3,hold=7,rate=0.001",-300,0,True,1,263,0.12632084534101826,0.7614932489702299,441.21651332654574,0.4781611630945052,572.0187984697436,-1.088809650703281,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
Lookback,"tol=3,hold=7,rate=0.001",-200,100,True,1,263,0.12632084534101826,0.7614932489702299,441.21651332654574,0.4781611630945052,572.0187984697436,-1.088809650703281,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
Lookback,"tol=3,hold=7,rate=0.001",-100,200,True,1,263,0.12632084534101826,0.7614932489702299,441.21651332654574,0.4781611630945052,572.0187984697436,-1.088809650703281,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
Lookback,"tol=3,hold=7,rate=0.001",-300,0,False,1,329,0.1580211335254563,0.7507297038873532,446.8336981311407,0.47937647130962074,585.8819960851043,-1.0953731956377533,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
Lookback,"tol=3,hold=7,rate=0.001",-200,100,False,1,329,0.1580211335254563,0.7507297038873532,446.8336981311407,0.47937647130962074,585.8819960851043,-1.0953731956377533,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
Lookback,"tol=3,hold=7,rate=0.001",-100,200,False,1,329,0.1580211335254563,0.7507297038873532,446.8336981311407,0.47937647130962074,585.8819960851043,-1.0953731956377533,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
Lookback,"tol=2.5,hold=7,rate=0.001",-200,50,True,1,238,0.1143131604226705,0.7530284846680518,507.5064310417547,0.47007805157811244,564.4408135262352,-1.0957342984030598,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
