target,term,coef
run_minus_pre_ratio,intercept,0.007103
run_minus_pre_ratio,fat_mass_start,0.000157
run_minus_pre_ratio,falling_vs_rising,-0.029496
post_minus_pre_ratio,intercept,0.013754
post_minus_pre_ratio,fat_mass_start,0.000162
post_minus_pre_ratio,falling_vs_rising,-0.05351
post_minus_run_ratio,intercept,0.006656
post_minus_run_ratio,fat_mass_start,5e-06
post_minus_run_ratio,falling_vs_rising,-0.024024
