date,year,walk_regime,first_start,first_duration_min,second_duration_min,break_min,regime_duration_min,regime_distance_m,regime_steps,source_types
2020-09-17,2020,single_daylight_walk,2020-09-17 15:29:09,24.86,,,24.86,1646.46,2204.0,4.0
2020-09-21,2020,single_daylight_walk,2020-09-21 14:45:30,35.89,,,35.89,2536.95,3416.0,4.0
2020-09-22,2020,single_daylight_walk,2020-09-22 15:52:02,38.42,,,38.42,2707.45,3729.0,4.0
2020-09-23,2020,single_daylight_walk,2020-09-23 17:41:08,39.62,,,39.62,2990.46,3958.0,4.0
2020-09-28,2020,single_daylight_walk,2020-09-28 18:57:20,27.42,,,27.42,2202.39,2540.0,1.0
2020-10-01,2020,single_daylight_walk,2020-10-01 15:45:55,26.4,,,26.4,1763.19,2451.0,4.0
2020-10-10,2020,single_daylight_walk,2020-10-10 16:53:00,33.24,,,33.24,2206.54,2970.0,4.0
2020-10-12,2020,single_daylight_walk,2020-10-12 12:42:13,36.8,,,36.8,2867.91,0.0,4.0
2020-10-14,2020,single_daylight_walk,2020-10-14 13:29:18,33.82,,,33.82,2607.21,3450.0,4.0
2020-10-29,2020,paired_daylight_walk,2020-10-29 16:28:15,37.01,40.63,9.07,77.64,5566.14,7403.0,4.0
2020-11-01,2020,single_daylight_walk,2020-11-01 13:14:52,40.94,,,40.94,3157.76,4194.0,4.0
2020-11-10,2020,borderline_paired_daylight_walk,2020-11-10 15:15:30,20.89,19.55,2.62,40.44,2805.84,3772.0,4.0
2020-11-11,2020,single_daylight_walk,2020-11-11 14:03:47,34.61,,,34.61,2498.92,3434.0,4.0
2020-11-12,2020,borderline_paired_daylight_walk,2020-11-12 15:37:28,44.01,10.87,3.78,54.88,3656.39,4983.0,4.0
2020-11-15,2020,borderline_paired_daylight_walk,2020-11-15 13:59:07,26.56,33.29,50.87,59.85,4217.0,5772.0,4.0
2020-11-21,2020,single_daylight_walk,2020-11-21 14:54:26,43.06,,,43.06,3110.42,4160.0,4.0
2020-12-17,2020,single_daylight_walk,2020-12-17 14:07:26,20.76,,,20.76,1506.64,2084.0,4.0
2021-02-22,2021,single_daylight_walk,2021-02-22 14:58:28,43.86,,,43.86,3103.84,4191.0,4.0
2021-02-25,2021,paired_daylight_walk,2021-02-25 14:43:56,41.12,20.7,24.75,61.82,4366.77,6029.0,4.0
2021-02-28,2021,single_daylight_walk,2021-02-28 14:22:57,31.05,,,31.05,2074.31,2829.0,4.0
2021-03-05,2021,borderline_paired_daylight_walk,2021-03-05 15:22:17,20.9,23.31,1.98,44.21,3161.34,4301.0,4.0
2021-03-10,2021,paired_daylight_walk,2021-03-10 14:22:41,39.57,20.46,32.17,60.03,4191.6,5673.0,4.0
2021-03-11,2021,single_daylight_walk,2021-03-11 14:02:58,37.61,,,37.61,2735.44,3689.0,4.0
2021-03-15,2021,single_daylight_walk,2021-03-15 15:41:04,30.55,,,30.55,2244.65,3045.0,4.0
2021-03-21,2021,single_daylight_walk,2021-03-21 15:20:08,26.85,,,26.85,1715.1,2364.0,4.0
2021-03-24,2021,paired_daylight_walk,2021-03-24 17:24:31,23.13,23.06,31.1,46.19,3351.7,4541.0,4.0
2021-03-26,2021,single_daylight_walk,2021-03-26 17:35:03,36.76,,,36.76,2321.09,3160.0,4.0
2021-03-28,2021,paired_daylight_walk,2021-03-28 15:00:59,40.29,22.0,16.3,62.29,4326.06,5958.0,4.0
2021-03-29,2021,single_daylight_walk,2021-03-29 16:38:39,25.61,,,25.61,1718.11,2397.0,4.0
2021-04-12,2021,single_daylight_walk,2021-04-12 14:43:02,37.77,,,37.77,2722.42,3661.0,4.0
2021-04-15,2021,paired_daylight_walk,2021-04-15 13:38:37,37.4,36.48,30.73,73.88,5369.7,7194.0,4.0
2021-04-16,2021,single_daylight_walk,2021-04-16 14:17:27,25.11,,,25.11,1792.74,2269.0,7.0
2021-04-19,2021,single_daylight_walk,2021-04-19 15:24:58,20.94,,,20.94,1508.68,2058.0,7.0
2021-04-20,2021,single_daylight_walk,2021-04-20 17:35:51,41.92,,,41.92,2862.31,3987.0,7.0
2021-05-05,2021,single_daylight_walk,2021-05-05 18:05:36,34.44,,,34.44,2354.3,3210.0,7.0
2021-05-06,2021,borderline_paired_daylight_walk,2021-05-06 17:18:59,20.95,19.15,4.7,40.1,2869.89,3860.0,4.0
2021-05-09,2021,paired_daylight_walk,2021-05-09 14:48:15,36.78,36.72,23.1,73.5,5503.06,7268.0,"4.0,7.0"
2021-05-11,2021,borderline_paired_daylight_walk,2021-05-11 16:37:00,20.27,19.53,4.0,39.8,2853.14,3803.0,7.0
2021-05-13,2021,single_daylight_walk,2021-05-13 14:53:21,21.02,,,21.02,1361.84,1815.0,7.0
2021-05-15,2021,paired_daylight_walk,2021-05-15 16:04:12,38.76,36.53,32.3,75.29,5393.21,7261.0,4.0
2021-05-16,2021,single_daylight_walk,2021-05-16 16:28:25,20.6,,,20.6,1369.18,1828.0,4.0
2021-05-18,2021,single_daylight_walk,2021-05-18 14:15:06,32.35,,,32.35,2389.72,3022.0,7.0
2021-05-19,2021,borderline_paired_daylight_walk,2021-05-19 13:35:55,40.75,33.07,49.93,73.82,5434.15,7006.0,"4.0,7.0"
2021-05-20,2021,borderline_paired_daylight_walk,2021-05-20 13:42:02,36.85,18.82,17.8,55.67,4158.11,5537.0,"4.0,7.0"
2021-05-21,2021,single_daylight_walk,2021-05-21 12:52:53,37.56,,,37.56,2722.01,3625.0,4.0
2021-05-22,2021,paired_daylight_walk,2021-05-22 15:18:38,40.4,36.88,20.98,77.28,5458.47,7317.0,4.0
2021-05-24,2021,single_daylight_walk,2021-05-24 18:19:47,20.84,,,20.84,1665.59,2100.0,7.0
2021-05-25,2021,paired_daylight_walk,2021-05-25 14:29:08,33.93,35.04,18.25,68.97,5070.16,6793.0,4.0
2021-05-26,2021,single_daylight_walk,2021-05-26 13:55:03,32.53,,,32.53,2513.31,3217.0,7.0
2021-05-27,2021,borderline_paired_daylight_walk,2021-05-27 15:20:44,21.03,17.38,3.92,38.41,2748.9,3693.0,4.0
2021-06-04,2021,borderline_paired_daylight_walk,2021-06-04 13:00:48,35.9,14.14,25.77,50.04,3714.09,4987.0,4.0
2021-06-07,2021,single_daylight_walk,2021-06-07 18:21:06,31.82,,,31.82,2542.11,3309.0,4.0
2021-06-12,2021,borderline_paired_daylight_walk,2021-06-12 14:29:54,36.5,15.05,12.67,51.55,3484.27,4725.0,4.0
2021-06-16,2021,single_daylight_walk,2021-06-16 14:15:24,35.77,,,35.77,2673.1,3560.0,4.0
2021-06-17,2021,paired_daylight_walk,2021-06-17 14:11:43,35.39,23.91,12.02,59.3,4379.38,5880.0,4.0
2021-06-18,2021,single_daylight_walk,2021-06-18 13:03:26,25.87,,,25.87,2098.23,2743.0,4.0
2021-06-20,2021,paired_daylight_walk,2021-06-20 16:28:28,39.69,38.8,14.77,78.49,5750.71,7530.0,"4.0,7.0"
2021-06-24,2021,paired_daylight_walk,2021-06-24 14:11:38,36.61,37.56,35.48,74.17,5509.49,7371.0,4.0
2021-06-25,2021,single_daylight_walk,2021-06-25 13:56:40,40.29,,,40.29,2867.67,3832.0,4.0
2021-06-27,2021,paired_daylight_walk,2021-06-27 15:12:50,35.35,36.12,35.2,71.47,5332.1,7127.0,4.0
2021-06-29,2021,single_daylight_walk,2021-06-29 16:14:19,41.15,,,41.15,2934.32,3913.0,7.0
2021-06-30,2021,single_daylight_walk,2021-06-30 18:09:31,37.88,,,37.88,2789.56,3729.0,4.0
2021-07-01,2021,paired_daylight_walk,2021-07-01 13:29:38,35.07,37.45,19.7,72.52,5332.92,7166.0,4.0
2021-07-02,2021,single_daylight_walk,2021-07-02 15:55:34,36.65,,,36.65,2713.92,3626.0,4.0
2021-07-05,2021,single_daylight_walk,2021-07-05 17:25:23,36.39,,,36.39,2839.07,3615.0,7.0
2021-07-07,2021,single_daylight_walk,2021-07-07 18:03:35,37.48,,,37.48,2979.72,3904.0,4.0
2021-07-12,2021,single_daylight_walk,2021-07-12 18:06:06,36.59,,,36.59,2685.87,3621.0,4.0
2021-07-14,2021,borderline_paired_daylight_walk,2021-07-14 13:52:17,33.55,18.92,34.93,52.47,3975.98,5325.0,4.0
2021-07-16,2021,paired_daylight_walk,2021-07-16 15:13:31,37.07,36.78,20.97,73.85,5337.8,7183.0,4.0
2021-07-21,2021,paired_daylight_walk,2021-07-21 17:36:22,38.63,36.7,13.97,75.33,5390.24,7214.0,4.0
2021-07-22,2021,paired_daylight_walk,2021-07-22 15:41:26,37.21,22.45,23.0,59.66,4290.6,5771.0,4.0
2021-07-23,2021,single_daylight_walk,2021-07-23 13:56:41,36.71,,,36.71,2640.29,3512.0,4.0
2021-07-26,2021,single_daylight_walk,2021-07-26 18:19:19,34.68,,,34.68,2542.8,3358.0,4.0
2021-07-27,2021,paired_daylight_walk,2021-07-27 15:15:32,37.15,21.62,18.47,58.77,4298.36,5747.0,4.0
2021-07-30,2021,paired_daylight_walk,2021-07-30 17:08:24,35.69,37.48,21.12,73.17,5403.89,7223.0,4.0
2021-08-01,2021,paired_daylight_walk,2021-08-01 17:21:25,35.81,34.78,27.92,70.59,5156.25,6919.0,4.0
2021-08-03,2021,borderline_paired_daylight_walk,2021-08-03 14:28:08,37.23,19.77,30.98,57.0,4234.94,5653.0,4.0
2021-08-04,2021,single_daylight_walk,2021-08-04 14:32:01,40.03,,,40.03,2864.13,3843.0,4.0
2021-08-06,2021,single_daylight_walk,2021-08-06 14:53:10,39.27,,,39.27,2719.71,3651.0,4.0
2021-08-08,2021,single_daylight_walk,2021-08-08 14:29:10,25.88,,,25.88,1690.49,2302.0,4.0
2021-08-12,2021,paired_daylight_walk,2021-08-12 15:03:19,35.98,26.32,14.37,62.3,4445.92,5970.0,4.0
2021-08-21,2021,single_daylight_walk,2021-08-21 12:53:28,31.77,,,31.77,2085.28,2895.0,4.0
2021-08-25,2021,single_daylight_walk,2021-08-25 18:40:30,23.78,,,23.78,1538.43,2076.0,4.0
2021-08-27,2021,single_daylight_walk,2021-08-27 18:07:59,40.13,,,40.13,2788.12,3725.0,4.0
