q_tdee,mean_revert,training_delta_lbs,training_half_life,fm_mae,fm_rmse,fm_max_abs,innov_std,innov_acf1,cal_ratio_err,tdee_dd_std,score
1000,0.05,0.0,275,2.9846,5.0943,14.8485,1.7372,0.4256,0.0942,4.6037,0.7632
1000,0.05,0.045,275,3.0297,5.187,15.1174,1.7355,0.4273,0.0941,4.5926,0.7669
1000,0.05,0.091,275,3.0758,5.2823,15.3924,1.7348,0.4291,0.0939,4.5886,0.7707
100,0.02,0.0,275,2.9152,4.89,14.3704,1.794,0.4909,0.0688,1.5375,0.7743
100,0.02,0.045,275,2.9552,4.9785,14.6286,1.7921,0.4918,0.0694,1.532,0.7785
25,0.01,0.0,275,2.8541,4.6735,13.6924,1.792,0.5098,0.0636,0.7653,0.7797
100,0.02,0.091,275,2.9983,5.0695,14.8926,1.7915,0.493,0.0701,1.5318,0.7831
25,0.01,0.045,275,2.8927,4.7587,13.9449,1.7898,0.5101,0.0642,0.762,0.7832
25,0.01,0.091,275,2.9324,4.8465,14.2033,1.7891,0.5108,0.0648,0.7621,0.7871
500,0.05,0.0,275,3.0435,5.1737,15.0503,1.8011,0.4818,0.0823,3.1509,0.7986
500,0.05,0.045,275,3.0845,5.2594,15.2967,1.7993,0.4831,0.0822,3.1432,0.8018
500,0.05,0.091,275,3.1267,5.3477,15.5488,1.7988,0.4846,0.0821,3.1412,0.8052
50,0.02,0.0,275,3.0474,5.0692,14.778,1.8589,0.5319,0.0672,1.0947,0.8186
50,0.02,0.045,275,3.0849,5.1489,15.0083,1.8569,0.5326,0.0677,1.0919,0.8222
50,0.02,0.091,275,3.1237,5.2309,15.2438,1.8564,0.5337,0.0682,1.0923,0.8263
200,0.05,0.0,275,3.1831,5.3559,15.4718,1.8929,0.5437,0.0727,2.0878,0.8483
200,0.05,0.045,275,3.219,5.4314,15.6864,1.8911,0.5446,0.0729,2.0849,0.8513
200,0.05,0.091,275,3.256,5.509,15.9058,1.8907,0.5458,0.0731,2.085,0.8548
25,0.02,0.0,275,3.1899,5.2777,15.2515,1.9197,0.5643,0.0676,0.9019,0.859
25,0.02,0.045,275,3.224,5.3498,15.4579,1.9178,0.5649,0.0679,0.9011,0.862
25,0.02,0.091,275,3.259,5.424,15.6689,1.9175,0.5659,0.0683,0.9019,0.8654
100,0.05,0.0,275,3.2852,5.4933,15.7757,1.9528,0.5763,0.0708,1.8482,0.8822
100,0.05,0.045,275,3.3183,5.5629,15.9723,1.951,0.577,0.0708,1.8474,0.8845
100,0.05,0.091,275,3.3523,5.6344,16.1732,1.9508,0.5781,0.0709,1.8479,0.8875
50,0.05,0.0,275,3.3583,5.5929,15.9899,1.9962,0.597,0.0731,1.8458,0.9111
50,0.05,0.045,275,3.3898,5.6589,16.1753,1.9943,0.5977,0.0732,1.8458,0.9137
50,0.05,0.091,275,3.4221,5.7267,16.3648,1.9943,0.5988,0.0734,1.8462,0.9168
25,0.05,0.0,275,3.403,5.6534,16.1172,2.0234,0.6091,0.0756,1.8975,0.9303
25,0.05,0.045,275,3.4337,5.7175,16.2965,2.0216,0.6097,0.0758,1.8976,0.933
25,0.05,0.091,275,3.4655,5.7832,16.4797,2.0217,0.6108,0.0761,1.8978,0.9362
