com.samsung.shealth.activity.day_summary,6060029,1
others_time,goal,longest_idle_time,create_time,distance,run_time,step_count,walk_time,day_time,deviceuuid,active_time,score,pkg_name,update_time,longest_active_time,datauuid,extra_data,calorie
858047,60,39840000,2019-08-21 16:20:11.058,3736.609,0,5676,3513897,1566345600000,cfxbbbfj2r,4371944,120,com.sec.android.app.shealth,2019-08-22 22:48:16.083,1277959,35e0df68-1ea6-4528-aa07-32d637aadff8,35e0df68-1ea6-4528-aa07-32d637aadff8.extra_data.json,398.43933
0,30,43080000,2019-08-21 16:20:11.987,5492.93,0,7929,5216127,1566259200000,cfxbbbfj2r,5216127,286,com.sec.android.app.shealth,2019-08-21 16:21:12.225,180000,b79ab473-3cb4-4b70-b105-f96490075f7f,b79ab473-3cb4-4b70-b105-f96490075f7f.extra_data.json,333.45993
0,60,21060000,2016-08-18 04:00:43.980,1436.22,8000,1827,1156488,1471478400000,OBFuvbOf82,1164488,31,com.sec.android.app.shealth,2016-08-23 15:22:36.635,120000,f782b697-0caf-4630-809e-9059df8956d4,f782b697-0caf-4630-809e-9059df8956d4.extra_data.json,82.56999
0,60,32700000,2016-01-28 05:00:00.759,91.88,0,117,78039,1453939200000,OBFuvbOf82,78039,1,com.sec.android.app.shealth,2016-01-29 03:44:17.726,26680,5b57acd5-8b68-4d21-af58-3d2f03bf3669,5b57acd5-8b68-4d21-af58-3d2f03bf3669.extra_data.json,4.9300003
0,60,52260000,2016-01-31 05:00:03.405,5121.829,54151,6590,4164306,1454198400000,OBFuvbOf82,4218457,115,com.sec.android.app.shealth,2016-02-01 20:05:59.583,360000,5e845726-9862-4db8-a994-c0d7f0ad1a60,5e845726-9862-4db8-a994-c0d7f0ad1a60.extra_data.json,291.47995
0,60,50280000,2015-07-26 04:00:01.033,7328.881,46135,9023,5557766,1437868800000,ScgltublDV,5603901,153,com.sec.android.app.shealth,2015-07-27 02:50:10.609,2100000,2d7822b0-8522-432b-bdfc-8db540df28a4,2d7822b0-8522-432b-bdfc-8db540df28a4.extra_data.json,401.12936
0,60,28560000,2016-01-18 05:00:02.071,235.2,8400,289,178756,1453075200000,OBFuvbOf82,187156,3,com.sec.android.app.shealth,2016-01-19 06:32:31.986,41619,219bae72-e471-40cc-b15c-0f975f123fa3,219bae72-e471-40cc-b15c-0f975f123fa3.extra_data.json,12.8
0,60,42000000,2015-05-19 04:00:01.086,10120.705,172501,12417,7792814,1431993600000,ScgltublDV,7965315,218,com.sec.android.app.shealth,2015-05-20 04:00:22.965,480000,2c44659c-fbcc-4170-ad61-abc9859c1c65,2c44659c-fbcc-4170-ad61-abc9859c1c65.extra_data.json,594.20416
0,60,36660000,2016-08-24 05:02:44.115,8431.638,21707,10915,6808929,1471996800000,J9OOjwOhpg,6830636,188,com.sec.android.app.shealth,2016-08-25 06:30:30.260,420000,8af49fcb-2af6-49ac-bcc9-a9c30ed0892f,8af49fcb-2af6-49ac-bcc9-a9c30ed0892f.extra_data.json,482.92978
0,60,34800000,2015-12-15 05:00:02.857,4831.5596,68452,6092,3773561,1450137600000,OBFuvbOf82,3842013,105,com.sec.android.app.shealth,2015-12-16 01:47:02.617,360000,65d0e439-8db3-4b2e-bcab-4799358d4603,65d0e439-8db3-4b2e-bcab-4799358d4603.extra_data.json,275.33002
0,60,43500000,2015-06-01 04:00:07.113,9609.187,2254298,10788,4140979,1433116800000,ScgltublDV,6395277,176,com.sec.android.app.shealth,2015-06-02 04:00:06.052,2210078,9a7cf42a-4a21-4596-a2a6-3003992d5389,9a7cf42a-4a21-4596-a2a6-3003992d5389.extra_data.json,672.82153
0,60,28620000,2015-07-06 04:00:37.319,167.70999,800,205,135401,1436140800000,ScgltublDV,136201,3,com.sec.android.app.shealth,2015-07-07 04:00:06.752,21344,8156a674-3a89-492e-93c0-65651ad1e64d,8156a674-3a89-492e-93c0-65651ad1e64d.extra_data.json,9.379999
0,60,37500000,2015-07-13 04:00:09.794,6249.3545,2129660,6373,1038491,1436745600000,ScgltublDV,3168151,86,com.sec.android.app.shealth,2015-07-14 04:00:01.259,2462052,da0ccf89-e6f0-4846-85fd-464b414f6b88,da0ccf89-e6f0-4846-85fd-464b414f6b88.extra_data.json,485.39417
0,60,22920000,2015-07-17 04:00:03.135,9641.476,131190,11724,7278144,1437091200000,ScgltublDV,7409334,205,com.sec.android.app.shealth,2015-07-18 04:03:31.815,420000,b07151f8-ed1e-4470-9f24-ed9ea8624edf,b07151f8-ed1e-4470-9f24-ed9ea8624edf.extra_data.json,552.249
0,60,39540000,2015-08-01 04:00:05.449,4899.824,23593,5966,3838130,1438387200000,ScgltublDV,3861723,105,com.sec.android.app.shealth,2015-08-02 04:00:23.068,240000,b18b67ca-89fb-4b4c-a77a-2c8d9e5293f4,b18b67ca-89fb-4b4c-a77a-2c8d9e5293f4.extra_data.json,274.7587
0,60,44880000,2016-04-08 04:00:11.539,2085.95,30000,2658,1678689,1460073600000,OBFuvbOf82,1708689,45,com.sec.android.app.shealth,2016-04-09 04:32:33.575,120000,43c8470f-fd31-4d28-a201-b5e3c9e4613a,43c8470f-fd31-4d28-a201-b5e3c9e4613a.extra_data.json,116.65998
0,60,48540000,2016-08-05 04:00:18.772,5277.643,88000,7729,5164224,1470355200000,OBFuvbOf82,5252224,145,com.sec.android.app.shealth,2016-08-07 00:38:02.764,2039988,ad4cb73e-ab44-402f-8c3e-835b496ec483,ad4cb73e-ab44-402f-8c3e-835b496ec483.extra_data.json,291.54703
0,60,43800000,2016-04-12 04:02:17.040,7744.9995,219019,9550,5625397,1460419200000,OBFuvbOf82,5844416,160,com.sec.android.app.shealth,2016-04-13 17:35:07.938,540000,e0aeade9-4054-4d80-a4c6-5b97d4cbba79,e0aeade9-4054-4d80-a4c6-5b97d4cbba79.extra_data.json,443.64987
0,60,37680000,2015-11-19 05:18:52.022,3514.9097,28400,4578,2909821,1447891200000,OBFuvbOf82,2938221,80,com.sec.android.app.shealth,2015-11-20 17:50:26.655,180000,cb131d7f-a33a-49d4-96f3-e185b8938db3,cb131d7f-a33a-49d4-96f3-e185b8938db3.extra_data.json,204.08994
0,60,41820000,2015-07-03 04:00:06.552,15309.293,2090722,16330,7238187,1435881600000,ScgltublDV,9328909,256,com.sec.android.app.shealth,2015-07-11 00:42:45.265,1908000,fb63dcf3-8bb5-4323-94e3-61c72e840331,fb63dcf3-8bb5-4323-94e3-61c72e840331.extra_data.json,1067.6642
0,60,41040000,2016-02-19 05:00:02.615,5302.2534,47891,6962,4347809,1455840000000,OBFuvbOf82,4395700,120,com.sec.android.app.shealth,2016-02-20 08:26:47.022,794075,9f89199a-a5f6-4321-989c-c92f04ab581d,9f89199a-a5f6-4321-989c-c92f04ab581d.extra_data.json,291.04926
0,60,23520000,2016-08-17 04:00:13.239,5472.648,83299,6753,4051469,1471392000000,OBFuvbOf82,4134768,113,com.sec.android.app.shealth,2016-08-18 03:35:01.354,240000,493386d2-3268-4855-8463-65eeaa8bc15c,493386d2-3268-4855-8463-65eeaa8bc15c.extra_data.json,303.11996
0,60,39780000,2015-12-17 05:00:04.359,5730.5913,57120,7276,4557259,1450310400000,OBFuvbOf82,4614379,125,com.sec.android.app.shealth,2015-12-18 06:07:10.728,420000,9270b9c7-9980-444e-a1af-efec8c513b9d,9270b9c7-9980-444e-a1af-efec8c513b9d.extra_data.json,327.43005
0,60,35820000,2016-04-18 04:00:16.637,3405.9128,43372,4564,2529797,1460937600000,OBFuvbOf82,2573169,70,com.sec.android.app.shealth,2016-04-19 21:44:39.797,2223000,ce07869b-9087-4e7f-b5e6-aa44a5f00040,ce07869b-9087-4e7f-b5e6-aa44a5f00040.extra_data.json,186.17128
0,60,47400000,2016-05-09 04:00:00.948,4301.68,20968,5494,3427023,1462752000000,OBFuvbOf82,3447991,95,com.sec.android.app.shealth,2016-05-10 07:48:19.499,300000,35e51749-08f6-4b71-973b-73352aa3da22,35e51749-08f6-4b71-973b-73352aa3da22.extra_data.json,236.88002
0,60,47400000,2015-06-13 04:00:02.994,6714.922,75709,8095,4926145,1434153600000,ScgltublDV,5001854,138,com.sec.android.app.shealth,2015-07-11 00:42:35.846,420000,eff25ec9-6e76-4af9-9859-762d90c146b6,eff25ec9-6e76-4af9-9859-762d90c146b6.extra_data.json,384.18445
0,60,38340000,2015-10-21 04:00:00.842,5255.0493,89736,6582,3777081,1445385600000,TiXFQW5DKB,3866817,105,com.sec.android.app.shealth,2015-10-22 00:35:02.550,600000,7ca056b0-565a-496e-8b08-a2f835cf98ea,7ca056b0-565a-496e-8b08-a2f835cf98ea.extra_data.json,295.75
0,60,47580000,2015-08-24 04:02:23.825,3137.484,32800,3931,2554520,1440374400000,TiXFQW5DKB,2587320,70,com.sec.android.app.shealth,2015-08-25 04:00:26.148,60000,dc603e15-c0f2-426e-a1a0-336b6c0cb6a2,dc603e15-c0f2-426e-a1a0-336b6c0cb6a2.extra_data.json,175.15031
0,60,30540000,2015-11-02 05:00:04.358,593.4401,400,782,520927,1446422400000,TiXFQW5DKB,521327,13,com.sec.android.app.shealth,2015-11-03 01:34:24.178,32683,1c783930-f08a-46ba-a32c-14cb8a12d631,1c783930-f08a-46ba-a32c-14cb8a12d631.extra_data.json,35.64
0,60,48780000,2016-01-23 05:00:01.172,5750.831,73341,7286,4580910,1453507200000,OBFuvbOf82,4654251,128,com.sec.android.app.shealth,2016-01-24 23:49:20.000,420000,ecd1cf5c-889d-40ff-82bf-b3b8ee67b163,ecd1cf5c-889d-40ff-82bf-b3b8ee67b163.extra_data.json,321.73993
0,60,54540000,2016-01-17 05:00:01.131,4128.958,36080,5575,3573441,1452988800000,OBFuvbOf82,3609521,98,com.sec.android.app.shealth,2016-01-19 00:57:33.800,1177685,44f36137-7d2f-4c22-bc1c-8cbdd6ae077a,44f36137-7d2f-4c22-bc1c-8cbdd6ae077a.extra_data.json,232.16638
0,60,63600000,2016-03-24 04:00:08.177,127.85,0,162,108054,1458777600000,OBFuvbOf82,108054,1,com.sec.android.app.shealth,2016-03-25 01:45:50.786,22011,9369b666-2d1a-4c84-8e83-8cca089d5302,9369b666-2d1a-4c84-8e83-8cca089d5302.extra_data.json,6.7200003
0,60,47760000,2016-01-01 05:00:01.144,752.5401,22400,900,502828,1451606400000,OBFuvbOf82,525228,13,com.sec.android.app.shealth,2016-01-02 17:16:39.247,180000,af7b0071-bf9e-4797-b6fa-67f68abbb0d9,af7b0071-bf9e-4797-b6fa-67f68abbb0d9.extra_data.json,42.120003
0,60,40800000,2015-08-11 04:00:02.185,16201.216,1851291,18338,9042964,1439251200000,ScgltublDV,10894255,300,com.sec.android.app.shealth,2015-08-12 04:04:05.505,1661240,7b778e06-613a-4cd0-8ae0-893cc10e2480,7b778e06-613a-4cd0-8ae0-893cc10e2480.extra_data.json,1053.4308
0,60,32160000,2016-02-09 05:00:02.387,5218.3604,49195,6594,4166811,1454976000000,OBFuvbOf82,4216006,115,com.sec.android.app.shealth,2016-02-10 03:02:54.600,180000,f1be4e04-e31b-49cc-852b-909672a56e2b,f1be4e04-e31b-49cc-852b-909672a56e2b.extra_data.json,291.86996
0,60,38520000,2016-04-02 04:02:01.105,5844.2896,43742,7322,4650969,1459555200000,OBFuvbOf82,4694711,128,com.sec.android.app.shealth,2016-04-03 04:24:41.046,180000,38ad665c-9ecb-4d27-9ff7-639bc75be379,38ad665c-9ecb-4d27-9ff7-639bc75be379.extra_data.json,307.18008
0,60,28380000,2015-06-24 04:00:05.741,6744.362,70314,8295,5337758,1435104000000,ScgltublDV,5408072,148,com.sec.android.app.shealth,2015-06-25 04:00:14.956,420000,a03d876a-03be-48a1-8dbe-d10c244f7812,a03d876a-03be-48a1-8dbe-d10c244f7812.extra_data.json,415.63785
0,60,34380000,2016-04-06 04:00:13.303,7725.4253,120946,9925,5788821,1459900800000,OBFuvbOf82,5909767,163,com.sec.android.app.shealth,2016-04-07 13:19:01.622,2775981,c91e2c0e-713d-4b04-9c73-7acc476f0b5e,c91e2c0e-713d-4b04-9c73-7acc476f0b5e.extra_data.json,423.26596
0,60,42600000,2015-05-11 04:00:02.573,8449.817,1319686,9330,4138687,1431302400000,ScgltublDV,5458373,148,com.sec.android.app.shealth,2015-05-12 04:00:16.544,1800000,c267693a-b1e9-4e93-be7c-c9a88a79bf66,c267693a-b1e9-4e93-be7c-c9a88a79bf66.extra_data.json,578.83777
0,60,33420000,2016-08-31 04:00:02.381,7468.8784,47878,11351,6959232,1472601600000,J9OOjwOhpg,7007110,191,com.sec.android.app.shealth,2016-09-01 03:52:56.912,3708000,e8b6d7fb-27d1-4e5e-8ef0-af2ecec694dc,e8b6d7fb-27d1-4e5e-8ef0-af2ecec694dc.extra_data.json,418.48444
0,60,28920000,2015-11-27 05:01:24.470,4899.159,63941,6235,3985166,1448582400000,OBFuvbOf82,4049107,111,com.sec.android.app.shealth,2015-11-28 04:43:22.242,240000,d9d562fd-c529-4824-a107-d6eae52d1a27,d9d562fd-c529-4824-a107-d6eae52d1a27.extra_data.json,274.0901
0,60,56040000,2016-04-11 04:00:14.570,1773.2197,19200,2193,1321814,1460332800000,OBFuvbOf82,1341014,36,com.sec.android.app.shealth,2016-04-12 19:59:56.001,480000,7e4ec190-9907-489c-8728-0011d4037458,7e4ec190-9907-489c-8728-0011d4037458.extra_data.json,91.64001
0,60,37920000,2016-08-30 04:04:36.235,6776.6323,52654,8654,5624499,1472515200000,J9OOjwOhpg,5677153,155,com.sec.android.app.shealth,2016-08-31 22:40:05.041,120000,17fe9f28-2f79-44d5-bdba-8a37d8ece2aa,17fe9f28-2f79-44d5-bdba-8a37d8ece2aa.extra_data.json,407.63
0,60,37740000,2015-07-10 04:00:08.924,14840.026,223541,18046,10309861,1436486400000,ScgltublDV,10533402,290,com.sec.android.app.shealth,2015-07-11 04:05:38.487,1860000,2ab437c1-7e25-40d1-8ddf-52e779071daf,2ab437c1-7e25-40d1-8ddf-52e779071daf.extra_data.json,832.26697
0,60,65280000,2015-10-29 04:00:29.628,2124.398,35931,2704,1648626,1446076800000,TiXFQW5DKB,1684557,45,com.sec.android.app.shealth,2015-10-30 02:09:49.470,300000,03114c5c-116a-4c5a-963b-417893e989f1,03114c5c-116a-4c5a-963b-417893e989f1.extra_data.json,128.48416
0,60,57060000,2015-10-09 04:01:43.434,27.64,0,35,23345,1444348800000,TiXFQW5DKB,23345,0,com.sec.android.app.shealth,2015-10-09 20:57:25.557,9338,c6fb94f8-c6e6-4346-b47b-141d34f7af4f,c6fb94f8-c6e6-4346-b47b-141d34f7af4f.extra_data.json,1.46
