com.samsung.shealth.step_daily_trend,6060029,6
create_time,distance,count,source_type,day_time,speed,deviceuuid,pkg_name,update_time,binning_data,datauuid,calorie,source_pkg_name
2019-08-21 16:27:44.370,342.77002,424,0,1413417600000,0.0,cfxbbbfj2r,com.sec.android.app.shealth,2019-08-21 16:27:44.370,d150b999-cd24-4939-85a5-ceb3ab026dfe.binning_data.json,d150b999-cd24-4939-85a5-ceb3ab026dfe,18.87,com.sec.android.app.shealth
2019-08-21 16:27:44.371,4632.9507,6046,0,1413590400000,0.0,cfxbbbfj2r,com.sec.android.app.shealth,2019-08-21 16:27:44.371,c5e751f2-d06c-4c31-aa79-ba0d58bebb45.binning_data.json,c5e751f2-d06c-4c31-aa79-ba0d58bebb45,261.53006,com.sec.android.app.shealth
2019-08-21 16:27:44.372,3344.53,4118,0,1413676800000,0.0,cfxbbbfj2r,com.sec.android.app.shealth,2019-08-21 16:27:44.372,22843d6a-2bd4-4042-8ad0-2a01b8ca66ac.binning_data.json,22843d6a-2bd4-4042-8ad0-2a01b8ca66ac,187.59003,com.sec.android.app.shealth
2019-08-21 16:27:44.372,685.24,843,0,1413763200000,0.0,cfxbbbfj2r,com.sec.android.app.shealth,2019-08-21 16:27:44.372,6d59d162-3618-4ed6-a60d-b5a7aac2602a.binning_data.json,6d59d162-3618-4ed6-a60d-b5a7aac2602a,41.67,com.sec.android.app.shealth
2019-08-21 16:27:44.372,6923.41,8596,0,1413849600000,0.0,cfxbbbfj2r,com.sec.android.app.shealth,2019-08-21 16:27:44.372,6f7b4cd4-9634-4685-83e5-30203f65a03e.binning_data.json,6f7b4cd4-9634-4685-83e5-30203f65a03e,394.09006,com.sec.android.app.shealth
2019-08-21 16:27:44.372,1844.22,2370,0,1413936000000,0.0,cfxbbbfj2r,com.sec.android.app.shealth,2019-08-21 16:27:44.372,85222e34-eac7-48be-8009-f9a74b1d7536.binning_data.json,85222e34-eac7-48be-8009-f9a74b1d7536,102.96999,com.sec.android.app.shealth
2019-08-21 16:27:44.373,692.32,891,0,1414022400000,0.0,cfxbbbfj2r,com.sec.android.app.shealth,2019-08-21 16:27:44.373,f6ed178c-2d23-4e05-95e6-b68edfe6363b.binning_data.json,f6ed178c-2d23-4e05-95e6-b68edfe6363b,41.03,com.sec.android.app.shealth
2019-08-21 16:27:44.374,2494.3,3109,0,1414108800000,0.0,cfxbbbfj2r,com.sec.android.app.shealth,2019-08-21 16:27:44.374,44189c22-d6eb-41b2-bf38-e2144867e590.binning_data.json,44189c22-d6eb-41b2-bf38-e2144867e590,148.61002,com.sec.android.app.shealth
2019-08-21 16:27:44.374,1470.89,1837,0,1414195200000,0.0,cfxbbbfj2r,com.sec.android.app.shealth,2019-08-21 16:27:44.374,1cdd99a5-dcbd-4c6f-a177-eccaf457a12b.binning_data.json,1cdd99a5-dcbd-4c6f-a177-eccaf457a12b,80.549995,com.sec.android.app.shealth
2019-08-21 16:27:44.374,6190.5,7535,0,1414281600000,0.0,cfxbbbfj2r,com.sec.android.app.shealth,2019-08-21 16:27:44.374,aba5dc13-1056-4c06-aca1-9bbb4996c9ff.binning_data.json,aba5dc13-1056-4c06-aca1-9bbb4996c9ff,340.73004,com.sec.android.app.shealth
2019-08-21 16:27:44.376,5915.84,7650,0,1414368000000,0.0,cfxbbbfj2r,com.sec.android.app.shealth,2019-08-21 16:27:44.376,710a4b20-20a7-4908-bfa4-4258b5926fec.binning_data.json,710a4b20-20a7-4908-bfa4-4258b5926fec,333.65,com.sec.android.app.shealth
2019-08-21 16:27:54.377,9994.45,12539,0,1414454400000,0.0,cfxbbbfj2r,com.sec.android.app.shealth,2019-08-21 16:27:54.377,82be7846-934b-4442-885c-c1b93d6a059e.binning_data.json,82be7846-934b-4442-885c-c1b93d6a059e,561.48,com.sec.android.app.shealth
2019-08-21 16:27:54.377,4435.75,5587,0,1414540800000,0.0,cfxbbbfj2r,com.sec.android.app.shealth,2019-08-21 16:27:54.377,bc77cbaf-938e-4c23-8a52-5283296e5bb7.binning_data.json,bc77cbaf-938e-4c23-8a52-5283296e5bb7,252.64998,com.sec.android.app.shealth
2019-08-21 16:27:54.377,49.45,64,0,1414627200000,0.0,cfxbbbfj2r,com.sec.android.app.shealth,2019-08-21 16:27:54.377,01208f31-c631-4270-9d52-ee113a5e73e5.binning_data.json,01208f31-c631-4270-9d52-ee113a5e73e5,2.71,com.sec.android.app.shealth
2019-08-21 16:27:54.378,1107.77,1374,0,1414713600000,0.0,cfxbbbfj2r,com.sec.android.app.shealth,2019-08-21 16:27:54.378,6ebad21f-f332-47a0-b91b-d86e0cda3d03.binning_data.json,6ebad21f-f332-47a0-b91b-d86e0cda3d03,63.069996,com.sec.android.app.shealth
2019-08-21 16:27:54.378,8071.69,10355,0,1414800000000,0.0,cfxbbbfj2r,com.sec.android.app.shealth,2019-08-21 16:27:54.378,4be2b8c7-3c22-4ae8-b778-905379c3e52e.binning_data.json,4be2b8c7-3c22-4ae8-b778-905379c3e52e,435.37,com.sec.android.app.shealth
2019-08-21 16:27:54.378,6573.42,8405,0,1414886400000,0.0,cfxbbbfj2r,com.sec.android.app.shealth,2019-08-21 16:27:54.378,8e9e73b0-dd3c-4d5b-aa49-87edd3b6fc70.binning_data.json,8e9e73b0-dd3c-4d5b-aa49-87edd3b6fc70,358.44998,com.sec.android.app.shealth
2019-08-21 16:27:54.378,4921.29,6132,0,1414972800000,0.0,cfxbbbfj2r,com.sec.android.app.shealth,2019-08-21 16:27:54.378,a780d663-286d-44bd-aa74-60d2b92b1d8e.binning_data.json,a780d663-286d-44bd-aa74-60d2b92b1d8e,271.03,com.sec.android.app.shealth
2019-08-21 16:27:54.378,7527.8,9279,0,1415059200000,0.0,cfxbbbfj2r,com.sec.android.app.shealth,2019-08-21 16:27:54.378,a6baa8e9-74e2-4442-8c74-af1b4e5a9041.binning_data.json,a6baa8e9-74e2-4442-8c74-af1b4e5a9041,419.56,com.sec.android.app.shealth
2019-08-21 16:27:54.379,1803.45,2329,0,1415145600000,0.0,cfxbbbfj2r,com.sec.android.app.shealth,2019-08-21 16:27:54.379,7f6a54fd-57d2-4242-827e-fafe708de1c9.binning_data.json,7f6a54fd-57d2-4242-827e-fafe708de1c9,101.46,com.sec.android.app.shealth
2019-08-21 16:27:54.379,1233.29,1659,0,1415232000000,0.0,cfxbbbfj2r,com.sec.android.app.shealth,2019-08-21 16:27:54.379,16d033cf-4f66-47ef-af10-cc76391e1a04.binning_data.json,16d033cf-4f66-47ef-af10-cc76391e1a04,73.19,com.sec.android.app.shealth
