com.samsung.shealth.step_daily_trend,6225039,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
2825c4c6-06a3-41ac-a897-9afddd31e18b.binning_data.json,2022-06-14 04:58:02.780,2022-06-14 04:58:02.780,com.sec.android.app.shealth,0,6132,0.0,4921.29,271.03,rmpFWNZh7F,com.sec.android.app.shealth,2825c4c6-06a3-41ac-a897-9afddd31e18b,1414972800000,
639a1751-3b7c-4ce9-a857-4674e79b2dd3.binning_data.json,2022-06-14 04:58:02.781,2022-06-14 04:58:02.781,com.sec.android.app.shealth,0,6195,0.0,4798.3096,262.34,rmpFWNZh7F,com.sec.android.app.shealth,639a1751-3b7c-4ce9-a857-4674e79b2dd3,1415318400000,
4a016b65-84e7-4c50-a65f-93635cc716f0.binning_data.json,2022-06-14 04:58:02.780,2022-06-14 04:58:02.780,com.sec.android.app.shealth,0,2329,0.0,1803.45,101.46,rmpFWNZh7F,com.sec.android.app.shealth,4a016b65-84e7-4c50-a65f-93635cc716f0,1415145600000,
5addf148-f99b-4878-ae22-daec6bc90f06.binning_data.json,2022-06-14 04:58:02.781,2022-06-14 04:58:02.781,com.sec.android.app.shealth,0,857,0.0,659.58,37.85,rmpFWNZh7F,com.sec.android.app.shealth,5addf148-f99b-4878-ae22-daec6bc90f06,1415750400000,
871bb5f1-5b70-4c1f-8770-eaac31376b2a.binning_data.json,2022-06-14 04:58:02.782,2022-06-14 04:58:02.782,com.sec.android.app.shealth,0,7450,0.0,5949.52,348.38998,rmpFWNZh7F,com.sec.android.app.shealth,871bb5f1-5b70-4c1f-8770-eaac31376b2a,1415923200000,
446eb983-2426-46ce-a505-b83bf076ef0c.binning_data.json,2022-06-14 04:58:02.781,2022-06-14 04:58:02.781,com.sec.android.app.shealth,0,15226,0.0,11855.53,651.26,rmpFWNZh7F,com.sec.android.app.shealth,446eb983-2426-46ce-a505-b83bf076ef0c,1415577600000,
6ee4c48d-8682-4a87-afd5-aa0f40c10320.binning_data.json,2022-06-14 04:58:02.781,2022-06-14 04:58:02.781,com.sec.android.app.shealth,0,8605,0.0,6837.57,381.54,rmpFWNZh7F,com.sec.android.app.shealth,6ee4c48d-8682-4a87-afd5-aa0f40c10320,1415664000000,
4958689f-8790-4694-bb51-b8c1fc831672.binning_data.json,2022-06-14 04:58:02.781,2022-06-14 04:58:02.781,com.sec.android.app.shealth,0,478,0.0,356.57,20.56,rmpFWNZh7F,com.sec.android.app.shealth,4958689f-8790-4694-bb51-b8c1fc831672,1415491200000,
5816cb92-2757-4e8b-9577-629ed4dfee02.binning_data.json,2022-06-14 04:58:02.783,2022-06-14 04:58:02.783,com.sec.android.app.shealth,0,15496,0.0,12639.279,713.27997,rmpFWNZh7F,com.sec.android.app.shealth,5816cb92-2757-4e8b-9577-629ed4dfee02,1416096000000,
65f4dc65-fea7-4403-a59e-09c4974cdb32.binning_data.json,2022-06-14 04:58:02.785,2022-06-14 04:58:02.785,com.sec.android.app.shealth,0,11260,0.0,9043.58,495.4,rmpFWNZh7F,com.sec.android.app.shealth,65f4dc65-fea7-4403-a59e-09c4974cdb32,1416268800000,
b869e721-6752-4f9a-9d91-8b819fb57c53.binning_data.json,2022-06-14 04:58:02.786,2022-06-14 04:58:02.786,com.sec.android.app.shealth,0,4802,0.0,3719.58,203.73,rmpFWNZh7F,com.sec.android.app.shealth,b869e721-6752-4f9a-9d91-8b819fb57c53,1416441600000,
4692dcb8-d922-4310-b38b-079a5c4a5c6d.binning_data.json,2022-06-14 04:58:02.782,2022-06-14 04:58:02.782,com.sec.android.app.shealth,0,7322,0.0,5644.749,316.65015,rmpFWNZh7F,com.sec.android.app.shealth,4692dcb8-d922-4310-b38b-079a5c4a5c6d,1415836800000,
9846ed8a-1cf5-4e26-aa8e-26a0f83fd3cc.binning_data.json,2022-06-14 04:58:02.787,2022-06-14 04:58:02.787,com.sec.android.app.shealth,0,4581,0.0,3612.09,196.37,rmpFWNZh7F,com.sec.android.app.shealth,9846ed8a-1cf5-4e26-aa8e-26a0f83fd3cc,1416614400000,
12e5fb0f-9708-4613-baf3-0c2935fa13a6.binning_data.json,2022-06-14 04:58:02.788,2022-06-14 04:58:02.788,com.sec.android.app.shealth,0,10466,0.0,8033.9,452.30997,rmpFWNZh7F,com.sec.android.app.shealth,12e5fb0f-9708-4613-baf3-0c2935fa13a6,1416787200000,
6d96bdd8-f7ea-43f6-92ff-00718c7c9334.binning_data.json,2022-06-14 04:58:02.785,2022-06-14 04:58:02.785,com.sec.android.app.shealth,0,9975,0.0,8153.2197,452.90997,rmpFWNZh7F,com.sec.android.app.shealth,6d96bdd8-f7ea-43f6-92ff-00718c7c9334,1416182400000,
e847ffda-f8cd-4de7-9956-93093df1a5aa.binning_data.json,2022-06-14 04:58:02.789,2022-06-14 04:58:02.789,com.sec.android.app.shealth,0,898,0.0,699.31006,40.43,rmpFWNZh7F,com.sec.android.app.shealth,e847ffda-f8cd-4de7-9956-93093df1a5aa,1416960000000,
2409de2d-2a0a-4c9f-9cbd-d1f3c7612089.binning_data.json,2022-06-14 04:58:02.786,2022-06-14 04:58:02.786,com.sec.android.app.shealth,0,5817,0.0,4583.05,256.1,rmpFWNZh7F,com.sec.android.app.shealth,2409de2d-2a0a-4c9f-9cbd-d1f3c7612089,1416355200000,
4308f400-5fa2-41d0-960b-8887f6b9483e.binning_data.json,2022-06-14 04:58:02.783,2022-06-14 04:58:02.783,com.sec.android.app.shealth,0,6453,0.0,5289.05,316.42,rmpFWNZh7F,com.sec.android.app.shealth,4308f400-5fa2-41d0-960b-8887f6b9483e,1416009600000,
c79bf348-475f-4d84-baf7-b439534ef175.binning_data.json,2022-06-14 04:58:02.791,2022-06-14 04:58:02.791,com.sec.android.app.shealth,0,13813,0.0,10756.7295,579.11,rmpFWNZh7F,com.sec.android.app.shealth,c79bf348-475f-4d84-baf7-b439534ef175,1417132800000,
7d4f2255-8c28-4927-8ffa-faa5bbecc3fa.binning_data.json,2022-06-14 04:58:02.794,2022-06-14 04:58:02.794,com.sec.android.app.shealth,0,5943,0.0,4732.6,256.25,rmpFWNZh7F,com.sec.android.app.shealth,7d4f2255-8c28-4927-8ffa-faa5bbecc3fa,1417305600000,
edb24647-ab8c-44ff-82c1-35d8a1f44448.binning_data.json,2022-06-14 04:58:02.795,2022-06-14 04:58:02.795,com.sec.android.app.shealth,0,8177,0.0,6428.73,353.97998,rmpFWNZh7F,com.sec.android.app.shealth,edb24647-ab8c-44ff-82c1-35d8a1f44448,1417478400000,
2b672d3f-c21c-47e8-b0a4-0b2ed8bbe14c.binning_data.json,2022-06-14 04:58:02.789,2022-06-14 04:58:02.789,com.sec.android.app.shealth,0,8225,0.0,6418.61,354.46,rmpFWNZh7F,com.sec.android.app.shealth,2b672d3f-c21c-47e8-b0a4-0b2ed8bbe14c,1416873600000,
70363d81-496d-4fa2-a093-26f5ae0abefe.binning_data.json,2022-06-14 04:58:02.788,2022-06-14 04:58:02.788,com.sec.android.app.shealth,0,7548,0.0,5722.08,329.9,rmpFWNZh7F,com.sec.android.app.shealth,70363d81-496d-4fa2-a093-26f5ae0abefe,1416700800000,
09795f4f-3f01-4e06-ac9c-877aacc0e3c1.binning_data.json,2022-06-14 04:58:02.795,2022-06-14 04:58:02.795,com.sec.android.app.shealth,0,1419,0.0,1080.0599,58.96,rmpFWNZh7F,com.sec.android.app.shealth,09795f4f-3f01-4e06-ac9c-877aacc0e3c1,1417651200000,
