com.samsung.shealth.sleep_data,6225039,4
start_time,update_time,create_time,sleep_uuid,sleep_status,time_offset,deviceuuid,comment,pkg_name,json_version,datauuid
2017-02-27 23:23:00.000,2017-02-28 01:28:05.242,2017-02-28 01:28:05.242,351ce644-6e2b-5f79-beeb-a4b36f8e6e38,e95519f6-60e8-1168-5170-47ef8d459a55.sleep_status.json,UTC-0500,PEzvKidhug,,com.sec.android.app.shealth,1,e95519f6-60e8-1168-5170-47ef8d459a55,
2018-02-09 01:39:00.000,2018-02-09 03:59:30.316,2018-02-09 03:59:30.316,041f58cf-6c0b-6bce-fb64-d7fedb25b088,40336af9-9b6e-bc48-2765-db3561b0d963.sleep_status.json,UTC-0500,PEzvKidhug,,com.sec.android.app.shealth,1,40336af9-9b6e-bc48-2765-db3561b0d963,
2017-10-03 21:28:00.000,2017-10-03 23:00:22.589,2017-10-03 23:00:22.589,4e1f66e9-789c-0d43-21b2-81bc88dd4bd5,caeff605-13c5-f4d7-4541-2b9e88619dc8.sleep_status.json,UTC-0400,PEzvKidhug,,com.sec.android.app.shealth,1,caeff605-13c5-f4d7-4541-2b9e88619dc8,
2017-09-06 23:05:00.000,2017-09-07 00:48:07.255,2017-09-07 00:48:07.255,2abd8925-6275-5bdf-1cfd-4b3928b144e0,ab01e695-6d90-f562-55fc-bc868aa2cb9e.sleep_status.json,UTC-0400,PEzvKidhug,,com.sec.android.app.shealth,1,ab01e695-6d90-f562-55fc-bc868aa2cb9e,
2017-04-09 07:37:00.000,2017-04-09 16:11:23.815,2017-04-09 16:11:23.815,8730cc54-1aec-0b3b-c6f9-2b99c5a3dc0d,121aac1c-f018-5ff3-2e2a-57e11d4f31af.sleep_status.json,UTC-0400,PEzvKidhug,,com.sec.android.app.shealth,1,121aac1c-f018-5ff3-2e2a-57e11d4f31af,
2017-10-10 19:46:00.000,2017-10-11 00:52:54.226,2017-10-11 00:52:54.226,807aad08-a661-2a68-8a84-74185599f5b8,c8db957f-d542-d3ac-cdb5-63bf01c0b461.sleep_status.json,UTC-0400,PEzvKidhug,,com.sec.android.app.shealth,1,c8db957f-d542-d3ac-cdb5-63bf01c0b461,
2017-03-08 08:29:00.000,2017-03-08 13:01:01.248,2017-03-08 13:01:01.248,7bc3bceb-3ee6-cdc2-9fcd-2a1f00a8f463,c83d0cfb-3b27-11a3-f1dc-3ded080369ec.sleep_status.json,UTC-0600,PEzvKidhug,,com.sec.android.app.shealth,1,c83d0cfb-3b27-11a3-f1dc-3ded080369ec,
2018-04-28 22:19:00.000,2018-04-29 00:34:06.380,2018-04-29 00:34:06.380,2cc21a83-1448-2557-ed3e-d9ff726f15fb,7509e50d-4a92-f435-63e4-35cf8dfa25fc.sleep_status.json,UTC-0400,PEzvKidhug,,com.sec.android.app.shealth,1,7509e50d-4a92-f435-63e4-35cf8dfa25fc,
2018-08-05 03:21:00.000,2018-08-05 04:38:53.527,2018-08-05 04:38:53.527,39ae6a4d-b69a-7b82-3f21-04969b2b3503,d4e8964e-730a-baa6-a1f4-9baff2046c9e.sleep_status.json,UTC-0400,PEzvKidhug,,com.sec.android.app.shealth,1,d4e8964e-730a-baa6-a1f4-9baff2046c9e,
2017-10-11 20:22:00.000,2017-10-11 22:36:38.260,2017-10-11 22:36:38.260,801a45bf-d032-6d77-959e-343daae5d7e7,f465a834-3925-7f33-5c65-f0c2f5038ada.sleep_status.json,UTC-0400,PEzvKidhug,,com.sec.android.app.shealth,1,f465a834-3925-7f33-5c65-f0c2f5038ada,
2018-01-14 00:38:00.000,2018-01-14 02:46:48.474,2018-01-14 02:46:48.474,a6156f4c-349e-9e49-fbf2-e1115b73dda9,22a81c9e-5c08-984c-3c0b-59f7317927c3.sleep_status.json,UTC-0500,PEzvKidhug,,com.sec.android.app.shealth,1,22a81c9e-5c08-984c-3c0b-59f7317927c3,
2018-04-05 23:53:00.000,2018-04-06 01:43:52.529,2018-04-06 01:43:52.529,12d5a4d8-1901-693f-039c-11d5b93d0c3f,c8adedbf-4004-334b-f055-a8e117b2cf64.sleep_status.json,UTC-0400,PEzvKidhug,,com.sec.android.app.shealth,1,c8adedbf-4004-334b-f055-a8e117b2cf64,
2017-07-23 03:17:00.000,2017-07-23 04:44:20.968,2017-07-23 04:44:20.968,a920cf40-89b6-5eb4-55fe-0e42e4e7082c,5cdb5e33-7986-f261-a1f3-65dff418ee0b.sleep_status.json,UTC-0400,PEzvKidhug,,com.sec.android.app.shealth,1,5cdb5e33-7986-f261-a1f3-65dff418ee0b,
2017-10-14 20:40:00.000,2017-10-14 21:44:12.894,2017-10-14 21:44:12.894,a65a6cbc-cc50-0b17-7934-722f81d52638,d92a9e2d-7a11-c175-fd64-5bff5b36716e.sleep_status.json,UTC-0400,PEzvKidhug,,com.sec.android.app.shealth,1,d92a9e2d-7a11-c175-fd64-5bff5b36716e,
2017-03-07 17:51:00.000,2017-03-07 19:36:11.219,2017-03-07 19:36:11.219,c0551ab0-eaa9-901e-297d-b0dd3487c691,8d0b5343-97ed-e278-d3e6-6f440870b8e7.sleep_status.json,UTC-0600,PEzvKidhug,,com.sec.android.app.shealth,1,8d0b5343-97ed-e278-d3e6-6f440870b8e7,
2019-05-22 21:14:00.000,2019-05-30 15:24:45.579,2019-05-30 15:24:45.579,ae39cc79-69c3-a5c9-b91b-177fa2dffd77,999523b8-5058-a332-a74b-c454cb91a21d.sleep_status.json,UTC-0400,PEzvKidhug,,com.sec.android.app.shealth,1,999523b8-5058-a332-a74b-c454cb91a21d,
2018-02-26 19:19:00.000,2018-02-26 21:14:15.317,2018-02-26 21:14:15.317,7c94ff13-a1de-17cd-4cfd-a59e7d81f847,c878b9a5-febe-c70f-c028-8573971e4494.sleep_status.json,UTC-0500,PEzvKidhug,,com.sec.android.app.shealth,1,c878b9a5-febe-c70f-c028-8573971e4494,
2017-10-13 20:29:00.000,2017-10-13 22:41:57.229,2017-10-13 22:41:57.229,017e93dc-9223-bdff-19ae-bed0eea3c4fe,2e75f14b-5072-4734-02cf-10f0f68b668a.sleep_status.json,UTC-0400,PEzvKidhug,,com.sec.android.app.shealth,1,2e75f14b-5072-4734-02cf-10f0f68b668a,
