com.samsung.shealth.sleep,6060029,2
com.samsung.health.sleep.datauuid,efficiency,original_efficiency,original_bed_time,has_sleep_data,com.samsung.health.sleep.pkg_name,com.samsung.health.sleep.create_time,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.end_time,com.samsung.health.sleep.custom,original_wake_up_time,quality,com.samsung.health.sleep.deviceuuid,extra_data,com.samsung.health.sleep.start_time,com.samsung.health.sleep.update_time,com.samsung.health.sleep.comment
85eab275-ab01-4334-9e16-1936f6aa584d,0.0,,,,com.sec.android.app.shealth,1558456163191,UTC-0300,1558452600000,,,0,4V/TlqPcbG,,1558428600000,1558456163191,
c51840f1-810a-4233-9cfe-5ea9000b62b0,0.0,,,,com.sec.android.app.shealth,1507149348664,UTC-0300,1507125000000,,,0,EHdtKydEi4,,1507104000000,1507149348664,
795a94cd-1bbf-403b-bf61-b3c51f76f9e2,0.0,,,,com.sec.android.app.shealth,1506881020456,UTC-0300,1506785400000,,,0,EHdtKydEi4,,1506755400000,1506881020456,
7bc3bceb-3ee6-cdc2-9fcd-2a1f00a8f463,96.51163,,,1,com.sec.android.app.shealth,1488978061259,UTC-0500,1488977160000,,,,PEzvKidhug,,1488961740000,1488978061259,
ebb088fa-9ced-4df4-b942-278f2d618dbb,0.0,,,,com.sec.android.app.shealth,1564581644062,UTC-0300,1564581600000,,,0,4V/TlqPcbG,,1564558800000,1564581644062,
4d4e5679-e052-43a2-be5a-f99c40e1d5da,0.0,,,,com.sec.android.app.shealth,1556484419022,UTC-0300,1556460600000,,,0,4V/TlqPcbG,,1556432400000,1556484419022,
3b72ecbf-e8d9-4b8f-996e-a7f8fddd2233,0.0,,,,com.sec.android.app.shealth,1562249066649,UTC-0300,1562242200000,,,0,4V/TlqPcbG,,1562215800000,1562249066649,
32ca0228-18fa-4836-b6b5-d281946b770f,0.0,,,,com.sec.android.app.shealth,1566224369993,UTC-0300,1566223200000,,,0,4V/TlqPcbG,,1566195000000,1566224369993,
974f594f-a387-43a4-a337-5af2001c504f,0.0,,,,com.sec.android.app.shealth,1484869966549,UTC-0400,1484234400000,,,0,Q2GTsbBv8Q,,1484208600000,1484869966549,
f13340f0-fab1-4327-b745-b02437404c72,0.0,,,,com.sec.android.app.shealth,1549553977047,UTC-0400,1549553971752,,,0,Mz5pMh3q+T,,1549526400000,1549553977047,
