com.samsung.health.step_count,6060029,6
create_time,distance,time_offset,custom,count,end_time,speed,deviceuuid,start_time,pkg_name,update_time,datauuid,calorie,sample_position_type
2019-07-22 17:54:50.005,11.59,UTC-0300,,16,2019-07-22 17:53:00.000,0.97222227,4V/TlqPcbG,2019-07-22 17:52:00.000,com.sec.android.app.shealth,2019-07-22 17:54:50.005,35d5d5d1-2258-4b4b-ad8d-957fa55d5ecc,0.69,
2019-07-20 20:39:55.279,19.17,UTC-0300,,26,2019-07-20 20:40:00.000,1.0277777,4V/TlqPcbG,2019-07-20 20:39:00.000,com.sec.android.app.shealth,2019-07-20 20:39:55.279,c5836b7d-0327-4edc-b598-74d0380bacd4,1.08,
2019-07-18 21:41:52.712,24.0,UTC-0300,,33,2019-07-18 21:41:00.000,0.9444444,4V/TlqPcbG,2019-07-18 21:40:00.000,com.sec.android.app.shealth,2019-07-18 21:41:52.712,1a978407-de5d-420c-95ab-962940bc2f5b,1.34,
2019-07-19 02:35:01.543,11.65,UTC-0300,,16,2019-07-19 02:33:00.000,0.9166667,4V/TlqPcbG,2019-07-19 02:32:00.000,com.sec.android.app.shealth,2019-07-19 02:35:01.543,311785d2-fa82-4e2a-9c9e-3a9f9aa68eb3,0.69,
2019-07-21 21:35:04.178,4.9700003,UTC-0300,,7,2019-07-21 21:36:00.000,0.9096974,4V/TlqPcbG,2019-07-21 21:35:00.000,com.sec.android.app.shealth,2019-07-21 21:35:04.530,e0b58912-9ec6-41c7-8bda-9a01e3a34c83,0.34,
2019-07-23 01:55:01.295,14.72,UTC-0300,,18,2019-07-23 01:38:59.999,1.8333334,PEzvKidhug,2019-07-23 01:38:00.000,com.sec.android.app.shealth,2019-07-23 01:55:01.295,b1a4b5eb-a186-1ad1-398a-10ddfd1aa2f5,0.83,230002
2019-07-23 01:22:00.082,2.96,UTC-0300,,4,2019-07-23 01:23:00.000,1.069264,4V/TlqPcbG,2019-07-23 01:22:00.000,com.sec.android.app.shealth,2019-07-23 01:22:02.275,c75a39c2-deaa-45f9-b3b1-6ac1f3b06629,0.16,
2019-07-19 02:18:50.695,36.3,UTC-0300,,50,2019-07-19 02:19:00.000,0.9444444,4V/TlqPcbG,2019-07-19 02:18:00.000,com.sec.android.app.shealth,2019-07-19 02:18:50.695,d969ec7d-0e00-4f73-b24a-757c957fd936,2.08,
2019-07-20 19:13:00.889,23.77,UTC-0300,,32,2019-07-20 19:08:00.000,1.1111112,4V/TlqPcbG,2019-07-20 19:07:00.000,com.sec.android.app.shealth,2019-07-20 19:13:00.889,1ff7b3b0-a0a3-402d-9b4d-a426315dd69c,1.34,
2019-07-19 18:35:00.567,6.57,UTC-0300,,9,2019-07-19 18:36:00.000,0.99696505,4V/TlqPcbG,2019-07-19 18:35:00.000,com.sec.android.app.shealth,2019-07-19 18:45:14.207,df60f39c-a833-4687-83d3-bd978a01c74b,0.35999998,
2019-07-22 17:30:57.726,3.04,UTC-0300,,4,2019-07-22 17:30:59.999,1.3611112,PEzvKidhug,2019-07-22 17:30:00.000,com.sec.android.app.shealth,2019-07-22 17:30:57.726,24ecebb9-caca-e25e-0ce6-561e8e5e0cf2,0.19,230002
2019-07-20 20:04:04.466,13.18,UTC-0300,,18,2019-07-20 20:02:00.000,1.0,4V/TlqPcbG,2019-07-20 20:01:00.000,com.sec.android.app.shealth,2019-07-20 20:04:04.466,16107941-4324-4d01-b6c3-03e51ddd80c3,0.77,
2019-07-18 21:58:03.655,5.08,UTC-0300,,7,2019-07-18 21:59:00.000,0.94444436,4V/TlqPcbG,2019-07-18 21:58:00.000,com.sec.android.app.shealth,2019-07-18 21:58:04.403,98e7c243-d917-4ea0-9d55-499f33f70ac8,0.29999998,
2019-07-20 21:28:22.911,8.969999,UTC-0300,,12,2019-07-20 21:29:00.000,1.1022307,4V/TlqPcbG,2019-07-20 21:28:00.000,com.sec.android.app.shealth,2019-07-20 21:28:38.891,8a4a52a0-c833-4dea-936e-a1269bc81980,0.51,
2019-07-23 01:15:01.220,39.18,UTC-0300,,54,2019-07-23 01:14:59.999,1.3333334,PEzvKidhug,2019-07-23 01:14:00.000,com.sec.android.app.shealth,2019-07-23 01:15:01.220,bd052951-0611-2c24-75f8-07105d43593d,2.43,230002
2019-07-20 23:00:11.352,31.33,UTC-0300,,42,2019-07-20 22:57:00.000,1.1388888,4V/TlqPcbG,2019-07-20 22:56:00.000,com.sec.android.app.shealth,2019-07-20 23:00:11.352,db83e9b7-5a3f-418d-9f9e-dc6bcaa0816d,1.74,
2019-07-23 01:23:04.523,4.34,UTC-0300,,7,2019-07-23 01:22:59.999,0.9444444,PEzvKidhug,2019-07-23 01:22:00.000,com.sec.android.app.shealth,2019-07-23 01:23:04.524,75fcef92-9103-93a8-f13f-27b93101fd14,0.3,230002
2019-07-20 19:13:00.894,11.96,UTC-0300,,16,2019-07-20 19:12:00.000,1.1388888,4V/TlqPcbG,2019-07-20 19:11:00.000,com.sec.android.app.shealth,2019-07-20 19:13:00.894,bd6d4a31-01ce-4076-b042-d4f5077d8539,0.67,
2019-07-21 03:18:14.884,32.32,UTC-0300,,49,2019-07-21 03:19:00.000,0.95751613,4V/TlqPcbG,2019-07-21 03:18:00.000,com.sec.android.app.shealth,2019-07-21 03:31:45.526,b8508abe-9cd7-4669-8fb9-82ffb8ddcc99,2.8700001,
2019-07-20 21:03:02.123,0.0,UTC-0300,,0,2019-07-20 21:04:00.000,0.0,4V/TlqPcbG,2019-07-20 21:03:00.000,com.sec.android.app.shealth,2019-07-20 21:03:02.123,abb892d9-048d-45af-a91e-d14a13b423b1,0.0,
2019-07-19 17:53:13.765,29.46,UTC-0300,,40,2019-07-19 17:44:00.000,0.9722222,4V/TlqPcbG,2019-07-19 17:43:00.000,com.sec.android.app.shealth,2019-07-19 17:53:13.765,a2aededf-6402-4db6-ab86-913495a1c0d8,1.64,
2019-07-22 00:06:30.423,62.65,UTC-0300,,84,2019-07-22 00:00:00.000,1.1111112,4V/TlqPcbG,2019-07-21 23:59:00.000,com.sec.android.app.shealth,2019-07-22 00:06:30.423,202660ab-9933-44d8-adeb-1871ccd53677,3.39,
2019-07-19 17:07:52.304,78.35,UTC-0300,,105,2019-07-19 17:01:00.000,1.3058332,4V/TlqPcbG,2019-07-19 17:00:00.000,com.sec.android.app.shealth,2019-07-19 17:07:52.304,1c6a66ae-4f26-4dab-b352-997da1a9af58,4.23,
2019-07-21 23:55:00.356,42.27,UTC-0300,,58,2019-07-21 23:55:00.000,1.0833334,4V/TlqPcbG,2019-07-21 23:54:00.000,com.sec.android.app.shealth,2019-07-21 23:55:00.356,d53c0449-b507-4129-a924-66750ae59f86,2.88,
2019-07-19 00:57:30.266,42.820004,UTC-0300,,57,2019-07-19 00:58:00.000,1.1630731,4V/TlqPcbG,2019-07-19 00:57:00.000,com.sec.android.app.shealth,2019-07-19 00:57:42.478,676c255c-eb2d-402e-b9eb-89cbb8b31025,2.2999992,
2019-07-18 23:21:00.416,17.23,UTC-0300,,25,2019-07-18 23:22:00.000,1.2726208,4V/TlqPcbG,2019-07-18 23:21:00.000,com.sec.android.app.shealth,2019-07-18 23:21:14.810,2f8a8967-ed1c-45e0-9037-9f9ae72004c9,1.0000001,
