com.samsung.shealth.tracker.pedometer_day_summary,6225039,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
2804,93681ba2-ad10-40fa-a904-7cbeab797604.binning_data.json,1374870,10000,103,2016-03-01 05:00:04.376,com.sec.android.app.shealth,2016-03-01 05:00:04.376,,3.3888888,2322.61,132.17,2701,OBFuvbOf82,com.sec.android.app.shealth,0,93681ba2-ad10-40fa-a904-7cbeab797604.achievement.json,93681ba2-ad10-40fa-a904-7cbeab797604,1456704000000,
6574,acf3c416-4ded-4be3-93a8-380cf4c42da8.binning_data.json,3342355,10000,193,2016-02-17 05:00:04.642,com.sec.android.app.shealth,2016-02-17 05:00:04.642,,4.1944447,5268.85,279.65,6381,OBFuvbOf82,com.sec.android.app.shealth,0,acf3c416-4ded-4be3-93a8-380cf4c42da8.achievement.json,acf3c416-4ded-4be3-93a8-380cf4c42da8,1455580800000,
543,15fc2822-cad2-4b3f-9943-fcc2862fb777.binning_data.json,0,0,0,2016-03-15 19:23:30.220,com.sec.android.app.shealth,2016-03-15 19:23:30.220,,0.0,392.54,23.18,543,VfS0qUERdZ,com.sec.android.app.shealth,0,15fc2822-cad2-4b3f-9943-fcc2862fb777.achievement.json,15fc2822-cad2-4b3f-9943-fcc2862fb777,1400025600000,
2442,7b1fb76c-7afe-4ebb-8780-bc9d2140ed26.binning_data.json,0,0,0,2016-03-15 19:23:52.380,com.sec.android.app.shealth,2016-03-15 19:23:52.380,,0.0,1660.45,101.699,2442,VfS0qUERdZ,com.sec.android.app.shealth,0,7b1fb76c-7afe-4ebb-8780-bc9d2140ed26.achievement.json,7b1fb76c-7afe-4ebb-8780-bc9d2140ed26,1408665600000,
3010,7c1a1d5a-25cd-423c-aad6-72b055be194c.binning_data.json,0,0,0,2016-03-15 19:23:27.952,com.sec.android.app.shealth,2016-03-15 19:23:27.952,,0.0,2376.74,130.769,3010,VfS0qUERdZ,com.sec.android.app.shealth,0,7c1a1d5a-25cd-423c-aad6-72b055be194c.achievement.json,7c1a1d5a-25cd-423c-aad6-72b055be194c,1398556800000,
2878,5d522829-7ab9-4df0-8b8a-797814fd3751.binning_data.json,1540020,6000,24,2016-03-04 18:35:23.068,com.sec.android.app.shealth,2016-03-04 18:35:23.068,,2.3333333,2219.2,124.84,2854,ROm+XQMkto,com.sec.android.app.shealth,0,5d522829-7ab9-4df0-8b8a-797814fd3751.achievement.json,5d522829-7ab9-4df0-8b8a-797814fd3751,1456876800000,
14905,ae28f575-852c-4597-b02c-c7af7033e75e.binning_data.json,0,0,0,2016-03-15 19:23:28.717,com.sec.android.app.shealth,2016-03-15 19:23:28.717,,0.0,11517.45,621.37,14905,VfS0qUERdZ,com.sec.android.app.shealth,0,ae28f575-852c-4597-b02c-c7af7033e75e.achievement.json,ae28f575-852c-4597-b02c-c7af7033e75e,1399161600000,
7186,2b192184-53bf-4f5b-8e98-b0a8bd1f3365.binning_data.json,3514235,10000,661,2016-03-11 05:00:46.041,com.sec.android.app.shealth,2016-03-11 05:00:46.041,,3.0,5868.22,342.21,6525,OBFuvbOf82,com.sec.android.app.shealth,4850,2b192184-53bf-4f5b-8e98-b0a8bd1f3365.achievement.json,2b192184-53bf-4f5b-8e98-b0a8bd1f3365,1457568000000,
5520,3ab8db64-627e-4e89-9d5e-a1492f227f70.binning_data.json,0,0,0,2016-03-15 19:23:34.748,com.sec.android.app.shealth,2016-03-15 19:23:34.748,,0.0,3918.53,231.2,5520,VfS0qUERdZ,com.sec.android.app.shealth,0,3ab8db64-627e-4e89-9d5e-a1492f227f70.achievement.json,3ab8db64-627e-4e89-9d5e-a1492f227f70,1401667200000,
2571,e89fcece-1ab0-4f44-aea4-7e16de05626e.binning_data.json,1361801,6000,0,2016-02-14 22:20:13.204,com.sec.android.app.shealth,2016-02-13 20:26:14.354,,2.2499998,2021.75,107.83,2571,ROm+XQMkto,com.sec.android.app.shealth,0,e89fcece-1ab0-4f44-aea4-7e16de05626e.achievement.json,e89fcece-1ab0-4f44-aea4-7e16de05626e,1455321600000,
4677,968e9fc6-abac-47ca-bf27-6e0382d72611.binning_data.json,0,0,0,2016-03-15 19:23:40.065,com.sec.android.app.shealth,2016-03-15 19:23:40.065,,0.0,3905.05,276.79,4677,VfS0qUERdZ,com.sec.android.app.shealth,0,968e9fc6-abac-47ca-bf27-6e0382d72611.achievement.json,968e9fc6-abac-47ca-bf27-6e0382d72611,1403481600000,
7986,d44cd502-adef-4d9a-84f3-52777758fbc8.binning_data.json,0,0,0,2016-03-15 19:23:31.142,com.sec.android.app.shealth,2016-03-15 19:23:31.142,,0.0,7158.92,473.34,7986,VfS0qUERdZ,com.sec.android.app.shealth,0,d44cd502-adef-4d9a-84f3-52777758fbc8.achievement.json,d44cd502-adef-4d9a-84f3-52777758fbc8,1400371200000,
4990,67df4424-3f9e-4606-bd2e-6bf22e78034f.binning_data.json,2749348,0,41,2016-03-15 19:22:34.671,com.sec.android.app.shealth,2016-03-15 19:22:34.671,,1.419191,3901.85,206.02,4949,VfS0qUERdZ,com.sec.android.app.shealth,0,67df4424-3f9e-4606-bd2e-6bf22e78034f.achievement.json,67df4424-3f9e-4606-bd2e-6bf22e78034f,1456099200000,
4994,8fddae67-079b-4c20-a594-5858330e17fa.binning_data.json,0,0,0,2016-03-15 19:23:48.506,com.sec.android.app.shealth,2016-03-15 19:23:48.506,,0.0,3381.06,207.47,4994,VfS0qUERdZ,com.sec.android.app.shealth,0,8fddae67-079b-4c20-a594-5858330e17fa.achievement.json,8fddae67-079b-4c20-a594-5858330e17fa,1406332800000,
7809,b1b0ca87-b7f6-4ddf-860b-691f04670648.binning_data.json,0,0,0,2016-03-15 19:23:52.242,com.sec.android.app.shealth,2016-03-15 19:23:52.242,,0.0,5325.58,328.39,7809,VfS0qUERdZ,com.sec.android.app.shealth,0,b1b0ca87-b7f6-4ddf-860b-691f04670648.achievement.json,b1b0ca87-b7f6-4ddf-860b-691f04670648,1408579200000,
1642,f46812cc-aa8e-403d-abb4-9c0fcd37d136.binning_data.json,0,0,11,2016-03-15 19:24:04.931,com.sec.android.app.shealth,2016-03-15 19:24:04.931,,0.0,1322.0042,75.30351,1589,VfS0qUERdZ,com.sec.android.app.shealth,0,f46812cc-aa8e-403d-abb4-9c0fcd37d136.achievement.json,f46812cc-aa8e-403d-abb4-9c0fcd37d136,1414713600000,
5035,2a66f58a-65ae-4f84-9cad-7f33b0954736.binning_data.json,2893262,6000,0,2016-02-19 20:47:08.961,com.sec.android.app.shealth,2016-02-18 18:17:25.465,,2.0555556,3816.51,214.16,5035,ROm+XQMkto,com.sec.android.app.shealth,0,2a66f58a-65ae-4f84-9cad-7f33b0954736.achievement.json,2a66f58a-65ae-4f84-9cad-7f33b0954736,1455753600000,
2791,e1c852ae-9c6c-4f06-8464-63f935f3438c.binning_data.json,1464759,10000,78,2016-03-04 05:00:02.538,com.sec.android.app.shealth,2016-03-04 05:00:02.538,,6.9444447,2140.8298,129.29,2713,OBFuvbOf82,com.sec.android.app.shealth,0,e1c852ae-9c6c-4f06-8464-63f935f3438c.achievement.json,e1c852ae-9c6c-4f06-8464-63f935f3438c,1456963200000,
3758,11bb7d49-99fd-4aa4-8d6d-2355ea5816be.binning_data.json,0,0,0,2016-03-15 19:23:51.583,com.sec.android.app.shealth,2016-03-15 19:23:51.583,,0.0,2667.83,155.56,3758,VfS0qUERdZ,com.sec.android.app.shealth,0,11bb7d49-99fd-4aa4-8d6d-2355ea5816be.achievement.json,11bb7d49-99fd-4aa4-8d6d-2355ea5816be,1408233600000,
1018,a06564dc-1e65-4db8-9cd8-b351b149686c.binning_data.json,576515,10000,11,2016-02-27 05:00:05.116,com.sec.android.app.shealth,2016-02-27 05:00:05.116,,3.9722219,797.98004,44.039997,1007,OBFuvbOf82,com.sec.android.app.shealth,0,a06564dc-1e65-4db8-9cd8-b351b149686c.achievement.json,a06564dc-1e65-4db8-9cd8-b351b149686c,1456444800000,
2803,5240c854-6592-4625-9487-bf9c1aa3bdd5.binning_data.json,0,0,0,2016-03-15 19:24:00.599,com.sec.android.app.shealth,2016-03-15 19:24:00.599,,0.0,1931.64,117.789,2803,VfS0qUERdZ,com.sec.android.app.shealth,0,5240c854-6592-4625-9487-bf9c1aa3bdd5.achievement.json,5240c854-6592-4625-9487-bf9c1aa3bdd5,1412467200000,
49,453e69fc-e86d-49f8-bb6c-c5b865abb1db.binning_data.json,30253,0,0,2016-03-15 19:22:38.152,com.sec.android.app.shealth,2016-03-15 19:22:38.152,,1.2418239,37.57,2.0600002,49,VfS0qUERdZ,com.sec.android.app.shealth,0,453e69fc-e86d-49f8-bb6c-c5b865abb1db.achievement.json,453e69fc-e86d-49f8-bb6c-c5b865abb1db,1456617600000,
6440,5467406c-08d7-44a2-acae-36aade38f85e.binning_data.json,0,0,0,2016-03-15 19:23:27.511,com.sec.android.app.shealth,2016-03-15 19:23:27.511,,0.0,4717.63,277.12,6440,VfS0qUERdZ,com.sec.android.app.shealth,0,5467406c-08d7-44a2-acae-36aade38f85e.achievement.json,5467406c-08d7-44a2-acae-36aade38f85e,1398297600000,
7155,901a5ed1-e179-4d78-8806-e76c5760bf89.binning_data.json,0,0,0,2016-03-15 19:23:43.949,com.sec.android.app.shealth,2016-03-15 19:23:43.949,,0.0,4923.57,299.66,7155,VfS0qUERdZ,com.sec.android.app.shealth,0,901a5ed1-e179-4d78-8806-e76c5760bf89.achievement.json,901a5ed1-e179-4d78-8806-e76c5760bf89,1404777600000,
10096,65fdc6c2-52d1-4ffa-879f-69f67934f62f.binning_data.json,0,0,0,2016-03-15 19:23:33.822,com.sec.android.app.shealth,2016-03-15 19:23:33.822,,0.0,7230.76,428.5,10096,VfS0qUERdZ,com.sec.android.app.shealth,0,65fdc6c2-52d1-4ffa-879f-69f67934f62f.achievement.json,65fdc6c2-52d1-4ffa-879f-69f67934f62f,1401408000000,
7802,dc8b2d08-b99b-48a8-a9f7-8ba07bc66912.binning_data.json,3810774,6000,2838,2016-03-06 21:08:29.649,com.sec.android.app.shealth,2016-03-05 23:32:12.702,,3.576458,6973.76,499.49,4964,ROm+XQMkto,com.sec.android.app.shealth,5276,dc8b2d08-b99b-48a8-a9f7-8ba07bc66912.achievement.json,dc8b2d08-b99b-48a8-a9f7-8ba07bc66912,1457136000000,
3192,5b29c9dc-a29f-4b04-827f-a9ac23958f74.binning_data.json,1669927,10000,77,2016-03-03 05:00:04.800,com.sec.android.app.shealth,2016-03-03 05:00:04.800,,3.8055558,2457.03,142.19,3115,OBFuvbOf82,com.sec.android.app.shealth,0,5b29c9dc-a29f-4b04-827f-a9ac23958f74.achievement.json,5b29c9dc-a29f-4b04-827f-a9ac23958f74,1456876800000,
3035,e433d874-2521-4733-b0c8-5706416fe974.binning_data.json,0,0,0,2016-03-15 19:23:28.863,com.sec.android.app.shealth,2016-03-15 19:23:28.863,,0.0,2456.99,141.72,3035,VfS0qUERdZ,com.sec.android.app.shealth,0,e433d874-2521-4733-b0c8-5706416fe974.achievement.json,e433d874-2521-4733-b0c8-5706416fe974,1399334400000,
12292,4ae16acb-1344-407d-aaa1-d4bb38d70d50.binning_data.json,6502428,6000,1443,2016-02-28 03:01:34.305,com.sec.android.app.shealth,2016-02-27 21:14:10.851,,2.8151321,9926.48,615.15,10849,ROm+XQMkto,com.sec.android.app.shealth,5111,4ae16acb-1344-407d-aaa1-d4bb38d70d50.achievement.json,4ae16acb-1344-407d-aaa1-d4bb38d70d50,1456531200000,
3114,9066f60e-6301-4f13-b7a0-e004956cdbf4.binning_data.json,1595729,6000,50,2016-02-12 17:51:46.727,com.sec.android.app.shealth,2016-02-11 23:17:10.609,,2.2222223,2343.16,142.74,3064,ROm+XQMkto,com.sec.android.app.shealth,0,9066f60e-6301-4f13-b7a0-e004956cdbf4.achievement.json,9066f60e-6301-4f13-b7a0-e004956cdbf4,1455148800000,
941,1a2ff105-830b-4bd6-8203-9ad6638dde1a.binning_data.json,0,0,30,2016-03-15 19:24:02.950,com.sec.android.app.shealth,2016-03-15 19:24:02.950,,0.0,744.55,44.03,911,VfS0qUERdZ,com.sec.android.app.shealth,0,1a2ff105-830b-4bd6-8203-9ad6638dde1a.achievement.json,1a2ff105-830b-4bd6-8203-9ad6638dde1a,1413763200000,
3505,523232f6-97c7-4ec8-a6dc-6d1edec2e6af.binning_data.json,1802242,10000,73,2016-02-12 05:00:06.243,com.sec.android.app.shealth,2016-02-12 05:00:06.243,,3.083333,2684.12,163.84999,3432,OBFuvbOf82,com.sec.android.app.shealth,0,523232f6-97c7-4ec8-a6dc-6d1edec2e6af.achievement.json,523232f6-97c7-4ec8-a6dc-6d1edec2e6af,1455148800000,
11093,182a7551-149e-4264-85db-c70a14a33f67.binning_data.json,0,0,0,2016-03-15 19:23:40.329,com.sec.android.app.shealth,2016-03-15 19:23:40.329,,0.0,7802.62,459.81,11093,VfS0qUERdZ,com.sec.android.app.shealth,0,182a7551-149e-4264-85db-c70a14a33f67.achievement.json,182a7551-149e-4264-85db-c70a14a33f67,1403568000000,
4208,8c12deb6-4ee4-4bbe-a050-6f5a30a4d0ad.binning_data.json,2262265,10000,74,2016-02-07 05:00:04.918,com.sec.android.app.shealth,2016-02-07 05:00:04.918,,2.8074021,3249.49,176.62999,4134,OBFuvbOf82,com.sec.android.app.shealth,3016,8c12deb6-4ee4-4bbe-a050-6f5a30a4d0ad.achievement.json,8c12deb6-4ee4-4bbe-a050-6f5a30a4d0ad,1454716800000,
6927,e8ad6736-d94e-49c1-a3ee-cf9640aa4acf.binning_data.json,0,0,0,2016-03-15 19:23:32.370,com.sec.android.app.shealth,2016-03-15 19:23:32.370,,0.0,5679.87,364.539,6927,VfS0qUERdZ,com.sec.android.app.shealth,0,e8ad6736-d94e-49c1-a3ee-cf9640aa4acf.achievement.json,e8ad6736-d94e-49c1-a3ee-cf9640aa4acf,1400803200000,
1173,5830dc1b-8982-484e-b629-6a8d5d9a81e6.binning_data.json,675803,6000,20,2016-02-25 20:43:13.756,com.sec.android.app.shealth,2016-02-24 20:43:46.108,,2.137416,903.43,52.51,1153,ROm+XQMkto,com.sec.android.app.shealth,0,5830dc1b-8982-484e-b629-6a8d5d9a81e6.achievement.json,5830dc1b-8982-484e-b629-6a8d5d9a81e6,1456272000000,
6391,cbb9dabc-7425-4e8b-b1ae-794b76474269.binning_data.json,3646058,6000,0,2016-03-11 18:51:22.482,com.sec.android.app.shealth,2016-03-10 19:01:37.146,,1.8888888,4760.77,280.67,6391,ROm+XQMkto,com.sec.android.app.shealth,4005,cbb9dabc-7425-4e8b-b1ae-794b76474269.achievement.json,cbb9dabc-7425-4e8b-b1ae-794b76474269,1457568000000,
2466,6b016363-0522-4a67-ad44-549a154124bc.binning_data.json,1331957,0,38,2016-03-15 19:22:36.710,com.sec.android.app.shealth,2016-03-15 19:22:36.710,,1.4749724,1964.6,109.32,2428,VfS0qUERdZ,com.sec.android.app.shealth,0,6b016363-0522-4a67-ad44-549a154124bc.achievement.json,6b016363-0522-4a67-ad44-549a154124bc,1456358400000,
2244,922857d2-4c26-454b-a65a-4ae1aff77b1c.binning_data.json,1248395,6000,0,2016-02-21 23:10:39.560,com.sec.android.app.shealth,2016-02-21 23:10:39.560,,1.9166666,1737.09,95.84,2244,ROm+XQMkto,com.sec.android.app.shealth,0,922857d2-4c26-454b-a65a-4ae1aff77b1c.achievement.json,922857d2-4c26-454b-a65a-4ae1aff77b1c,1455926400000,
1210,bb2c3a59-302f-44fc-9836-283cb42d1ff1.binning_data.json,692537,0,5,2016-03-15 19:22:37.141,com.sec.android.app.shealth,2016-03-15 19:22:37.141,,1.3612118,942.69,52.21,1205,VfS0qUERdZ,com.sec.android.app.shealth,0,bb2c3a59-302f-44fc-9836-283cb42d1ff1.achievement.json,bb2c3a59-302f-44fc-9836-283cb42d1ff1,1456444800000,
9253,834d3d4f-2cb9-40f3-9061-13558d88e26b.binning_data.json,0,0,0,2016-03-15 19:23:38.355,com.sec.android.app.shealth,2016-03-15 19:23:38.355,,0.0,7104.21,398.18,9253,VfS0qUERdZ,com.sec.android.app.shealth,0,834d3d4f-2cb9-40f3-9061-13558d88e26b.achievement.json,834d3d4f-2cb9-40f3-9061-13558d88e26b,1402963200000,
14,70edbca5-2895-4178-a7d6-663e7bb15fcd.binning_data.json,6012,10000,0,2016-03-05 05:00:02.430,com.sec.android.app.shealth,2016-03-05 05:00:02.430,,2.301831,13.839999,0.6,14,OBFuvbOf82,com.sec.android.app.shealth,0,70edbca5-2895-4178-a7d6-663e7bb15fcd.achievement.json,70edbca5-2895-4178-a7d6-663e7bb15fcd,1457049600000,
3149,0c2abe84-66ed-48c9-ad10-ab973119c687.binning_data.json,0,0,0,2016-03-15 19:23:56.388,com.sec.android.app.shealth,2016-03-15 19:23:56.388,,0.0,2218.29,130.24,3149,VfS0qUERdZ,com.sec.android.app.shealth,0,0c2abe84-66ed-48c9-ad10-ab973119c687.achievement.json,0c2abe84-66ed-48c9-ad10-ab973119c687,1410652800000,
9256,d117fe19-67d1-47e2-aec6-27528722899b.binning_data.json,0,0,0,2016-03-15 19:23:34.422,com.sec.android.app.shealth,2016-03-15 19:23:34.422,,0.0,7766.92,499.43,9256,VfS0qUERdZ,com.sec.android.app.shealth,0,d117fe19-67d1-47e2-aec6-27528722899b.achievement.json,d117fe19-67d1-47e2-aec6-27528722899b,1401580800000,
6098,743af6ae-6d45-4fd4-bb20-971f2f55b58c.binning_data.json,3301189,10000,34,2016-02-19 05:00:04.826,com.sec.android.app.shealth,2016-02-19 05:00:04.826,,3.8333333,4682.0503,251.83,6064,OBFuvbOf82,com.sec.android.app.shealth,0,743af6ae-6d45-4fd4-bb20-971f2f55b58c.achievement.json,743af6ae-6d45-4fd4-bb20-971f2f55b58c,1455753600000,
